t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.022623228417047895,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2274815382279932,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.1311614208523948,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1527873174568235,0.25,0.25,1.1311614208523948,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.5660999971441925
2,0.014944937229946376,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1502746313265855,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7472468614973188,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1527389480306316,0.25,0.25,0.7472468614973188,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1883000016678125
3,0.01035558273288946,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1041276623255849,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.517779136644473,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1526789895522676,0.25,0.25,0.517779136644473,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.285900002694689
4,0.016469048340282573,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.16559990380398262,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8234524170141286,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8561923748597478,0.25,0.25,0.8234524170141286,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.149100001086481
5,0.014698932552717509,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1478010001827151,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7349466276358754,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.15275515417523,0.25,0.25,0.7349466276358754,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.181000004289672
6,0.015510343870690911,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15595991947334562,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7755171935345455,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1527119020865144,0.25,0.25,0.7755171935345455,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.435899995267391
7,0.025909340332059445,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.26052411638862644,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.2954670166029723,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152748587083602,0.25,0.25,1.2954670166029723,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.230699989828281
8,0.01570919327210486,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15795939394601963,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7854596636052429,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1527067909335664,0.25,0.25,0.7854596636052429,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.2954000022728
9,0.016911699461868875,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.17005085820273322,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8455849730934438,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.856231240108881,0.25,0.25,0.8455849730934438,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.675599993788637
10,0.011743706048490234,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11808554761330334,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.5871853024245117,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152780264335638,0.25000000000000006,0.25000000000000006,0.5871853024245117,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,7.758699997793883
