t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,lyapunov_greedy_oracle,1,100,256,50,1.0,9.982994834308904,1027.130805662539
2,lyapunov_greedy_oracle,1,100,256,50,1.0,12.476811560262592,956.0348324249487
3,lyapunov_greedy_oracle,1,100,256,50,1.0,8.604841329874443,982.6877156852313
4,lyapunov_greedy_oracle,1,100,256,50,1.0,1.5688066302920998,788.1253305865082
5,lyapunov_greedy_oracle,1,100,256,50,1.0,15.901890214285014,792.9648534086909
6,lyapunov_greedy_oracle,1,100,256,50,1.0,-0.07015314300505437,1090.712655487573
7,lyapunov_greedy_oracle,1,100,256,50,1.0,11.009026294751697,1153.7915972112912
8,lyapunov_greedy_oracle,1,100,256,50,1.0,9.034863312859473,780.1744740947311
9,lyapunov_greedy_oracle,1,100,256,50,1.0,9.285227393319472,1173.4079187828504
10,lyapunov_greedy_oracle,1,100,256,50,1.0,11.448330087514682,860.8666732200378
11,lyapunov_greedy_oracle,1,100,256,50,1.0,10.191913188082747,1086.6603646230049
12,lyapunov_greedy_oracle,1,100,256,50,1.0,11.941527619151701,967.3363656789095
13,lyapunov_greedy_oracle,1,100,256,50,1.0,13.55795112255832,1021.3736849204475
14,lyapunov_greedy_oracle,1,100,256,50,1.0,-0.751258392799862,955.1394790256651
15,lyapunov_greedy_oracle,1,100,256,50,1.0,9.258507503685825,1049.5516196262988
16,lyapunov_greedy_oracle,1,100,256,50,1.0,7.410219385510521,1221.0019046179693
17,lyapunov_greedy_oracle,1,100,256,50,1.0,13.538864698091054,1049.7592130727828
18,lyapunov_greedy_oracle,1,100,256,50,1.0,9.859686028946596,1108.8439883837746
19,lyapunov_greedy_oracle,1,100,256,50,1.0,11.060665364577634,783.682611597581
20,lyapunov_greedy_oracle,1,100,256,50,1.0,2.9184639182328045,825.5341385848645
21,lyapunov_greedy_oracle,1,100,256,50,1.0,10.060235184071765,1221.6561588062455
22,lyapunov_greedy_oracle,1,100,256,50,1.0,0.03114548200067091,1040.638254406294
23,lyapunov_greedy_oracle,1,100,256,50,1.0,-0.8222131176586256,1149.983630149064
24,lyapunov_greedy_oracle,1,100,256,50,1.0,11.356248441145608,1003.2422904378467
25,lyapunov_greedy_oracle,1,100,256,50,1.0,15.280177688225685,1135.6063073053012
26,lyapunov_greedy_oracle,1,100,256,50,1.0,8.273357220578,1172.4448160097343
27,lyapunov_greedy_oracle,1,100,256,50,1.0,16.24014643449313,868.4128956435216
28,lyapunov_greedy_oracle,1,100,256,50,1.0,6.154736428241927,807.7507877247904
29,lyapunov_greedy_oracle,1,100,256,50,1.0,17.053011884713037,1043.8103361755675
30,lyapunov_greedy_oracle,1,100,256,50,1.0,11.782557880563825,1085.9170842767999
31,lyapunov_greedy_oracle,1,100,256,50,1.0,5.512396126128582,779.6389686073899
32,lyapunov_greedy_oracle,1,100,256,50,1.0,8.591753268346231,677.774125893528
33,lyapunov_greedy_oracle,1,100,256,50,1.0,12.020578135833212,1114.0428449497574
34,lyapunov_greedy_oracle,1,100,256,50,1.0,6.781722852951038,1154.7104342594146
35,lyapunov_greedy_oracle,1,100,256,50,1.0,4.903532231529653,1091.995114760609
36,lyapunov_greedy_oracle,1,100,256,50,1.0,11.616071646151395,1167.0574145202309
37,lyapunov_greedy_oracle,1,100,256,50,1.0,7.784624492487186,1170.275224551053
38,lyapunov_greedy_oracle,1,100,256,50,1.0,6.310416403446142,754.3242384728694
39,lyapunov_greedy_oracle,1,100,256,50,1.0,1.2387381660926273,879.0231414477888
40,lyapunov_greedy_oracle,1,100,256,50,1.0,11.923443434530204,927.6250298035617
41,lyapunov_greedy_oracle,1,100,256,50,1.0,5.8935669044369,1263.6567655480171
42,lyapunov_greedy_oracle,1,100,256,50,1.0,7.199895171317374,782.1158927469121
43,lyapunov_greedy_oracle,1,100,256,50,1.0,12.812709160735603,635.9815933051133
44,lyapunov_greedy_oracle,1,100,256,50,1.0,16.937876749893235,898.0273996516697
45,lyapunov_greedy_oracle,1,100,256,50,1.0,8.488347918845639,908.1547898258028
46,lyapunov_greedy_oracle,1,100,256,50,1.0,4.158479010026999,1018.1236400626368
47,lyapunov_greedy_oracle,1,100,256,50,1.0,-4.078879975048242,1198.4074351133772
48,lyapunov_greedy_oracle,1,100,256,50,1.0,6.699688041612199,1006.3353242291751
49,lyapunov_greedy_oracle,1,100,256,50,1.0,6.770336678676859,916.6230691511087
50,lyapunov_greedy_oracle,1,100,256,50,1.0,13.298683454739203,1039.0548633850565
51,lyapunov_greedy_oracle,1,100,256,50,1.0,5.110230199753298,874.2145790853555
52,lyapunov_greedy_oracle,1,100,256,50,1.0,14.170775023608478,1102.3169807829
