t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,2,50,256,25,1.0,6.15955413629443,1307.1466034359244
2,raucb_plus,2,50,256,25,1.0,15.809777210032099,1090.127843480193
3,raucb_plus,2,50,256,25,1.0,4.6791629136896695,763.5276209610229
4,raucb_plus,2,50,256,25,1.0,8.488331981244437,1175.3818018939546
5,raucb_plus,2,50,256,25,1.0,14.21033413440303,820.7090195841013
6,raucb_plus,2,50,256,25,1.0,11.063881899183558,1225.1152466227559
7,raucb_plus,2,50,256,25,1.0,13.17277551221368,1149.779577724134
8,raucb_plus,2,50,256,25,1.0,17.239064891903254,1059.5906196299293
9,raucb_plus,2,50,256,25,1.0,15.729095858039763,860.5240469955354
10,raucb_plus,2,50,256,25,1.0,16.89641351974086,1017.0201246537815
11,raucb_plus,2,50,256,25,1.0,18.43562916750013,1032.5954195019249
12,raucb_plus,2,50,256,25,1.0,21.030512396458224,850.4091463992096
13,raucb_plus,2,50,256,25,1.0,13.947861178177842,997.2919176433315
14,raucb_plus,2,50,256,25,1.0,11.215793299809924,1334.9582334534562
15,raucb_plus,2,50,256,25,1.0,11.9440320386393,951.2164979683353
16,raucb_plus,2,50,256,25,1.0,10.739031991657289,1204.1612052408937
17,raucb_plus,2,50,256,25,1.0,15.018032619000387,1069.616583328602
18,raucb_plus,2,50,256,25,1.0,5.482178009550456,1010.9762319820728
19,raucb_plus,2,50,256,25,1.0,16.923940737055823,1051.9304840323232
20,raucb_plus,2,50,256,25,1.0,12.051528826524127,1052.413779230585
21,raucb_plus,2,50,256,25,1.0,12.081758944728696,725.9366559579869
22,raucb_plus,2,50,256,25,1.0,4.456027585387443,1008.9874506821237
23,raucb_plus,2,50,256,25,1.0,12.357971690913207,945.5670506692103
24,raucb_plus,2,50,256,25,1.0,3.327460309729445,875.4954131332223
25,raucb_plus,2,50,256,25,1.0,9.321134458746283,1225.0825503283036
26,raucb_plus,2,50,256,25,1.0,10.60497625979412,1222.6157488848248
27,raucb_plus,2,50,256,25,1.0,12.823710551580286,873.9074355089303
28,raucb_plus,2,50,256,25,1.0,12.218859498192117,1210.1596460647952
29,raucb_plus,2,50,256,25,1.0,8.6543927721221,844.2303987716779
