t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,sw_ucb,3,200,512,25,1.0,8.141307244972609,1427.6944100056635
2,sw_ucb,3,200,512,25,1.0,13.034207751543319,972.956421890816
3,sw_ucb,3,200,512,25,1.0,18.03859442488241,915.5603908172553
4,sw_ucb,3,200,512,25,1.0,7.292404732705946,997.7415512390669
5,sw_ucb,3,200,512,25,1.0,7.4540712277014975,1011.2049923365174
6,sw_ucb,3,200,512,25,1.0,9.827789949943991,932.7148311792448
7,sw_ucb,3,200,512,25,1.0,20.777751189157076,959.9372984284548
8,sw_ucb,3,200,512,25,1.0,14.41323642469558,739.9770709876025
9,sw_ucb,3,200,512,25,1.0,9.130334104447757,1447.2164240002514
10,sw_ucb,3,200,512,25,1.0,11.626424408721848,906.6321041492105
11,sw_ucb,3,200,512,25,1.0,13.781381342636845,879.314845378366
12,sw_ucb,3,200,512,25,1.0,1.8443748686232269,1312.9919879591637
13,sw_ucb,3,200,512,25,1.0,7.280733712968503,935.3332146461926
14,sw_ucb,3,200,512,25,1.0,6.503317036625356,1021.0473911304366
15,sw_ucb,3,200,512,25,1.0,14.429993165551526,987.3040618191009
16,sw_ucb,3,200,512,25,1.0,8.916620569536926,927.2326150839731
17,sw_ucb,3,200,512,25,1.0,2.2135501709291496,973.798829360628
18,sw_ucb,3,200,512,25,1.0,17.08691404523085,1337.872633778204
19,sw_ucb,3,200,512,25,1.0,13.147240666240473,570.8727273212346
20,sw_ucb,3,200,512,25,1.0,8.102924061676813,1410.4324645343668
21,sw_ucb,3,200,512,25,1.0,15.81515304018846,1130.0733554375934
22,sw_ucb,3,200,512,25,1.0,9.595769329686648,1172.10209319083
23,sw_ucb,3,200,512,25,1.0,16.720633480328306,1184.9727078510678
24,sw_ucb,3,200,512,25,1.0,14.525234539699955,1200.0974407325255
25,sw_ucb,3,200,512,25,1.0,19.63248054941555,1093.9518439780404
26,sw_ucb,3,200,512,25,1.0,15.001818905305816,1041.4477319402993
27,sw_ucb,3,200,512,25,1.0,0.8327319754915692,1203.897733075949
28,sw_ucb,3,200,512,25,1.0,11.283594158306572,1509.5622749473941
29,sw_ucb,3,200,512,25,1.0,7.604092292812895,807.024140325449
30,sw_ucb,3,200,512,25,1.0,11.106232343444074,959.3203333085971
31,sw_ucb,3,200,512,25,1.0,9.70711990266491,888.3084678228654
32,sw_ucb,3,200,512,25,1.0,11.103329347318017,642.5707189708896
33,sw_ucb,3,200,512,25,1.0,11.565148137607574,1063.5102648694988
34,sw_ucb,3,200,512,25,1.0,16.131010853468247,925.2219076481452
35,sw_ucb,3,200,512,25,1.0,8.714466684311741,1027.202872402255
36,sw_ucb,3,200,512,25,1.0,4.163579730134256,1176.0193465244122
37,sw_ucb,3,200,512,25,1.0,8.450339462702281,637.3319691342334
38,sw_ucb,3,200,512,25,1.0,4.691479131381269,1268.562708381703
39,sw_ucb,3,200,512,25,1.0,13.943272452824694,1016.0189755506235
40,sw_ucb,3,200,512,25,1.0,14.568007180308147,1016.7518638409265
41,sw_ucb,3,200,512,25,1.0,11.073155771721241,951.3839191464428
42,sw_ucb,3,200,512,25,1.0,13.027417871299145,1136.4007566484431
43,sw_ucb,3,200,512,25,1.0,10.660083802657326,960.3271695741632
44,sw_ucb,3,200,512,25,1.0,3.4573563749580005,1177.0356309672823
45,sw_ucb,3,200,512,25,1.0,2.9004527626214127,918.3652692208058
46,sw_ucb,3,200,512,25,1.0,12.889858335707967,852.607266326506
47,sw_ucb,3,200,512,25,1.0,9.578880545238436,909.7287403073243
48,sw_ucb,3,200,512,25,1.0,4.573607241911572,1012.8756483581072
