t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.02757535175226066,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2772762276959227,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.378767587613033,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153395606533735,0.25,0.25,1.378767587613033,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.533300009323284
2,0.018717166979003177,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.1882052312412379,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.9358583489501588,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.153318493206612,0.25000000000000006,0.25000000000000006,0.9358583489501588,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.304499998805113
3,0.02101816716152181,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2113422942338828,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.0509083580760905,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1532632938640814,0.25,0.25,1.0509083580760905,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.076799996662885
4,0.029144614689021544,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2930555117201931,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.457230734451077,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1532924115526515,0.25,0.25,1.457230734451077,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.077900005038828
5,0.019800863682291427,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.19910203997658388,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.9900431841145713,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1532306146716853,0.25,0.25,0.9900431841145713,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.098199999541976
6,0.029805987051932773,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.29970575631318663,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.4902993525966386,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153270619545737,0.25,0.25,1.4902993525966386,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.064800007152371
7,0.016985046502869267,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.17078837883434506,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.8492523251434633,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153193484837896,0.25,0.25,0.8492523251434633,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.162700010463595
8,0.016516585845032353,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.16607790387119903,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.8258292922516177,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153120070012446,0.25,0.25,0.8258292922516177,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.05899999209214
9,0.028514740095644628,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2867219841285193,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.4257370047822313,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1531530223860083,0.25,0.25,1.4257370047822313,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.058800005121157
10,0.016939409208758173,0.08,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,4.0,0.17032948580309532,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.8469704604379086,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.856642621774506,0.25,0.25,0.8469704604379086,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.447200000868179
