t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.032,0.5,356.7873143844351,1200.0,0.08,843.2126856155649,0.42594276034122874,0.25,15000.0,5.0,1200.0,1,1,1,25.0,1.184546340933935,0.2,1,0,0,0,0,356.7873143844351,843.2126856155649,0.0,0.17594276034122874,1.6,3.0,356.7873143844351,-0.6923409312591406,0.8839940775403974,3.4960388827030884,0.42594276034122874,0.42594276034122874,1.6,0,0,1,0.8277888305410127,3.1388922533374566,1,0.02,24.0,0.0,0.0,23.172211169458986,0,0,1,1,1,1,0.603599997702986
2,0.032,0.5,80.99059373188177,1200.0,0.08,1962.222091883683,0.45201060437112567,0.25,15000.0,5.0,1200.0,1,1,0,25.0,1.8358695476186255,1.5171457171440128,0,0,0,0,1,80.99059373188177,1962.222091883683,0.0,0.3779533647123544,1.6,3.0,80.99059373188177,-2.5952385565391687,0.9868004651780677,3.793869608396729,0.45201060437112567,0.45201060437112567,1.6,0,0,1,0.02138076324425884,3.1388922533374566,1,0.02,24.0,0.0,23.172211169458986,47.15083040621473,0,0,1,1,1,1,0.4889999981969595
3,0.032,0.5,301.4492356462913,1200.0,0.08,2860.772856237392,0.42956281793986145,0.25,15000.0,5.0,1200.0,1,1,1,25.0,1.2463100239886544,1.3181567668914793,1,0,0,0,0,301.4492356462913,2860.772856237392,0.0,0.5575161826522159,1.6,3.0,301.4492356462913,-0.9130812562894937,0.9085200810168665,3.6095855383437465,0.42956281793986145,0.42956281793986145,1.6,0,0,1,0.5515310330890048,3.1388922533374566,1,0.02,24.0,0.0,47.15083040621473,70.59929937312573,0,0,1,1,1,1,0.36980000732000917
4,0.032,0.5,887.9714086286049,1200.0,0.08,3172.801447608787,0.4020073054285284,0.25,15000.0,5.0,1200.0,1,1,1,25.0,0.890178433419426,1.0525123357772828,1,0,0,0,0,887.9714086286049,3172.801447608787,0.0,0.7095234880807444,1.6,3.0,887.9714086286049,0.5484089409788879,0.6322564509080008,2.361488135960714,0.4020073054285284,0.4020073054285284,1.6,0,0,1,6.530915146026102,3.1388922533374566,1,0.02,24.0,0.0,70.59929937312573,88.06838422709963,0,0,1,1,1,1,0.35149999894201756
5,0.032,0.5,461.473471143521,1200.0,0.08,3911.327976465266,0.41999568766282414,0.25,15000.0,5.0,1200.0,1,1,1,25.0,1.095126937968678,1.3353753685951233,1,0,0,0,0,461.473471143521,3911.327976465266,0.0,0.8795191757435685,1.6,3.0,461.473471143521,-0.351464994748099,0.8350374359488613,3.262744301251233,0.41999568766282414,0.41999568766282414,1.6,0,0,1,1.5225169408282881,3.1388922533374566,1,0.02,24.0,0.0,88.06838422709963,110.54586728627135,0,0,1,1,1,1,0.3715999919222668
6,0.032,0.5,780.7987186450029,1200.0,0.08,4330.529257820263,0.405927690267459,0.25,15000.0,5.0,1200.0,1,1,1,25.0,0.9282381429910969,1.205102109909058,1,0,0,0,0,780.7987186450029,4330.529257820263,0.0,1.0354468660110276,1.6,3.0,780.7987186450029,0.36658552009682044,0.6813748747739691,2.5611555105497255,0.405927690267459,0.405927690267459,1.6,0,0,1,4.97564179009177,3.1388922533374566,1,0.02,24.0,0.0,110.54586728627135,129.57022549617957,0,0,1,1,1,1,0.44860001071356237
7,0.032,0.5,150.911165045038,1200.0,0.08,5379.618092775226,0.44251058318808534,0.25,15000.0,5.0,1200.0,1,1,1,25.0,1.530429219628839,1.6,1,0,0,0,0,150.911165045038,5379.618092775226,0.0,1.227957449199113,1.6,3.0,150.911165045038,-1.8049528643159611,0.9666230620521455,3.8277034376688,0.44251058318808534,0.44251058318808534,1.6,0,0,1,0.10073905182693312,3.1388922533374566,1,0.02,24.0,0.0,129.57022549617957,153.46948644435264,0,0,1,1,1,1,0.6047000060789287
8,0.032,0.5,321.07249449083025,1200.0,0.08,6258.545598284396,0.42823219159873166,0.25,15000.0,5.0,1200.0,1,1,1,25.0,1.2228884674901745,1.6,1,0,0,0,0,321.07249449083025,6258.545598284396,0.0,1.4061896407978447,1.6,3.0,321.07249449083025,-0.830688869726715,0.8999641802691475,3.570099931296393,0.42823219159873166,0.42823219159873166,1.6,0,0,1,0.6423750035883967,3.1388922533374566,1,0.02,24.0,0.0,153.46948644435264,176.82711144076424,0,0,1,1,1,1,0.39879999530967325
9,0.032,0.5,324.20104038464245,1200.0,0.08,7134.344557899753,0.42802509423062596,0.25,15000.0,5.0,1200.0,1,1,1,25.0,1.2193205017450979,1.6,1,0,0,0,0,324.20104038464245,7134.344557899753,0.0,1.5842147350284708,1.6,3.0,324.20104038464245,-0.8179991371388882,0.898584878789171,3.5637969127832987,0.42802509423062596,0.42802509423062596,1.6,0,0,1,0.6575777561457075,3.1388922533374566,1,0.02,24.0,0.0,176.82711144076424,200.16953368461853,0,0,1,1,1,1,0.3524000057950616
10,0.032,0.5,147.46041330445655,1200.0,0.08,8186.884144595297,0.44289670177484086,0.25,15000.0,5.0,1200.0,1,1,1,25.0,1.5408695573718207,1.6,1,0,0,0,0,147.46041330445655,8186.884144595297,0.0,1.7771114368033116,1.6,3.0,147.46041330445655,-1.83447912577783,0.9677474782889812,3.8300484512515864,0.44289670177484086,0.44289670177484086,1.6,0,0,1,0.09511940363235574,3.1388922533374566,1,0.02,24.0,0.0,200.16953368461853,224.07441428098616,0,0,1,1,1,1,0.3409999917494133
11,0.032,0.5,179.06777265683644,1200.0,0.08,9207.816371938461,0.4395677283785378,0.25,15000.0,5.0,1200.0,1,1,1,25.0,1.4552205830295415,1.6,1,0,0,0,0,179.06777265683644,9207.816371938461,0.0,1.9666791651818494,1.6,3.0,179.06777265683644,-1.5861086646793732,0.9570299118506232,3.8039040006647102,0.4395677283785378,0.4395677283785378,1.6,0,0,1,0.15389115951553634,3.1388922533374566,1,0.02,24.0,0.0,224.07441428098616,247.92052312147064,0,0,1,1,1,1,0.33399999665562063
