t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.01708678921774338,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.17181142421303272,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.854339460887169,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8578875346639325,0.25,0.25,0.854339460887169,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,0.0,0.0,1,0,1,1,1,1,4.508899990469217
2,0.016911910727663175,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.17005298252676762,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.8455955363831588,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1543252708956357,0.25,0.25,0.8455955363831588,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.17459999921266
3,0.013718065910538788,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1379381703316404,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.6859032955269394,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.154148849481928,0.25,0.25,0.6859032955269394,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559276,1,0,1,1,1,1,6.249600002774969
4,0.01974512280207228,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1985415531645037,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.9872561401036141,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1540181591498246,0.25,0.25,0.9872561401036141,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,17.149731365559276,25.724597048338914,1,0,1,1,1,1,6.127200002083555
5,0.016345065236219054,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.16435322641971517,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8172532618109527,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8574207800011426,0.25,0.25,0.8172532618109527,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,25.724597048338914,0.0,1,0,1,1,1,1,4.176899994490668
6,0.019288370281377677,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19394880609579512,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.9644185140688839,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1539099108642787,0.25,0.25,0.9644185140688839,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.395599993993528
7,0.017876036474504697,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.17974747899268545,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.8938018237252349,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1537865962807703,0.25,0.25,0.8938018237252349,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559276,1,0,1,1,1,1,6.075600002077408
8,0.02078228485459638,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.20897044575005944,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.039114242729819,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1536922026863845,0.25,0.25,1.039114242729819,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,17.149731365559276,25.724597048338914,1,0,1,1,1,1,6.194600005983375
9,0.01647700047132618,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.16567986423087852,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.823850023566309,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.857124765180667,0.25,0.25,0.823850023566309,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,25.724597048338914,0.0,1,0,1,1,1,1,4.080700004124083
10,0.016986354584398452,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.1708015318818634,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8493177292199227,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8571826815184718,0.25,0.25,0.8493177292199227,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,0.0,0.0,1,0,1,1,1,1,4.11069999972824
