t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.02570450341215017,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.25846443610039077,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.2852251706075086,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1531442404577867,0.25,0.25,1.2852251706075086,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.550299993250519
2,0.01764218725085314,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.17739607360840387,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.882109362542657,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8566567360002844,0.25,0.25,0.882109362542657,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.150900000240654
3,0.018931107470399323,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.19035644994331197,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.9465553735199661,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8568169010472713,0.25,0.25,0.9465553735199661,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.225099997711368
4,0.016922850039819772,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.17016297971685318,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.8461425019909886,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1533403460993417,0.25,0.25,0.8461425019909886,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.157299998449162
5,0.010798867619792719,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10858498937400861,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.5399433809896359,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1532333926358307,0.25000000000000006,0.25000000000000006,0.5399433809896359,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.359899998642504
6,0.016145978411468472,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.16235136460316466,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.8072989205734237,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.856693047548364,0.25,0.25,0.8072989205734237,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.385100008221343
7,0.026791070295226566,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.26939010512486805,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.3395535147613282,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1533051758614614,0.25,0.25,1.3395535147613282,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.177799994475208
8,0.01981591354752113,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19925336968202934,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.9907956773760564,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1532424602930846,0.25,0.25,0.9907956773760564,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.423899991204962
9,0.013303676640756861,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13377139506962107,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,0.665183832037843,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.153151121450802,0.25000000000000006,0.25000000000000006,0.665183832037843,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.263599992962554
10,0.020123227049406056,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.20234347454408938,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,1.0061613524703028,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1531028490513333,0.25,0.25,1.0061613524703028,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.296799998381175
11,0.019642520208890547,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1975098615202831,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.9821260104445274,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1530551465534336,0.25,0.25,0.9821260104445274,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.195599999045953
12,0.01902970634271561,0.5,3976.2390193859083,1200.0,0.08,0.0,0.25000000000000006,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.19134788329352084,0.2,1,0,0,0,0,3976.2390193859083,0.0,0.0,1.6653345369377348e-16,0.9514853171357804,2.0,3976.2390193859083,4.967764082186449,0.008481780773098696,3.8566223738356196,0.25000000000000006,0.25000000000000006,0.9514853171357804,1,0,1,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.158700001426041
13,0.010621006060442138,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10679655227003583,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.6653345369377348e-16,0.5310503030221069,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153137014958794,0.25,0.25,0.5310503030221069,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.342599997879006
14,0.01361252560102821,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1368769393035156,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.6653345369377348e-16,0.6806262800514105,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153055254072303,0.25,0.25,0.6806262800514105,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.215699992026202
15,0.024408804583413095,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.24543589935895865,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.6653345369377348e-16,1.2204402291706546,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1530496850022534,0.25,0.25,1.2204402291706546,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.233299995074049
16,0.01810712644179965,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.18207113944734002,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,1.6653345369377348e-16,0.9053563220899824,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.856585135780645,0.25,0.25,0.9053563220899824,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.253999999491498
17,0.016718550189220648,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.16810869977867174,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,2.220446049250313e-16,0.8359275094610324,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1531260461776283,0.25000000000000006,0.25000000000000006,0.8359275094610324,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.232999992789701
18,0.02701851450534508,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2716771066891462,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.220446049250313e-16,1.350925725267254,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1531414019999513,0.25,0.25,1.350925725267254,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.320200001937337
19,0.012957298887481553,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13028849056675854,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,2.7755575615628914e-16,0.6478649443740776,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.153056915920164,0.25000000000000006,0.25000000000000006,0.6478649443740776,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.270099998801015
20,0.028517011428504598,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2867448228800577,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.7755575615628914e-16,1.4258505714252299,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153094947664421,0.25,0.25,1.4258505714252299,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.233199994312599
