t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,2,400,128,50,1.0,5.622702205031612,795.7815220206975
2,raucb_plus,2,400,128,50,1.0,20.598413980710646,798.7747578709605
3,raucb_plus,2,400,128,50,1.0,8.242178324368897,1349.1110882216888
4,raucb_plus,2,400,128,50,1.0,9.279336812647363,1020.9914471009914
5,raucb_plus,2,400,128,50,1.0,12.482546552935194,816.0417832762095
6,raucb_plus,2,400,128,50,1.0,7.151921973853806,999.1811715995797
7,raucb_plus,2,400,128,50,1.0,10.371726252186596,1158.1097289303214
8,raucb_plus,2,400,128,50,1.0,17.492029994012597,949.0854231018981
9,raucb_plus,2,400,128,50,1.0,5.978773880160687,778.1131320153635
10,raucb_plus,2,400,128,50,1.0,9.578135107611898,833.8141416121107
11,raucb_plus,2,400,128,50,1.0,7.633914460314823,1316.620633837129
12,raucb_plus,2,400,128,50,1.0,9.521420576550513,1270.3361663472397
13,raucb_plus,2,400,128,50,1.0,-1.6008273204678325,824.9226231898294
14,raucb_plus,2,400,128,50,1.0,7.850553128375622,607.5533580186379
15,raucb_plus,2,400,128,50,1.0,18.518632951407596,1068.0507459351538
16,raucb_plus,2,400,128,50,1.0,5.633456356515415,877.2353035285046
17,raucb_plus,2,400,128,50,1.0,9.589308612166572,619.8521104612589
18,raucb_plus,2,400,128,50,1.0,0.8780154946056591,947.7553045818571
19,raucb_plus,2,400,128,50,1.0,19.088372176663267,1151.3234027812682
20,raucb_plus,2,400,128,50,1.0,1.8020702941913864,1104.3581178937156
21,raucb_plus,2,400,128,50,1.0,18.342265714134086,856.5869249273517
22,raucb_plus,2,400,128,50,1.0,0.012030326801774294,1019.15025054808
23,raucb_plus,2,400,128,50,1.0,14.022569723507324,1304.5906996680917
24,raucb_plus,2,400,128,50,1.0,5.672986105761312,803.4550421141776
25,raucb_plus,2,400,128,50,1.0,11.188978353240394,925.007375380069
26,raucb_plus,2,400,128,50,1.0,12.475074756469862,808.918881017536
27,raucb_plus,2,400,128,50,1.0,8.864276611568235,1025.346218294675
28,raucb_plus,2,400,128,50,1.0,7.3597744008378525,856.2707442907697
29,raucb_plus,2,400,128,50,1.0,15.723981636331587,1134.6799038873212
30,raucb_plus,2,400,128,50,1.0,5.972007011084799,944.367801669258
31,raucb_plus,2,400,128,50,1.0,13.315062753293752,1243.331205543738
32,raucb_plus,2,400,128,50,1.0,9.126941820884756,910.31332888083
33,raucb_plus,2,400,128,50,1.0,4.21590440761523,847.1695893624441
34,raucb_plus,2,400,128,50,1.0,11.512677997913674,779.9314306946736
35,raucb_plus,2,400,128,50,1.0,6.13861118984533,1083.5831993259171
36,raucb_plus,2,400,128,50,1.0,13.574535855123091,907.5646298727089
37,raucb_plus,2,400,128,50,1.0,6.861197980695332,1007.5026601388499
38,raucb_plus,2,400,128,50,1.0,8.160535486769673,1254.6953755866316
39,raucb_plus,2,400,128,50,1.0,8.248484933442871,585.0899683157986
40,raucb_plus,2,400,128,50,1.0,12.72785970915249,848.4220136420533
41,raucb_plus,2,400,128,50,1.0,4.871436532996118,953.1397858930878
42,raucb_plus,2,400,128,50,1.0,3.5458175124843025,1209.2258202929618
43,raucb_plus,2,400,128,50,1.0,16.460909923578065,1202.1275524835187
44,raucb_plus,2,400,128,50,1.0,6.753495795344596,990.4386374053024
45,raucb_plus,2,400,128,50,1.0,9.305597237683248,1273.3522279543847
46,raucb_plus,2,400,128,50,1.0,6.156361702627796,758.1829219941128
47,raucb_plus,2,400,128,50,1.0,8.49941306575619,900.0698293407359
48,raucb_plus,2,400,128,50,1.0,14.180303012872752,1208.205473109191
49,raucb_plus,2,400,128,50,1.0,12.781748297804075,783.1246500606426
50,raucb_plus,2,400,128,50,1.0,3.297115593195561,1330.9614706286284
51,raucb_plus,2,400,128,50,1.0,15.775012795126468,1169.905374870744
52,raucb_plus,2,400,128,50,1.0,6.901384977429432,1258.7885280920918
53,raucb_plus,2,400,128,50,1.0,12.326618757437313,1179.5171773247828
54,raucb_plus,2,400,128,50,1.0,10.3078882352999,582.9967061567377
55,raucb_plus,2,400,128,50,1.0,10.954768150268398,719.483567600068
56,raucb_plus,2,400,128,50,1.0,7.3452734882795605,861.5113512093064
57,raucb_plus,2,400,128,50,1.0,10.758713231582274,995.2226431738741
58,raucb_plus,2,400,128,50,1.0,11.203028632949662,855.9375912375194
59,raucb_plus,2,400,128,50,1.0,11.792692924587083,992.1021011040028
60,raucb_plus,2,400,128,50,1.0,8.385279125300029,1015.6819902410268
61,raucb_plus,2,400,128,50,1.0,5.455624880305586,478.9804761222075
62,raucb_plus,2,400,128,50,1.0,4.082578888633704,856.9420497655149
63,raucb_plus,2,400,128,50,1.0,1.0884857970380573,1524.1239032539236
64,raucb_plus,2,400,128,50,1.0,7.107841664829831,1153.2466311550577
65,raucb_plus,2,400,128,50,1.0,12.378903628752301,880.3733388452613
66,raucb_plus,2,400,128,50,1.0,12.707233486335387,1063.0098468766835
67,raucb_plus,2,400,128,50,1.0,11.716265543329145,1184.3619975245824
68,raucb_plus,2,400,128,50,1.0,-4.236997898505033,995.997888927351
69,raucb_plus,2,400,128,50,1.0,5.258464253310548,826.5633960165912
70,raucb_plus,2,400,128,50,1.0,22.56163692227393,1324.5970909884938
71,raucb_plus,2,400,128,50,1.0,9.821971764950172,1143.3740127347521
