t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,1,50,256,50,1.0,3.7386389168675596,935.1680817213025
2,safe_linucb,1,50,256,50,1.0,11.113244054491663,1293.041089148135
3,safe_linucb,1,50,256,50,1.0,5.011868949934184,1091.4694914720808
4,safe_linucb,1,50,256,50,1.0,11.131147096731791,1037.1705756139872
5,safe_linucb,1,50,256,50,1.0,11.758409082958423,1121.6114818665942
6,safe_linucb,1,50,256,50,1.0,7.3375201293846235,1268.650280048807
7,safe_linucb,1,50,256,50,1.0,9.337061875913163,818.2240007435388
8,safe_linucb,1,50,256,50,1.0,10.694418300872567,1074.3395703576737
9,safe_linucb,1,50,256,50,1.0,6.891222260465762,846.31298160508
10,safe_linucb,1,50,256,50,1.0,23.296362768783148,830.2776778683165
11,safe_linucb,1,50,256,50,1.0,8.451108095522905,834.5749918474581
12,safe_linucb,1,50,256,50,1.0,10.230253815385995,961.5824164263906
13,safe_linucb,1,50,256,50,1.0,5.141761661320977,1426.5099168999525
14,safe_linucb,1,50,256,50,1.0,19.98656934486885,1031.5386697533268
15,safe_linucb,1,50,256,50,1.0,0.3656665878750953,1017.9297302869077
16,safe_linucb,1,50,256,50,1.0,6.610672215973722,875.2740903996041
17,safe_linucb,1,50,256,50,1.0,20.232511761359447,791.5392290086769
18,safe_linucb,1,50,256,50,1.0,13.314012112499405,797.7687578168677
19,safe_linucb,1,50,256,50,1.0,17.739138971734384,1018.397059759146
20,safe_linucb,1,50,256,50,1.0,10.285519202069667,1054.3557449007521
21,safe_linucb,1,50,256,50,1.0,8.198788359351306,1199.333598590299
22,safe_linucb,1,50,256,50,1.0,7.63820342863214,1363.4660337008547
23,safe_linucb,1,50,256,50,1.0,5.2222779156750505,1008.0774882133101
24,safe_linucb,1,50,256,50,1.0,3.4466578316702323,1253.2380445676406
25,safe_linucb,1,50,256,50,1.0,16.088836080896932,698.3251788419841
26,safe_linucb,1,50,256,50,1.0,4.2986202384619805,992.7016142445281
27,safe_linucb,1,50,256,50,1.0,11.390359001272868,720.7634846195411
28,safe_linucb,1,50,256,50,1.0,3.7351118222439297,1016.6651600856562
29,safe_linucb,1,50,256,50,1.0,7.444021530140478,1082.1401418433056
30,safe_linucb,1,50,256,50,1.0,18.13050499191226,841.1080877206151
31,safe_linucb,1,50,256,50,1.0,12.626824019175803,874.2821976901575
32,safe_linucb,1,50,256,50,1.0,2.5617432074735333,865.6271659446422
33,safe_linucb,1,50,256,50,1.0,17.791463288222495,940.8736758677229
34,safe_linucb,1,50,256,50,1.0,15.107088535124484,823.1977156590714
35,safe_linucb,1,50,256,50,1.0,6.717391282716762,1113.0142892724054
36,safe_linucb,1,50,256,50,1.0,13.231602551241659,970.9567991260672
37,safe_linucb,1,50,256,50,1.0,9.76436348456871,987.3952207460012
38,safe_linucb,1,50,256,50,1.0,18.80445616233452,1004.4968447749171
39,safe_linucb,1,50,256,50,1.0,7.7081062166106875,900.4213438789359
40,safe_linucb,1,50,256,50,1.0,12.198926689054995,1030.9004846461708
41,safe_linucb,1,50,256,50,1.0,13.686327635857223,629.781736378151
42,safe_linucb,1,50,256,50,1.0,14.970147186196487,1104.244774695897
43,safe_linucb,1,50,256,50,1.0,6.804349615087823,1150.1003730924767
44,safe_linucb,1,50,256,50,1.0,3.3465462171168276,973.5911998982632
45,safe_linucb,1,50,256,50,1.0,3.586141856017645,944.3710777665202
46,safe_linucb,1,50,256,50,1.0,11.689529423780026,1163.872640944913
47,safe_linucb,1,50,256,50,1.0,10.28433058042108,997.1972809982041
48,safe_linucb,1,50,256,50,1.0,22.576419245939345,1512.8637635707764
49,safe_linucb,1,50,256,50,1.0,4.791573360647447,1034.5368217843968
50,safe_linucb,1,50,256,50,1.0,3.03048571610728,1077.8401027205746
51,safe_linucb,1,50,256,50,1.0,6.450488339819991,1101.9235641481057
52,safe_linucb,1,50,256,50,1.0,10.347813203247467,1208.768790095934
53,safe_linucb,1,50,256,50,1.0,10.793777475586927,827.9701821166935
54,safe_linucb,1,50,256,50,1.0,3.306933110265666,713.3899640770361
55,safe_linucb,1,50,256,50,1.0,10.708561204981407,675.6090381312737
56,safe_linucb,1,50,256,50,1.0,6.628204176565281,736.9619603820904
57,safe_linucb,1,50,256,50,1.0,5.093239104237312,1062.0492255204165
58,safe_linucb,1,50,256,50,1.0,14.845146967535133,1227.5200882376957
59,safe_linucb,1,50,256,50,1.0,15.406414212884343,1186.7315837476517
60,safe_linucb,1,50,256,50,1.0,12.915934852219948,1166.0948492285945
61,safe_linucb,1,50,256,50,1.0,9.805133365219394,963.1560802635976
62,safe_linucb,1,50,256,50,1.0,5.781818827416385,790.0602820257473
63,safe_linucb,1,50,256,50,1.0,3.7106440799375857,1124.6727378537566
64,safe_linucb,1,50,256,50,1.0,14.691019006285517,962.5253101576865
65,safe_linucb,1,50,256,50,1.0,2.581007406512404,945.8927507223879
66,safe_linucb,1,50,256,50,1.0,8.546134284519498,529.7084796070835
67,safe_linucb,1,50,256,50,1.0,8.256093202766687,1004.5047179120768
68,safe_linucb,1,50,256,50,1.0,11.494751249353257,897.4669841326337
69,safe_linucb,1,50,256,50,1.0,7.2671268470626735,865.3085842637236
70,safe_linucb,1,50,256,50,1.0,8.695012770938678,759.8471288290841
71,safe_linucb,1,50,256,50,1.0,16.21134550999269,999.5848562829074
72,safe_linucb,1,50,256,50,1.0,3.4574762212462655,942.9545178815627
73,safe_linucb,1,50,256,50,1.0,4.894605053642306,985.3435250612466
74,safe_linucb,1,50,256,50,1.0,14.59360387167899,838.2120917215243
75,safe_linucb,1,50,256,50,1.0,9.89754873487123,878.099949608284
76,safe_linucb,1,50,256,50,1.0,-0.06492962158695548,1176.902783312245
77,safe_linucb,1,50,256,50,1.0,16.631782246328076,843.8287207072857
78,safe_linucb,1,50,256,50,1.0,7.507402082573826,997.5636738521209
79,safe_linucb,1,50,256,50,1.0,0.21540267151377002,1145.0454058250486
80,safe_linucb,1,50,256,50,1.0,19.431077052165925,710.2542331867928
81,safe_linucb,1,50,256,50,1.0,13.250307979826063,1401.4649401271345
82,safe_linucb,1,50,256,50,1.0,6.997393654591125,1318.4438856231855
83,safe_linucb,1,50,256,50,1.0,14.434195195824852,1227.1993069802957
84,safe_linucb,1,50,256,50,1.0,10.380956162692929,837.0508278253951
85,safe_linucb,1,50,256,50,1.0,16.43367337313828,975.5970578948959
86,safe_linucb,1,50,256,50,1.0,8.599102943733,896.7147916296218
87,safe_linucb,1,50,256,50,1.0,15.60569366887513,1173.4513370605898
88,safe_linucb,1,50,256,50,1.0,5.571754996884711,1047.027500377825
89,safe_linucb,1,50,256,50,1.0,9.987216858593339,1141.7281091784105
90,safe_linucb,1,50,256,50,1.0,5.690267027803067,764.8851062848063
91,safe_linucb,1,50,256,50,1.0,9.505342746639649,1015.4089358202826
92,safe_linucb,1,50,256,50,1.0,9.647555180404883,1178.6175268861734
93,safe_linucb,1,50,256,50,1.0,10.85312627778695,830.2557226792459
94,safe_linucb,1,50,256,50,1.0,5.459274412197407,809.1774355857924
95,safe_linucb,1,50,256,50,1.0,7.858409305127917,1014.5759529447452
96,safe_linucb,1,50,256,50,1.0,8.763513276142339,945.5068903943632
97,safe_linucb,1,50,256,50,1.0,12.379132143314504,996.9736454020866
98,safe_linucb,1,50,256,50,1.0,3.2294253277714233,1129.2947137207723
99,safe_linucb,1,50,256,50,1.0,9.92925191014789,1339.8778068998668
100,safe_linucb,1,50,256,50,1.0,9.900077949757401,948.001853026279
101,safe_linucb,1,50,256,50,1.0,3.971129901245808,1088.6961423877647
102,safe_linucb,1,50,256,50,1.0,12.147472900655185,1052.9493188445545
103,safe_linucb,1,50,256,50,1.0,11.028845615286546,1363.382690198522
104,safe_linucb,1,50,256,50,1.0,9.026230628384388,1009.3636365971548
105,safe_linucb,1,50,256,50,1.0,6.914107231126475,988.1050587949646
106,safe_linucb,1,50,256,50,1.0,9.33350443961179,1102.7628387761174
107,safe_linucb,1,50,256,50,1.0,17.039449158655078,1358.545909367086
108,safe_linucb,1,50,256,50,1.0,18.87542903704908,1106.1287752857795
109,safe_linucb,1,50,256,50,1.0,13.614855794559883,467.5234982011426
110,safe_linucb,1,50,256,50,1.0,10.951166182125375,1005.9430077722448
111,safe_linucb,1,50,256,50,1.0,13.358290062221387,906.3813382604277
112,safe_linucb,1,50,256,50,1.0,5.084743574357941,639.2112868547308
113,safe_linucb,1,50,256,50,1.0,15.63262173272668,1204.7020460899203
114,safe_linucb,1,50,256,50,1.0,12.37196750016496,1181.3698551158323
115,safe_linucb,1,50,256,50,1.0,11.248042734568465,1511.5240763872166
116,safe_linucb,1,50,256,50,1.0,9.68887493392988,1031.7860975507951
117,safe_linucb,1,50,256,50,1.0,13.78823958041262,814.8260079886744
118,safe_linucb,1,50,256,50,1.0,3.2322006733220636,433.0246436760333
119,safe_linucb,1,50,256,50,1.0,12.206798744850543,1122.341162041841
120,safe_linucb,1,50,256,50,1.0,8.640069463034092,705.3418975520603
121,safe_linucb,1,50,256,50,1.0,2.465745124425606,1122.834001648891
122,safe_linucb,1,50,256,50,1.0,13.05883284561841,971.7537885364391
123,safe_linucb,1,50,256,50,1.0,11.628620354943152,725.6675574888125
124,safe_linucb,1,50,256,50,1.0,6.519588394533892,1155.1386497666554
125,safe_linucb,1,50,256,50,1.0,16.362214126697015,718.8178448872575
126,safe_linucb,1,50,256,50,1.0,6.535912497204668,950.9129628101622
127,safe_linucb,1,50,256,50,1.0,8.666428179122107,668.6523316652886
128,safe_linucb,1,50,256,50,1.0,18.22000599722005,922.9542021009889
129,safe_linucb,1,50,256,50,1.0,9.206967026857745,1109.7379276982103
130,safe_linucb,1,50,256,50,1.0,9.703708293542867,699.9172392571086
131,safe_linucb,1,50,256,50,1.0,16.450868271746717,972.8066554382941
132,safe_linucb,1,50,256,50,1.0,11.046422126819522,983.4823666858678
133,safe_linucb,1,50,256,50,1.0,4.407764225430938,694.9636930102272
134,safe_linucb,1,50,256,50,1.0,13.767757751924595,1077.0558171852044
135,safe_linucb,1,50,256,50,1.0,11.37290389405917,1043.926951374388
136,safe_linucb,1,50,256,50,1.0,13.5997371298917,1035.3559791178911
137,safe_linucb,1,50,256,50,1.0,20.6418471102512,765.8666219841252
138,safe_linucb,1,50,256,50,1.0,10.886080968803382,820.4196379916186
139,safe_linucb,1,50,256,50,1.0,9.138877927960285,1341.5665024993468
140,safe_linucb,1,50,256,50,1.0,7.030789552143201,996.1221116667235
141,safe_linucb,1,50,256,50,1.0,11.322291349894835,768.7416782171672
142,safe_linucb,1,50,256,50,1.0,0.8293682607457384,609.2940643832424
143,safe_linucb,1,50,256,50,1.0,9.540905594209354,1139.6268340617996
144,safe_linucb,1,50,256,50,1.0,12.654726816818991,782.4814366998927
145,safe_linucb,1,50,256,50,1.0,6.187051415363001,1274.854530678453
146,safe_linucb,1,50,256,50,1.0,12.803649954665236,1113.1051904935389
147,safe_linucb,1,50,256,50,1.0,12.358421986382012,1059.70244953557
148,safe_linucb,1,50,256,50,1.0,8.96882572290983,625.6438600256735
149,safe_linucb,1,50,256,50,1.0,8.222382516908286,971.4128113765383
150,safe_linucb,1,50,256,50,1.0,14.861481330470548,1086.8108802613735
151,safe_linucb,1,50,256,50,1.0,12.01388967319309,872.421680290415
152,safe_linucb,1,50,256,50,1.0,14.598522091362845,1275.766060126503
153,safe_linucb,1,50,256,50,1.0,7.084105166625377,1266.841026962998
154,safe_linucb,1,50,256,50,1.0,8.88474858134353,538.773919225793
155,safe_linucb,1,50,256,50,1.0,13.241343872935143,595.7073232480806
156,safe_linucb,1,50,256,50,1.0,16.99632131428119,1319.943839989884
157,safe_linucb,1,50,256,50,1.0,7.485003325673635,1037.742612663449
158,safe_linucb,1,50,256,50,1.0,-0.8375672969892598,1127.7229020267198
159,safe_linucb,1,50,256,50,1.0,8.889548340560207,1106.8720605251326
160,safe_linucb,1,50,256,50,1.0,4.700429726825062,1086.4619037796394
161,safe_linucb,1,50,256,50,1.0,7.718059489744551,853.4041230351374
162,safe_linucb,1,50,256,50,1.0,12.673957880048585,1197.2494726428854
163,safe_linucb,1,50,256,50,1.0,12.125474939168877,835.0358129956203
164,safe_linucb,1,50,256,50,1.0,20.932253560243435,1182.888514617021
165,safe_linucb,1,50,256,50,1.0,7.39529533081706,862.11080655713
166,safe_linucb,1,50,256,50,1.0,14.791056106238184,1009.1838828300381
167,safe_linucb,1,50,256,50,1.0,12.403623311274492,682.9808359939436
168,safe_linucb,1,50,256,50,1.0,11.404011619244075,870.4475245620262
169,safe_linucb,1,50,256,50,1.0,15.654381096606986,1047.442120845419
170,safe_linucb,1,50,256,50,1.0,17.41983060037168,754.7759322332389
171,safe_linucb,1,50,256,50,1.0,9.360781712417058,1287.5876035472616
172,safe_linucb,1,50,256,50,1.0,11.897548485080142,1077.2743932574622
173,safe_linucb,1,50,256,50,1.0,9.619341580118544,873.7597573605168
174,safe_linucb,1,50,256,50,1.0,11.473382771144202,900.0075492164128
175,safe_linucb,1,50,256,50,1.0,13.613818214365065,970.960195053953
176,safe_linucb,1,50,256,50,1.0,10.146842246203368,1077.6700659875153
177,safe_linucb,1,50,256,50,1.0,-0.533470671475575,974.0478647877172
178,safe_linucb,1,50,256,50,1.0,12.177102708020767,1166.7789324460387
179,safe_linucb,1,50,256,50,1.0,8.354862791903848,882.5420211305993
180,safe_linucb,1,50,256,50,1.0,16.377988341102025,1050.446630582864
181,safe_linucb,1,50,256,50,1.0,-0.7936563539793795,995.6935887432523
182,safe_linucb,1,50,256,50,1.0,11.876030895309402,1102.1693900527434
183,safe_linucb,1,50,256,50,1.0,14.90186512774356,938.3701196036116
184,safe_linucb,1,50,256,50,1.0,11.459585716811706,706.5168641378023
185,safe_linucb,1,50,256,50,1.0,11.721859930685596,851.0412994990281
186,safe_linucb,1,50,256,50,1.0,8.277362077052286,829.2950124668557
187,safe_linucb,1,50,256,50,1.0,15.146865528597976,1058.7729412042152
188,safe_linucb,1,50,256,50,1.0,24.229546165152563,1039.263727213092
