t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.012969838103997598,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.13041457514711374,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.6484919051998799,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1520858722055296,0.25,0.25,0.6484919051998799,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.72869999834802
2,0.01362269863744545,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.13697923142248214,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.6811349318722725,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152088241076621,0.25,0.25,0.6811349318722725,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.212299995240755
3,0.01961322336360839,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.19721527529646232,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.9806611681804194,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1521215106018343,0.25,0.25,0.9806611681804194,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.341000000247732
4,0.020275426472739874,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.20387387322544204,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.0137713236369936,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152156675331805,0.25,0.25,1.0137713236369936,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.18719999329187
5,0.014837350786341167,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.1491928259700454,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7418675393170583,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1521582900113594,0.25,0.25,0.7418675393170583,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.158900010632351
6,0.029532475616790826,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.29695553866776203,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.4766237808395413,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152280626155598,0.25,0.25,1.4766237808395413,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.266800002777018
7,0.010280876291031816,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.10337647261932215,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.5140438145515908,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152257152524549,0.25,0.25,0.5140438145515908,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.101400009356439
8,0.010882742861422679,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.1094283733788684,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.5441371430711339,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152237074329411,0.25,0.25,0.5441371430711339,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.272799990256317
9,0.018436479999922668,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.18538286192308664,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.9218239999961334,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522509154358507,0.25,0.25,0.9218239999961334,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.149900000309572
10,0.017355795813122566,0.08,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,4.0,0.17451634470370056,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8677897906561283,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8558256774650164,0.25,0.25,0.8677897906561283,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.106599997612648
11,0.014381388963310466,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.14460802954027935,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.7190694481655233,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1524164646020534,0.25000000000000006,0.25000000000000006,0.7190694481655233,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.186200000229292
12,0.013407506253729714,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.1348154246677523,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.6703753126864856,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1523915847987407,0.25,0.25,0.6703753126864856,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.164199992781505
13,0.025154204916562888,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2529310636765676,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,1.2577102458281444,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.15244628609948,0.25000000000000006,0.25000000000000006,1.2577102458281444,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.08049999573268
14,0.02439651106499247,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.24531228532699978,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,1.2198255532496234,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152489318864,0.25,0.25,1.2198255532496234,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.315199992968701
15,0.018887960790618514,0.08,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,4.0,0.18992260058702057,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,1.1102230246251565e-16,0.9443980395309256,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8560967183283075,0.25,0.25,0.9443980395309256,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.122900005313568
16,0.018085833358734718,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.18185703281322335,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.9042916679367359,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1526843002642164,0.25,0.25,0.9042916679367359,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.196500005898997
17,0.012072632785234601,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.12139297830619851,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.60363163926173,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1526334670090166,0.25,0.25,0.60363163926173,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.142199999885634
