t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.011100249985602464,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11161545535814417,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.5550124992801232,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1520134582487134,0.25000000000000006,0.25000000000000006,0.5550124992801232,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.634799996390939
2,0.01719104259399182,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.17285971484411636,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.859552129699591,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.855602021487605,0.25,0.25,0.859552129699591,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.537100001471117
3,0.010933920994744637,0.5,1988.1195096929553,1200.0,0.08,0.0,0.2499999999999999,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10994298076721723,0.2,1,0,0,0,0,1988.1195096929553,0.0,0.0,5.551115123125783e-17,0.5466960497372318,1.0,1988.1195096929553,4.967764082186452,0.00848178077309866,3.152199103132839,0.2499999999999999,0.2499999999999999,0.5466960497372318,1,0,0,39.42513431722038,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.140600002254359
4,0.01331781693902144,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1339135788791522,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.665890846951072,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152191284254968,0.25,0.25,0.665890846951072,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.093200005125254
5,0.023303151363899998,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.23431831302313577,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.165157568195,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522447902292017,0.25,0.25,1.165157568195,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.020000000717118
6,0.0157269083714839,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15813752316711566,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.786345418574195,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152243381641559,0.25,0.25,0.786345418574195,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.030300006386824
7,0.019442337335029845,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19549697868882931,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.9721168667514922,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152263102213753,0.25,0.25,0.9721168667514922,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.472699998994358
8,0.009878791223835903,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.09933341882089493,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.4939395611917951,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522400924873493,0.25,0.25,0.4939395611917951,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.105799999204464
9,0.012812139368463161,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.12882887967188483,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.640606968423158,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522272102070916,0.25,0.25,0.640606968423158,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.2356999987969175
10,0.017336226938408823,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.17431957536383402,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.8668113469204412,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8558032478648636,0.25,0.25,0.8668113469204412,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.086199987796135
11,0.022381944448305192,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.22505537484637853,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.1190972224152596,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152444584530911,0.25,0.25,1.1190972224152596,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.114300005719997
12,0.010195919262265247,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10252221100684003,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.5097959631132624,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524077910425468,0.25,0.25,0.5097959631132624,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.220299997949041
