t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.016108023822400994,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.16196972286111447,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.8054011911200497,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522501765688,0.25,0.25,0.8054011911200497,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.678499994450249
2,0.02405552320252627,0.5,1988.1195096929541,2400.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.24188357736185212,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,1.2027761601263134,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1523057270707566,0.25000000000000006,0.25000000000000006,1.2027761601263134,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559276,1,0,1,1,1,1,6.258399997022934
3,0.009884692411253592,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.09939275655848043,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.4942346205626796,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522793206917314,0.25,0.25,0.4942346205626796,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,17.149731365559276,25.724597048338914,1,0,1,1,1,1,6.247700002859347
4,0.010084728650585467,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10140416494749124,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.5042364325292733,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152255486440363,0.25,0.25,0.5042364325292733,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,25.724597048338914,34.29946273111856,1,0,1,1,1,1,6.131699992693029
5,0.013236405529773128,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13309496925086595,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.6618202764886564,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522428622035625,0.25,0.25,0.6618202764886564,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,34.29946273111856,42.87432841389819,1,0,1,1,1,1,6.339600004139356
6,0.012898945001815338,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.12970172941011796,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.6449472500907669,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522300568418697,0.25,0.25,0.6449472500907669,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,42.87432841389819,51.44919409667782,1,0,1,1,1,1,6.1329999880399555
7,0.014765904217019437,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.14847441499921454,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.7382952108509718,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522254936496132,0.25,0.25,0.7382952108509718,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,51.44919409667782,60.02405977945745,1,0,1,1,1,1,6.179999996675178
8,0.019346210795936732,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.19453040519302553,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.9673105397968367,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.855870657266041,0.25,0.25,0.9673105397968367,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,60.02405977945745,29.17379114501672,1,0,1,1,1,1,4.319800005760044
9,0.01654385326379092,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.16635208376490648,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.827192663189546,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8560155329937302,0.25,0.25,0.827192663189546,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,29.17379114501672,0.0,1,0,1,1,1,1,4.127499996684492
10,0.025479608372341426,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.25620306700432544,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.2739804186170713,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152668169258182,0.25,0.25,1.2739804186170713,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.143200007500127
11,0.027413878226338555,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.27565257587299463,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.3706939113169276,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1527245440690823,0.25,0.25,1.3706939113169276,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559276,1,0,1,1,1,1,6.243200012249872
