t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,arm_id,lcb_min,reward_shaped,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.012,0.5,11997.97741596475,1200.0,0.08,0.0,0.00020653873775777388,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.07743066297308003,0.2,1,0,0,0,0,11997.97741596475,0.0,0.0,0.0,0.6,5.0,11997.97741596475,13.845743849484696,1.9855963206847635e-07,4.5,0.00020653873775777388,0.00020653873775777388,0.6,1,0,0,239.95950067301536,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.4741999873658642
2,0.012,0.5,11999.816443251495,1200.0,0.08,0.0,4.447817818113878e-08,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.03880993399969928,0.2,1,0,0,0,0,11999.816443251495,0.0,0.0,0.0,0.6,5.0,11999.816443251495,16.845444585451162,5.42733802224877e-09,4.5,4.447817818113878e-08,4.447817818113878e-08,0.6,1,0,0,239.9963275624887,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.3353999927639961
3,0.012,0.5,11999.924984305371,1200.0,0.08,0.0,3.0792912509741646e-10,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02999773458331135,0.2,1,0,0,0,0,11999.924984305371,0.0,0.0,0.0,0.6,5.0,11999.924984305371,17.96398904507361,1.417926269859589e-09,4.5,3.0792912509741646e-10,3.0792912509741646e-10,0.6,1,0,0,239.99849934580726,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.28369999199640006
4,0.012,0.5,11999.444156378668,1200.0,0.08,0.0,4.524966623999647e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.053387818158106365,0.2,1,0,0,0,0,11999.444156378668,0.0,0.0,0.0,0.6,5.0,11999.444156378668,15.460451901562411,2.8600951197334526e-08,4.5,4.524966623999647e-06,4.524966623999647e-06,0.6,1,0,0,239.98887626366306,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.27099999715574086
5,0.012,0.5,11999.741361839862,1200.0,0.08,0.0,2.1832436164392382e-07,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.04283580711159685,0.2,1,0,0,0,0,11999.741361839862,0.0,0.0,0.0,0.6,5.0,11999.741361839862,16.416804084394578,9.07766840497414e-09,4.5,2.1832436164392382e-07,2.1832436164392382e-07,0.6,1,0,0,239.9948250582038,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.259000007645227
6,0.012,0.5,11999.935218637003,1200.0,0.08,0.0,1.1975548682789023e-10,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.028757652180581315,0.2,1,0,0,0,0,11999.935218637003,0.0,0.0,0.0,0.6,5.0,11999.935218637003,18.14733936041491,1.1378892973953853e-09,4.5,1.1975548682789023e-10,1.1975548682789023e-10,0.6,1,0,0,239.9987040996481,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.25660000392235816
7,0.012,0.5,11999.884396619935,1200.0,0.08,0.0,3.996512579948692e-09,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.03397405309968216,0.2,1,0,0,0,0,11999.884396619935,0.0,0.0,0.0,0.6,5.0,11999.884396619935,17.423400014926706,2.7125855723307765e-09,4.5,3.996512579948692e-09,3.996512579948692e-09,0.6,1,0,0,239.99768728138443,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.26169999910052866
8,0.012,0.5,11999.869263948187,1200.0,0.08,0.0,7.831368597168775e-09,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.035198521528458475,0.2,1,0,0,0,0,11999.869263948187,0.0,0.0,0.0,0.6,5.0,11999.869263948187,17.269629408790195,3.2622821373200515e-09,4.5,7.831368597168775e-09,7.831368597168775e-09,0.6,1,0,0,239.99738449602458,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.27770000451710075
9,0.012,0.5,11999.475779905773,1200.0,0.08,0.0,3.6706670811212555e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.05249523948037942,0.2,1,0,0,0,0,11999.475779905773,0.0,0.0,0.0,0.6,5.0,11999.475779905773,15.533674414342004,2.6195115523635018e-08,4.5,3.6706670811212555e-06,3.6706670811212555e-06,0.6,1,0,0,239.98950931156241,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.25490000552963465
10,0.012,0.5,11998.355171592864,1200.0,0.08,0.0,0.00012276616275349418,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.07295693166776329,0.2,1,0,0,0,0,11998.355171592864,0.0,0.0,0.0,0.6,5.0,11998.355171592864,14.10420802037928,1.45610102161263e-07,4.5,0.00012276616275349418,0.00012276616275349418,0.6,1,0,0,239.96706849022286,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.24470000062137842
