t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,lyapunov_greedy_oracle,3,400,256,10,1.0,-0.11106484448268006,762.0830620537472
2,lyapunov_greedy_oracle,3,400,256,10,1.0,11.895082751531355,969.2768769994778
3,lyapunov_greedy_oracle,3,400,256,10,1.0,11.011636709689842,998.0861963004621
4,lyapunov_greedy_oracle,3,400,256,10,1.0,-1.6154509953962446,1060.2431741802359
5,lyapunov_greedy_oracle,3,400,256,10,1.0,15.576088185587027,1173.8292158297763
6,lyapunov_greedy_oracle,3,400,256,10,1.0,9.255542284911003,533.9774716824659
7,lyapunov_greedy_oracle,3,400,256,10,1.0,10.656434327784178,960.2320684060778
8,lyapunov_greedy_oracle,3,400,256,10,1.0,10.395642342082704,899.8860572679738
9,lyapunov_greedy_oracle,3,400,256,10,1.0,8.033872526743172,967.1639918749773
10,lyapunov_greedy_oracle,3,400,256,10,1.0,11.056477564337575,1183.9960003987906
11,lyapunov_greedy_oracle,3,400,256,10,1.0,6.7593262152420115,1218.0435352214965
12,lyapunov_greedy_oracle,3,400,256,10,1.0,8.78531538044508,949.0053639892072
13,lyapunov_greedy_oracle,3,400,256,10,1.0,9.6240240763951,581.4963372658818
14,lyapunov_greedy_oracle,3,400,256,10,1.0,11.122267924883161,919.5249606274451
15,lyapunov_greedy_oracle,3,400,256,10,1.0,22.146554337982543,806.6483512498748
16,lyapunov_greedy_oracle,3,400,256,10,1.0,4.7908733922936,1031.3523899283132
17,lyapunov_greedy_oracle,3,400,256,10,1.0,11.31015400516861,1396.9752605165863
18,lyapunov_greedy_oracle,3,400,256,10,1.0,1.7783880864058421,837.4105710772387
19,lyapunov_greedy_oracle,3,400,256,10,1.0,12.217405552566245,982.697216802507
20,lyapunov_greedy_oracle,3,400,256,10,1.0,6.838295720362531,1060.9921187796574
21,lyapunov_greedy_oracle,3,400,256,10,1.0,3.758950007234109,807.5208242395383
22,lyapunov_greedy_oracle,3,400,256,10,1.0,3.3155265540210923,1010.192683452203
23,lyapunov_greedy_oracle,3,400,256,10,1.0,14.17896112105673,1444.0273137906777
24,lyapunov_greedy_oracle,3,400,256,10,1.0,0.6248217486376024,809.3241759234182
25,lyapunov_greedy_oracle,3,400,256,10,1.0,7.964077067769333,1203.2726161398928
26,lyapunov_greedy_oracle,3,400,256,10,1.0,6.601444532447982,1105.9298210785682
27,lyapunov_greedy_oracle,3,400,256,10,1.0,5.021624227255404,846.0956949286347
28,lyapunov_greedy_oracle,3,400,256,10,1.0,15.447796897027544,581.0067295962704
29,lyapunov_greedy_oracle,3,400,256,10,1.0,0.17045935674946655,713.0591799866362
30,lyapunov_greedy_oracle,3,400,256,10,1.0,4.92034249173704,794.3301063014276
31,lyapunov_greedy_oracle,3,400,256,10,1.0,15.512518018232067,868.0180392218317
32,lyapunov_greedy_oracle,3,400,256,10,1.0,8.408213142188256,973.2889124708531
33,lyapunov_greedy_oracle,3,400,256,10,1.0,9.41990096564072,603.598253404865
34,lyapunov_greedy_oracle,3,400,256,10,1.0,14.838585372920782,1117.871618071645
35,lyapunov_greedy_oracle,3,400,256,10,1.0,15.617510912407866,726.0921616705405
36,lyapunov_greedy_oracle,3,400,256,10,1.0,6.5283608204108186,1095.9598467749915
37,lyapunov_greedy_oracle,3,400,256,10,1.0,8.227732823986955,896.9903956468404
38,lyapunov_greedy_oracle,3,400,256,10,1.0,13.241718033607679,673.8460210226301
39,lyapunov_greedy_oracle,3,400,256,10,1.0,8.793683443555045,662.2066603254095
40,lyapunov_greedy_oracle,3,400,256,10,1.0,7.903655012917693,977.0372871119691
41,lyapunov_greedy_oracle,3,400,256,10,1.0,14.192536050617926,965.8267144893814
42,lyapunov_greedy_oracle,3,400,256,10,1.0,17.370854759551506,966.0762125400024
43,lyapunov_greedy_oracle,3,400,256,10,1.0,5.452660452381798,1101.2900637759583
44,lyapunov_greedy_oracle,3,400,256,10,1.0,4.625276710184255,844.8659019551883
45,lyapunov_greedy_oracle,3,400,256,10,1.0,3.788978497050378,828.1571964101224
46,lyapunov_greedy_oracle,3,400,256,10,1.0,6.052552386848317,1129.0428714408763
47,lyapunov_greedy_oracle,3,400,256,10,1.0,17.100018336016856,818.5934557134542
48,lyapunov_greedy_oracle,3,400,256,10,1.0,10.639821974823517,903.7580543628919
49,lyapunov_greedy_oracle,3,400,256,10,1.0,11.860047578029034,1092.7719525971795
50,lyapunov_greedy_oracle,3,400,256,10,1.0,6.270674622989715,869.3918719129474
51,lyapunov_greedy_oracle,3,400,256,10,1.0,12.75756983622587,962.5125041921954
52,lyapunov_greedy_oracle,3,400,256,10,1.0,10.110546198282618,1234.8893421272294
53,lyapunov_greedy_oracle,3,400,256,10,1.0,17.172976074413036,954.941952394751
54,lyapunov_greedy_oracle,3,400,256,10,1.0,13.297766516326849,1199.5660876214927
55,lyapunov_greedy_oracle,3,400,256,10,1.0,9.361565198336141,953.0140497165213
56,lyapunov_greedy_oracle,3,400,256,10,1.0,15.866156470534811,1155.1456118448912
57,lyapunov_greedy_oracle,3,400,256,10,1.0,12.498348128230553,1009.9297607339053
58,lyapunov_greedy_oracle,3,400,256,10,1.0,14.622492775467304,1086.6565386028828
59,lyapunov_greedy_oracle,3,400,256,10,1.0,14.999956157242128,1189.5427313440116
