t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,2,800,128,25,1.0,8.078771350363626,1091.7823057717633
2,raucb_plus,2,800,128,25,1.0,11.131426433874196,851.3916848689369
3,raucb_plus,2,800,128,25,1.0,11.945497080606204,763.4653723656243
4,raucb_plus,2,800,128,25,1.0,8.997739861837001,1173.0592910927255
5,raucb_plus,2,800,128,25,1.0,9.492781645359283,840.8619671483187
6,raucb_plus,2,800,128,25,1.0,13.222924863356182,1244.3849918042138
7,raucb_plus,2,800,128,25,1.0,-5.0277818259131735,1149.5130326757055
8,raucb_plus,2,800,128,25,1.0,7.178469632032895,734.9169638695362
9,raucb_plus,2,800,128,25,1.0,10.330628973219541,1100.0974101928055
10,raucb_plus,2,800,128,25,1.0,17.18916129692452,1112.217536728912
11,raucb_plus,2,800,128,25,1.0,11.207970739290781,1132.832499407311
12,raucb_plus,2,800,128,25,1.0,3.311941252390099,1454.991348418175
13,raucb_plus,2,800,128,25,1.0,11.74984510816151,907.9889274180229
14,raucb_plus,2,800,128,25,1.0,5.859763503372624,1175.0346641556287
15,raucb_plus,2,800,128,25,1.0,5.209392470030715,822.7269321643266
16,raucb_plus,2,800,128,25,1.0,11.740769803913176,967.4919381297907
17,raucb_plus,2,800,128,25,1.0,10.418390354638058,891.7419842177343
18,raucb_plus,2,800,128,25,1.0,12.264325187166508,672.557434899536
19,raucb_plus,2,800,128,25,1.0,1.724604167523836,935.7915416450862
20,raucb_plus,2,800,128,25,1.0,18.8224619111325,846.9537495262309
21,raucb_plus,2,800,128,25,1.0,15.975971104859976,1188.4005906544355
22,raucb_plus,2,800,128,25,1.0,1.5550115456803741,929.8673080740931
23,raucb_plus,2,800,128,25,1.0,18.049688212482195,1311.404173577291
24,raucb_plus,2,800,128,25,1.0,5.728638412702054,1009.989622549745
25,raucb_plus,2,800,128,25,1.0,9.009379829966566,726.8896118457756
26,raucb_plus,2,800,128,25,1.0,8.4322674263279,964.5701044041434
27,raucb_plus,2,800,128,25,1.0,8.340701757885672,857.5393857877089
28,raucb_plus,2,800,128,25,1.0,12.06188719356895,954.2983273742643
29,raucb_plus,2,800,128,25,1.0,12.293773507490764,1102.0988877010004
30,raucb_plus,2,800,128,25,1.0,19.560922930802526,956.0806274373499
31,raucb_plus,2,800,128,25,1.0,12.104229317570345,1209.9336670841374
32,raucb_plus,2,800,128,25,1.0,14.521061843085974,1019.4287500660078
33,raucb_plus,2,800,128,25,1.0,10.010180031353059,1108.65802022236
34,raucb_plus,2,800,128,25,1.0,8.792507578888836,1183.386811924913
35,raucb_plus,2,800,128,25,1.0,10.334469999906265,770.0961169476251
36,raucb_plus,2,800,128,25,1.0,12.572101905777185,829.9324455442784
37,raucb_plus,2,800,128,25,1.0,7.064399514312248,895.7896503713481
38,raucb_plus,2,800,128,25,1.0,14.239861099777567,1176.1829583009824
39,raucb_plus,2,800,128,25,1.0,9.584701061661784,1009.831964158183
40,raucb_plus,2,800,128,25,1.0,4.693722918722312,790.8742025700087
41,raucb_plus,2,800,128,25,1.0,8.702853231150444,651.3630494071583
42,raucb_plus,2,800,128,25,1.0,4.515862490972841,1018.8461821571985
43,raucb_plus,2,800,128,25,1.0,4.639573656977526,1437.8276739028038
44,raucb_plus,2,800,128,25,1.0,11.83069634006537,1015.7946466785203
45,raucb_plus,2,800,128,25,1.0,6.616549288277483,895.5591289755837
46,raucb_plus,2,800,128,25,1.0,3.844832387912386,1277.1289376436987
47,raucb_plus,2,800,128,25,1.0,15.297887282196434,887.3951603534659
