t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,2,50,512,50,1.0,22.703047606855193,990.2097731425602
2,safe_linucb,2,50,512,50,1.0,14.097661738404202,875.7982995365478
3,safe_linucb,2,50,512,50,1.0,3.7044187722791575,1086.734043782451
4,safe_linucb,2,50,512,50,1.0,13.767808369367096,1102.4134329611004
5,safe_linucb,2,50,512,50,1.0,12.467709493868345,1278.4134427690267
6,safe_linucb,2,50,512,50,1.0,10.385027790343624,954.3549280085928
7,safe_linucb,2,50,512,50,1.0,6.323901848743368,1045.3827215159472
8,safe_linucb,2,50,512,50,1.0,8.228968456078785,938.6987617025919
9,safe_linucb,2,50,512,50,1.0,5.483381998189464,1070.8355478695762
10,safe_linucb,2,50,512,50,1.0,14.6303483269439,1228.3574434838204
11,safe_linucb,2,50,512,50,1.0,18.89824457553145,945.9698090693857
12,safe_linucb,2,50,512,50,1.0,8.073409839033053,773.1613648133289
13,safe_linucb,2,50,512,50,1.0,6.703975133417108,958.4223714660246
14,safe_linucb,2,50,512,50,1.0,1.8301071113076937,1155.7844522412213
15,safe_linucb,2,50,512,50,1.0,2.3455944691803943,604.8605471762655
16,safe_linucb,2,50,512,50,1.0,12.301994714101085,905.0700350717325
17,safe_linucb,2,50,512,50,1.0,6.4583834193103,873.3716765589414
18,safe_linucb,2,50,512,50,1.0,8.552715038516938,891.3504402836558
19,safe_linucb,2,50,512,50,1.0,7.065770780224638,1010.714817556213
20,safe_linucb,2,50,512,50,1.0,8.835867513705725,898.674326222965
21,safe_linucb,2,50,512,50,1.0,18.183792934269874,971.7039855165443
22,safe_linucb,2,50,512,50,1.0,7.167534527878425,963.4077584023153
23,safe_linucb,2,50,512,50,1.0,12.106601511115086,689.1965546769629
24,safe_linucb,2,50,512,50,1.0,9.496835112976052,920.4780784365942
25,safe_linucb,2,50,512,50,1.0,1.8400317022689983,604.8641550127124
26,safe_linucb,2,50,512,50,1.0,0.633456413573164,1061.789010591428
27,safe_linucb,2,50,512,50,1.0,6.1913939532938524,887.2147424702974
28,safe_linucb,2,50,512,50,1.0,9.670438113844227,912.6084389133496
29,safe_linucb,2,50,512,50,1.0,9.660405516760518,1271.7245292003163
30,safe_linucb,2,50,512,50,1.0,10.549471949953688,821.6959700487715
31,safe_linucb,2,50,512,50,1.0,16.594569273300657,683.2647325789254
32,safe_linucb,2,50,512,50,1.0,8.31389386792498,1291.0172664470103
33,safe_linucb,2,50,512,50,1.0,7.312266067115143,990.7897354504735
34,safe_linucb,2,50,512,50,1.0,5.7095223581710375,1294.9442277049409
35,safe_linucb,2,50,512,50,1.0,10.052229953361023,1044.6034649696965
36,safe_linucb,2,50,512,50,1.0,1.5492570548237783,1019.837284981153
