t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.011912621165663611,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11978402627321051,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,0.5956310582831805,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1520427273226743,0.25000000000000006,0.25000000000000006,0.5956310582831805,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,9.143800009042025
2,0.021660069905670872,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.21779676752743637,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.0830034952835437,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1520944967795566,0.25,0.25,1.0830034952835437,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,8.432400005403906
3,0.015017140505132275,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1510006511413353,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.7508570252566137,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1521018696028036,0.25,0.25,0.7508570252566137,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.357299993396737
4,0.01777781621266416,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1787598526540942,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,0.8888908106332079,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152122631505549,0.25000000000000006,0.25000000000000006,0.8888908106332079,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.512799998745322
5,0.012617553266942933,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.12687227361745212,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.6308776633471467,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1521184886016433,0.25,0.25,0.6308776633471467,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.358899991028011
6,0.01383043914186868,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13906810789171517,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.691521957093434,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.15211904102103,0.25,0.25,0.691521957093434,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.429600005503744
7,0.01314030744706436,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13212868189026633,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.6570153723532179,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152116988251585,0.25,0.25,0.6570153723532179,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.898699997691438
8,0.021889747621529513,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.22010622748324202,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.6653345369377348e-16,1.0944873810764757,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1521646287121676,0.25000000000000006,0.25000000000000006,1.0944873810764757,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.419400000595488
9,0.027863889425610636,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.28017753747189256,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,2.220446049250313e-16,1.3931944712805318,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1522663995387834,0.25000000000000006,0.25000000000000006,1.3931944712805318,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.419700002879836
10,0.029664348337064456,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.298281547878523,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.220446049250313e-16,1.4832174168532228,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152381746695432,0.25,0.25,1.4832174168532228,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.724899998516776
11,0.025500687293961648,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2564150201980059,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.220446049250313e-16,1.2750343646980824,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152440683815828,0.25,0.25,1.2750343646980824,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.180500000482425
12,0.019539746553212417,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19647644980503218,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,2.7755575615628914e-16,0.9769873276606208,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1524452668267777,0.25000000000000006,0.25000000000000006,0.9769873276606208,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.278399989241734
13,0.028203107732641057,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.28358845216787937,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.7755575615628914e-16,1.4101553866320529,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525285235571445,0.25,0.25,1.4101553866320529,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.152500005555339
14,0.01819487983469893,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.18295351911630056,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.7755575615628914e-16,0.9097439917349464,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525175939308427,0.25,0.25,0.9097439917349464,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.300099994405173
15,0.011486783295086865,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11550213281181866,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.7755575615628914e-16,0.5743391647543432,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524783443259077,0.25,0.25,0.5743391647543432,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1529000086011365
16,0.016888476745971586,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.16981734868602047,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,2.7755575615628914e-16,0.8444238372985793,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.856020359471236,0.25,0.25,0.8444238372985793,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.111299989745021
17,0.011328561681140418,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11391117967913796,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.7755575615628914e-16,0.5664280840570208,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152585052803805,0.25,0.25,0.5664280840570208,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.459099997300655
18,0.011733462784125912,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11798254933688067,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.7755575615628914e-16,0.5866731392062956,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525411276236914,0.25,0.25,0.5866731392062956,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.149199994979426
19,0.010018204687145435,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10073525186164017,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.7755575615628914e-16,0.5009102343572718,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152496194333057,0.25,0.25,0.5009102343572718,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.237800000235438
