t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,arm_id,lcb_min,reward_shaped,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.012,0.5,11999.371594480646,1200.0,0.08,0.0,6.935362172429375e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.0553070207675823,0.2,1,0,0,0,0,11999.371594480646,0.0,0.0,0.0,0.6,5.0,11999.371594480646,15.307070978364587,3.438075905083345e-08,4.5,6.935362172429375e-06,6.935362172429375e-06,0.6,1,0,0,239.98742363866288,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.4780000017490238
2,0.012,0.5,11999.95749712436,1200.0,0.08,0.0,6.29113624372525e-12,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02547254964539362,0.2,1,0,0,0,0,11999.95749712436,0.0,0.0,0.0,0.6,5.0,11999.95749712436,18.67414945379998,6.047155730002773e-10,4.5,6.29113624372525e-12,6.29113624372525e-12,0.6,1,0,0,239.99914979735598,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.3333000058773905
3,0.012,0.5,11999.166775365658,1200.0,0.08,0.0,1.7516055424044213e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.05998561236477565,0.2,1,0,0,0,0,11999.166775365658,0.0,0.0,0.0,0.6,5.0,11999.166775365658,14.954402660041318,5.2494008635310024e-08,4.5,1.7516055424044213e-05,1.7516055424044213e-05,0.6,1,0,0,239.9833229096259,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.33650000113993883
4,0.012,0.5,11999.942809507667,1200.0,0.08,0.0,5.199084306690816e-11,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.027744350457723867,0.2,1,0,0,0,0,11999.942809507667,0.0,0.0,0.0,0.6,5.0,11999.942809507667,18.303128010239718,9.438657595313285e-10,4.5,5.199084306690816e-11,5.199084306690816e-11,0.6,1,0,0,239.99885596362662,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2832000027410686
5,0.012,0.5,11999.93824044678,1200.0,0.08,0.0,8.728468217420465e-11,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.028364963882544055,0.2,1,0,0,0,0,11999.93824044678,0.0,0.0,0.0,0.6,5.0,11999.93824044678,18.207051278145524,1.0592072506324717e-09,4.5,8.728468217420465e-11,8.728468217420465e-11,0.6,1,0,0,239.99876455472716,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.26509999588597566
6,0.012,0.5,11998.974959630523,1200.0,0.08,0.0,3.3021989933244936e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.0636717952380287,0.2,1,0,0,0,0,11998.974959630523,0.0,0.0,0.0,0.6,5.0,11998.974959630523,14.695402676735284,7.162892713812258e-08,4.5,3.3021989933244936e-05,3.3021989933244936e-05,0.6,1,0,0,239.9794820031364,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.26849999267142266
7,0.012,0.5,11999.850589042997,1200.0,0.08,0.0,1.5828969066901857e-08,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.03657755232602697,0.2,1,0,0,0,0,11999.850589042997,0.0,0.0,0.0,0.6,5.0,11999.850589042997,17.10272722459348,3.985686677272386e-09,4.5,1.5828969066901857e-08,1.5828969066901857e-08,0.6,1,0,0,239.99701082430704,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2578999992692843
8,0.012,0.5,11999.971399210259,1200.0,0.08,0.0,2.792079728550732e-13,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02272767952415185,0.2,1,0,0,0,0,11999.971399210259,0.0,0.0,0.0,0.6,5.0,11999.971399210259,19.169322658147436,3.338027919283382e-10,4.5,2.792079728550732e-13,2.792079728550732e-13,0.6,1,0,0,239.9994279040927,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.3009999927598983
9,0.012,0.5,11999.881996974453,1200.0,0.08,0.0,4.479167322319458e-09,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.034175550576107876,0.2,1,0,0,0,0,11999.881996974453,0.0,0.0,0.0,0.6,5.0,11999.881996974453,17.397718428413093,2.7974832382681155e-09,4.5,4.479167322319458e-09,4.479167322319458e-09,0.6,1,0,0,239.99763926809968,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2601000014692545
10,0.012,0.5,11999.953408068586,1200.0,0.08,0.0,1.233079080063321e-11,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.0261549814006577,0.2,1,0,0,0,0,11999.953408068586,0.0,0.0,0.0,0.6,5.0,11999.953408068586,18.55932947195268,6.940487467692123e-10,4.5,1.233079080063321e-11,1.233079080063321e-11,0.6,1,0,0,239.9990679948007,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.24900000425986946
