t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.03125348311020151,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.314260647588819,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,5.551115123125783e-17,1.5626741555100756,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301719259590297,0.15000000000000005,0.15000000000000005,1.5626741555100756,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,7.764599999063648
2,0.019666030662877462,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.1977462643067816,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,1.1102230246251565e-16,0.9833015331438731,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3016828394831146,0.15000000000000005,0.15000000000000005,0.9833015331438731,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.273000006331131
3,0.01569757299268233,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.15784254948028087,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,1.6653345369377348e-16,0.7848786496341165,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301642382872357,0.15000000000000005,0.15000000000000005,0.7848786496341165,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.300699998973869
4,0.029349415673231224,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.29511483066706445,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,1.942890293094024e-16,1.4674707836615613,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.041174345676891,0.15000000000000002,0.15000000000000002,1.4674707836615613,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.1812999988906085
5,0.023295060338341868,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.23423695598134334,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,2.498001805406602e-16,1.1647530169170934,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301817893991287,0.15000000000000005,0.15000000000000005,1.1647530169170934,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.302499998128042
6,0.024694154084335562,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.24830515135985867,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,2.7755575615628914e-16,1.234707704216778,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.301786216133504,0.15000000000000002,0.15000000000000002,1.234707704216778,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.311799996183254
7,0.029203911426585762,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.2936517534600699,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,3.0531133177191805e-16,1.460195571329288,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.0413034607877,0.15000000000000002,0.15000000000000002,1.460195571329288,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.164899990428239
8,0.026261280763506673,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.2640629548441454,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,3.608224830031759e-16,1.3130640381753336,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.041426854660239,0.15000000000000005,0.15000000000000005,1.3130640381753336,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.214800006593578
9,0.027275205565360474,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.27425819176264854,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,4.163336342344337e-16,1.3637602782680236,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3020624972266446,0.15000000000000005,0.15000000000000005,1.3637602782680236,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.286100004217587
10,0.016905907166015845,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.16999261539378355,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,4.440892098500626e-16,0.8452953583007923,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.3019935234414257,0.15000000000000002,0.15000000000000002,0.8452953583007923,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.228500002180226
