t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,lyapunov_greedy_oracle,3,200,512,50,1.0,6.507713340838871,965.2348136658381
2,lyapunov_greedy_oracle,3,200,512,50,1.0,3.960531669896376,973.9655809084784
3,lyapunov_greedy_oracle,3,200,512,50,1.0,8.302326078615597,885.9375128569314
4,lyapunov_greedy_oracle,3,200,512,50,1.0,6.032537762852047,1073.3715327676873
5,lyapunov_greedy_oracle,3,200,512,50,1.0,7.903643950234848,983.1367344982392
6,lyapunov_greedy_oracle,3,200,512,50,1.0,12.498414893068167,1110.9332482684836
7,lyapunov_greedy_oracle,3,200,512,50,1.0,2.245461592847776,621.3257743892898
8,lyapunov_greedy_oracle,3,200,512,50,1.0,13.249530839408068,1172.408123685941
9,lyapunov_greedy_oracle,3,200,512,50,1.0,5.2200108692009035,898.5103283460006
10,lyapunov_greedy_oracle,3,200,512,50,1.0,23.48070996384508,904.4204814218031
11,lyapunov_greedy_oracle,3,200,512,50,1.0,7.795356711076117,837.286802546
12,lyapunov_greedy_oracle,3,200,512,50,1.0,16.847162577226104,854.1869896885121
13,lyapunov_greedy_oracle,3,200,512,50,1.0,6.529222657515289,1298.8510800365236
14,lyapunov_greedy_oracle,3,200,512,50,1.0,12.695234060340171,1227.8140050260185
15,lyapunov_greedy_oracle,3,200,512,50,1.0,11.822023057228574,930.3849471739779
16,lyapunov_greedy_oracle,3,200,512,50,1.0,6.259612095993058,954.4164031606815
17,lyapunov_greedy_oracle,3,200,512,50,1.0,11.111638296908056,1180.0710158847817
18,lyapunov_greedy_oracle,3,200,512,50,1.0,9.291847265570903,890.6371794543193
19,lyapunov_greedy_oracle,3,200,512,50,1.0,9.440375625896362,891.2045110976404
20,lyapunov_greedy_oracle,3,200,512,50,1.0,7.769960908750547,1240.4576808349254
21,lyapunov_greedy_oracle,3,200,512,50,1.0,14.620886964229634,1154.6428725423839
22,lyapunov_greedy_oracle,3,200,512,50,1.0,3.593247650859732,1338.0511541239237
23,lyapunov_greedy_oracle,3,200,512,50,1.0,9.100936987727076,1108.7503993474727
24,lyapunov_greedy_oracle,3,200,512,50,1.0,10.90932954025392,881.993418346511
25,lyapunov_greedy_oracle,3,200,512,50,1.0,8.941222830694278,666.4489969511526
26,lyapunov_greedy_oracle,3,200,512,50,1.0,11.375759248456324,1071.6984132720315
27,lyapunov_greedy_oracle,3,200,512,50,1.0,1.7036243248321217,865.6127620583095
28,lyapunov_greedy_oracle,3,200,512,50,1.0,16.529342926497876,835.3991553956034
29,lyapunov_greedy_oracle,3,200,512,50,1.0,6.096611862272869,1017.3820420229964
30,lyapunov_greedy_oracle,3,200,512,50,1.0,8.429128776089218,1337.4627971641207
31,lyapunov_greedy_oracle,3,200,512,50,1.0,12.96890981807441,1206.7393728619545
32,lyapunov_greedy_oracle,3,200,512,50,1.0,8.750876908498242,614.0923092354044
33,lyapunov_greedy_oracle,3,200,512,50,1.0,14.793425032775833,1176.1105099877082
34,lyapunov_greedy_oracle,3,200,512,50,1.0,-0.7694358689649956,866.3133649058707
35,lyapunov_greedy_oracle,3,200,512,50,1.0,16.7402420023687,1027.0417725616362
36,lyapunov_greedy_oracle,3,200,512,50,1.0,4.776922675809954,959.9187173074831
37,lyapunov_greedy_oracle,3,200,512,50,1.0,15.311111548345373,920.7130780171224
38,lyapunov_greedy_oracle,3,200,512,50,1.0,11.324437459672728,842.5542623229627
39,lyapunov_greedy_oracle,3,200,512,50,1.0,10.657280645046107,995.6772454953057
40,lyapunov_greedy_oracle,3,200,512,50,1.0,10.493120262558229,942.514773170057
41,lyapunov_greedy_oracle,3,200,512,50,1.0,11.238568620170247,1375.2367878977764
42,lyapunov_greedy_oracle,3,200,512,50,1.0,19.02895721752131,1068.9442033526375
43,lyapunov_greedy_oracle,3,200,512,50,1.0,11.389786789044742,1049.3968219101473
