t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,3,800,512,50,1.0,8.660271049971543,956.2008132402502
2,raucb_plus,3,800,512,50,1.0,16.330605239831748,1000.7021916227561
3,raucb_plus,3,800,512,50,1.0,9.752453763361066,1007.7242263359524
4,raucb_plus,3,800,512,50,1.0,-4.043655898888021,917.2230412871397
5,raucb_plus,3,800,512,50,1.0,15.190682335819087,1447.8071175771645
6,raucb_plus,3,800,512,50,1.0,11.816206182035518,1359.288879014009
7,raucb_plus,3,800,512,50,1.0,3.8928197379492646,855.265208444923
8,raucb_plus,3,800,512,50,1.0,10.75524595567149,961.7810081882989
9,raucb_plus,3,800,512,50,1.0,16.586994829912754,1290.6862994723786
10,raucb_plus,3,800,512,50,1.0,2.3990293224042905,1322.7152775208997
11,raucb_plus,3,800,512,50,1.0,0.7828288909898529,1304.1317979161336
12,raucb_plus,3,800,512,50,1.0,13.21688308876569,1039.6177216064666
13,raucb_plus,3,800,512,50,1.0,11.954384847713943,1121.0279868671114
14,raucb_plus,3,800,512,50,1.0,7.964311055123693,878.3891436822482
15,raucb_plus,3,800,512,50,1.0,19.757317533089704,913.8181959378346
16,raucb_plus,3,800,512,50,1.0,3.1543027528907874,756.245451190398
17,raucb_plus,3,800,512,50,1.0,4.385140162366817,1171.2751825200041
18,raucb_plus,3,800,512,50,1.0,12.830217808965582,981.785790396465
19,raucb_plus,3,800,512,50,1.0,10.037022013023497,591.5635130142452
20,raucb_plus,3,800,512,50,1.0,8.345448506915192,924.3397510948126
21,raucb_plus,3,800,512,50,1.0,15.134523238275545,1505.3816445067696
22,raucb_plus,3,800,512,50,1.0,-0.6784248894132254,701.5296795562073
23,raucb_plus,3,800,512,50,1.0,17.18387573555776,929.4048590996916
24,raucb_plus,3,800,512,50,1.0,10.456825031371949,640.2381962198517
25,raucb_plus,3,800,512,50,1.0,6.3371607903886495,1020.8827040441943
26,raucb_plus,3,800,512,50,1.0,14.701134666999156,880.0905644328609
27,raucb_plus,3,800,512,50,1.0,6.412846718512135,800.8440765141926
28,raucb_plus,3,800,512,50,1.0,18.369387615648535,1164.6000782710764
29,raucb_plus,3,800,512,50,1.0,7.687184187061673,1050.9695298798335
30,raucb_plus,3,800,512,50,1.0,14.797413076658948,827.7908068282214
31,raucb_plus,3,800,512,50,1.0,14.943123051525166,895.0208371269404
32,raucb_plus,3,800,512,50,1.0,12.83896879451514,1451.041849686852
33,raucb_plus,3,800,512,50,1.0,11.494845615792565,1150.7853037042478
34,raucb_plus,3,800,512,50,1.0,8.61744352722704,1244.346320783462
35,raucb_plus,3,800,512,50,1.0,16.38440309051331,870.1425492201595
36,raucb_plus,3,800,512,50,1.0,10.175903745173219,1186.5433382126414
37,raucb_plus,3,800,512,50,1.0,14.865647490101601,764.1212297240282
38,raucb_plus,3,800,512,50,1.0,16.900878974282296,1088.775111758029
39,raucb_plus,3,800,512,50,1.0,15.018785750794288,1030.0849123400071
40,raucb_plus,3,800,512,50,1.0,11.01944767301736,1137.7457651669333
41,raucb_plus,3,800,512,50,1.0,10.518702972216797,1170.7696242495317
42,raucb_plus,3,800,512,50,1.0,7.622337427480626,1005.2627231944324
43,raucb_plus,3,800,512,50,1.0,7.929373696688614,1244.7351776181542
44,raucb_plus,3,800,512,50,1.0,16.95219507964646,658.3794469701348
45,raucb_plus,3,800,512,50,1.0,0.49070766680936195,976.3680567955363
46,raucb_plus,3,800,512,50,1.0,3.503894035989557,600.5317636136622
47,raucb_plus,3,800,512,50,1.0,13.956585422493253,865.0637818219072
48,raucb_plus,3,800,512,50,1.0,10.706442476228805,1145.4345181881608
49,raucb_plus,3,800,512,50,1.0,4.177531684168143,988.3768589751006
50,raucb_plus,3,800,512,50,1.0,14.055013845426926,988.6056338106346
51,raucb_plus,3,800,512,50,1.0,23.159927567966026,962.5244582916633
52,raucb_plus,3,800,512,50,1.0,-3.4105369801134735,933.1573815600369
53,raucb_plus,3,800,512,50,1.0,16.020328179266897,875.4113262066187
54,raucb_plus,3,800,512,50,1.0,7.322010788104375,880.024578974897
55,raucb_plus,3,800,512,50,1.0,6.286382980185897,1319.1053405561415
56,raucb_plus,3,800,512,50,1.0,6.903130267599982,901.7782517772303
57,raucb_plus,3,800,512,50,1.0,10.344139229761183,1047.8120599447977
58,raucb_plus,3,800,512,50,1.0,13.128652277771717,929.9417140806013
59,raucb_plus,3,800,512,50,1.0,11.107425579316008,876.8123804318268
60,raucb_plus,3,800,512,50,1.0,12.968314004009411,1408.579366300169
61,raucb_plus,3,800,512,50,1.0,10.450543149473795,861.4305733101585
62,raucb_plus,3,800,512,50,1.0,5.954003440543797,1289.6756154881436
63,raucb_plus,3,800,512,50,1.0,12.364697090936021,1294.2931282211548
64,raucb_plus,3,800,512,50,1.0,13.959195656497878,1078.7682990755764
65,raucb_plus,3,800,512,50,1.0,15.36281596464499,1010.6575417745933
66,raucb_plus,3,800,512,50,1.0,10.56121437442593,1430.0697673463578
67,raucb_plus,3,800,512,50,1.0,11.80270267293071,1071.7552502490612
68,raucb_plus,3,800,512,50,1.0,9.441178447610168,1047.9124447434538
69,raucb_plus,3,800,512,50,1.0,1.1948529859265502,724.0399202418371
70,raucb_plus,3,800,512,50,1.0,2.2677547122073456,849.554725977953
71,raucb_plus,3,800,512,50,1.0,11.15490580915987,691.3594778838576
72,raucb_plus,3,800,512,50,1.0,7.789935292498053,833.685652991411
73,raucb_plus,3,800,512,50,1.0,10.95193591824921,1442.6409658404164
74,raucb_plus,3,800,512,50,1.0,5.375270356324194,1026.4309326078087
75,raucb_plus,3,800,512,50,1.0,12.593476258289915,577.0099380785276
76,raucb_plus,3,800,512,50,1.0,4.97034319285277,996.7123831951562
77,raucb_plus,3,800,512,50,1.0,20.152522906613022,1255.7180534899078
78,raucb_plus,3,800,512,50,1.0,18.46688723438436,936.1404809801379
