t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,1,200,512,50,1.0,0.8623648928642655,957.1040028540651
2,safe_linucb,1,200,512,50,1.0,12.504669797423427,1613.4071017845106
3,safe_linucb,1,200,512,50,1.0,8.078117623505715,600.8625947765021
4,safe_linucb,1,200,512,50,1.0,4.5508610372773965,1265.7812574105335
5,safe_linucb,1,200,512,50,1.0,0.7467502987667203,1373.848628784257
6,safe_linucb,1,200,512,50,1.0,10.222100027239009,666.2349921612168
7,safe_linucb,1,200,512,50,1.0,13.780087604624518,867.9308215746244
8,safe_linucb,1,200,512,50,1.0,14.683950771384035,1092.8376633577345
9,safe_linucb,1,200,512,50,1.0,12.195027872141068,828.2545444859215
10,safe_linucb,1,200,512,50,1.0,21.8659807021644,822.0316097252168
11,safe_linucb,1,200,512,50,1.0,13.160140007220766,713.7050658694857
12,safe_linucb,1,200,512,50,1.0,12.281812231232852,865.0137728413195
13,safe_linucb,1,200,512,50,1.0,15.572707577641285,1023.1456190938549
14,safe_linucb,1,200,512,50,1.0,13.814442095875755,1106.9858355285926
15,safe_linucb,1,200,512,50,1.0,9.165313377720292,971.9350701255341
16,safe_linucb,1,200,512,50,1.0,4.689198519223133,1280.1641077176089
17,safe_linucb,1,200,512,50,1.0,15.902983752800932,1000.482427063471
18,safe_linucb,1,200,512,50,1.0,11.965483994224646,971.1932307090017
19,safe_linucb,1,200,512,50,1.0,7.4320346362216405,1107.8522312227149
20,safe_linucb,1,200,512,50,1.0,20.52335272138349,652.2775487562293
21,safe_linucb,1,200,512,50,1.0,4.611239272220392,1247.5243632927936
22,safe_linucb,1,200,512,50,1.0,7.143070573594519,846.4056656755783
23,safe_linucb,1,200,512,50,1.0,8.265229979096942,1116.0909435162612
24,safe_linucb,1,200,512,50,1.0,6.460871602925238,1079.495291813854
25,safe_linucb,1,200,512,50,1.0,14.492273794318999,861.2996701130912
26,safe_linucb,1,200,512,50,1.0,11.291808450085496,820.0090491205881
27,safe_linucb,1,200,512,50,1.0,4.447700640471181,1144.0857331448565
28,safe_linucb,1,200,512,50,1.0,15.423955625292379,618.8517689513567
29,safe_linucb,1,200,512,50,1.0,9.422962145319529,1019.738558772357
30,safe_linucb,1,200,512,50,1.0,12.281357193317582,976.79247898068
31,safe_linucb,1,200,512,50,1.0,8.941772464308615,820.5583654133641
32,safe_linucb,1,200,512,50,1.0,1.6018872457708273,1270.3711964042066
33,safe_linucb,1,200,512,50,1.0,9.145846566753027,1090.9609572658135
34,safe_linucb,1,200,512,50,1.0,11.465718656241743,1392.6704829139494
35,safe_linucb,1,200,512,50,1.0,13.451505342859964,692.041638084008
36,safe_linucb,1,200,512,50,1.0,8.576795008215788,1207.229207504705
37,safe_linucb,1,200,512,50,1.0,14.788017772094904,1178.3728460444634
38,safe_linucb,1,200,512,50,1.0,6.47594008610854,864.0391507159022
39,safe_linucb,1,200,512,50,1.0,8.922512308218531,630.2726506549128
40,safe_linucb,1,200,512,50,1.0,17.76830012881203,835.0599637749351
41,safe_linucb,1,200,512,50,1.0,8.357851777101086,962.3341399796946
42,safe_linucb,1,200,512,50,1.0,5.617458026543252,979.5421866497525
43,safe_linucb,1,200,512,50,1.0,15.395956603518464,1149.0105501819953
44,safe_linucb,1,200,512,50,1.0,13.977082283769233,987.7023944909491
45,safe_linucb,1,200,512,50,1.0,6.776523066439344,1079.7598424682915
46,safe_linucb,1,200,512,50,1.0,15.056055249986297,1087.2850149157503
47,safe_linucb,1,200,512,50,1.0,7.196134851192134,1124.5512520430536
48,safe_linucb,1,200,512,50,1.0,16.794407619342188,1013.5247961471666
49,safe_linucb,1,200,512,50,1.0,9.070410460469882,1229.2955254436602
50,safe_linucb,1,200,512,50,1.0,11.111398705951173,1096.9180026894912
51,safe_linucb,1,200,512,50,1.0,9.21935131633319,1006.899063639522
52,safe_linucb,1,200,512,50,1.0,18.347764189340637,663.9584609546957
53,safe_linucb,1,200,512,50,1.0,16.54607129939187,1101.96542734493
54,safe_linucb,1,200,512,50,1.0,14.627000759753397,941.8815501115646
55,safe_linucb,1,200,512,50,1.0,4.4611478305756505,931.7106602143809
56,safe_linucb,1,200,512,50,1.0,7.413447155587187,1216.2528942699853
57,safe_linucb,1,200,512,50,1.0,12.6256375135151,832.688702920357
58,safe_linucb,1,200,512,50,1.0,17.564673444977483,1260.0625665503037
59,safe_linucb,1,200,512,50,1.0,22.306507982306044,1242.465122111527
60,safe_linucb,1,200,512,50,1.0,12.909437911683929,1217.3121422500826
61,safe_linucb,1,200,512,50,1.0,14.045085448893396,1176.1230218074334
62,safe_linucb,1,200,512,50,1.0,6.656758293475391,816.5751255214525
63,safe_linucb,1,200,512,50,1.0,2.036351990980365,1232.6005400797403
64,safe_linucb,1,200,512,50,1.0,3.6584369508655783,907.3246295865845
65,safe_linucb,1,200,512,50,1.0,6.383830987266002,1086.0746169745476
66,safe_linucb,1,200,512,50,1.0,13.139174217676548,1226.4480791275669
67,safe_linucb,1,200,512,50,1.0,10.853856460837482,1350.0385121145005
68,safe_linucb,1,200,512,50,1.0,8.266091661140964,1118.0737556805404
69,safe_linucb,1,200,512,50,1.0,11.945105992662494,1151.9265343490745
70,safe_linucb,1,200,512,50,1.0,11.578837442067382,1303.5456407590987
71,safe_linucb,1,200,512,50,1.0,7.5990725671854324,1041.3892116423433
72,safe_linucb,1,200,512,50,1.0,2.9665690398321454,1144.4124198856152
73,safe_linucb,1,200,512,50,1.0,15.186421315659011,687.2484649337559
74,safe_linucb,1,200,512,50,1.0,17.932900414632783,807.7951342374965
75,safe_linucb,1,200,512,50,1.0,12.679334134921039,954.1571350626177
76,safe_linucb,1,200,512,50,1.0,11.838638919071585,1193.4397183201388
77,safe_linucb,1,200,512,50,1.0,12.506167556334375,1106.0531837943868
78,safe_linucb,1,200,512,50,1.0,8.931466020680535,1011.9021927236573
79,safe_linucb,1,200,512,50,1.0,8.435041971325258,818.6592918758042
80,safe_linucb,1,200,512,50,1.0,7.864086359403828,1217.8191544080014
81,safe_linucb,1,200,512,50,1.0,9.627547192897463,595.7009931651688
82,safe_linucb,1,200,512,50,1.0,12.267722715358028,872.8602373112788
83,safe_linucb,1,200,512,50,1.0,-0.14710571423043461,921.5356828757926
84,safe_linucb,1,200,512,50,1.0,5.189535570319856,1286.3816230630432
85,safe_linucb,1,200,512,50,1.0,12.882214230073377,1171.2060400110997
86,safe_linucb,1,200,512,50,1.0,5.871582323471139,1095.2907843050382
87,safe_linucb,1,200,512,50,1.0,9.729621383542138,1157.1033386173917
88,safe_linucb,1,200,512,50,1.0,13.104294882484474,743.8456911178936
89,safe_linucb,1,200,512,50,1.0,6.694465356306735,1112.3922900624805
90,safe_linucb,1,200,512,50,1.0,11.58720455387974,955.4099702025559
91,safe_linucb,1,200,512,50,1.0,10.791055214521318,1172.257948968584
92,safe_linucb,1,200,512,50,1.0,9.576988447980227,723.905671044638
93,safe_linucb,1,200,512,50,1.0,13.715454732774209,1079.6849657248786
94,safe_linucb,1,200,512,50,1.0,18.697770961658,929.1571087541399
95,safe_linucb,1,200,512,50,1.0,13.261100119099067,1352.825751621343
96,safe_linucb,1,200,512,50,1.0,12.55905740271988,827.3245742249346
97,safe_linucb,1,200,512,50,1.0,13.769678856084258,1067.1749759198121
98,safe_linucb,1,200,512,50,1.0,7.879551553140711,1341.2764664323859
99,safe_linucb,1,200,512,50,1.0,6.633573264778752,1016.272461641784
100,safe_linucb,1,200,512,50,1.0,15.205992841819096,1060.8782343441942
101,safe_linucb,1,200,512,50,1.0,17.47788317148858,575.6812361913105
102,safe_linucb,1,200,512,50,1.0,17.86723533621951,890.0538895923214
103,safe_linucb,1,200,512,50,1.0,11.937432489038802,1153.6829840395349
104,safe_linucb,1,200,512,50,1.0,19.67911178026699,999.8397169641588
105,safe_linucb,1,200,512,50,1.0,16.224516370911093,823.7019744221441
106,safe_linucb,1,200,512,50,1.0,10.183415114084783,866.4896263687267
107,safe_linucb,1,200,512,50,1.0,5.933923679602586,761.9662957854327
108,safe_linucb,1,200,512,50,1.0,2.8593283615963507,783.0560195804194
109,safe_linucb,1,200,512,50,1.0,17.971201158854974,1224.5822619186838
110,safe_linucb,1,200,512,50,1.0,10.031931476428799,1239.9621679766394
111,safe_linucb,1,200,512,50,1.0,14.368433780743466,1354.4599216984248
112,safe_linucb,1,200,512,50,1.0,9.925285653467945,1005.6301519345775
113,safe_linucb,1,200,512,50,1.0,22.68057478438442,1172.392134036549
114,safe_linucb,1,200,512,50,1.0,5.964146838559624,1157.0022046164404
115,safe_linucb,1,200,512,50,1.0,8.094687986558728,1019.4969395594759
116,safe_linucb,1,200,512,50,1.0,17.211454159492874,1440.206514594944
117,safe_linucb,1,200,512,50,1.0,16.343330402113665,793.937053737202
118,safe_linucb,1,200,512,50,1.0,9.66279508134775,1147.813453507591
119,safe_linucb,1,200,512,50,1.0,6.819856595882029,905.1161894084846
120,safe_linucb,1,200,512,50,1.0,9.74416361357078,842.2077196326323
121,safe_linucb,1,200,512,50,1.0,7.373542178643212,748.4406675226094
122,safe_linucb,1,200,512,50,1.0,9.219130279948189,703.6476136725202
123,safe_linucb,1,200,512,50,1.0,12.899182788405074,1264.761580871571
124,safe_linucb,1,200,512,50,1.0,9.416249301797405,879.1157238663724
125,safe_linucb,1,200,512,50,1.0,1.7537113121634,1297.7692115511918
126,safe_linucb,1,200,512,50,1.0,14.304158652802116,763.5347132111099
127,safe_linucb,1,200,512,50,1.0,10.441829701326778,824.0034660779704
128,safe_linucb,1,200,512,50,1.0,8.606709290128101,1088.266891605157
129,safe_linucb,1,200,512,50,1.0,11.239048021222548,1141.31192377679
130,safe_linucb,1,200,512,50,1.0,4.224854721889378,1135.5329033451196
131,safe_linucb,1,200,512,50,1.0,13.458823259879694,922.8650499086136
132,safe_linucb,1,200,512,50,1.0,8.538431898048241,1340.757883312957
133,safe_linucb,1,200,512,50,1.0,14.668591270110916,999.1722548440974
