t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,sw_ucb,3,50,128,25,1.0,14.564791737450406,1153.8812439347926
2,sw_ucb,3,50,128,25,1.0,11.413180211421539,1084.307165052096
3,sw_ucb,3,50,128,25,1.0,19.411937210757458,971.0296608918935
4,sw_ucb,3,50,128,25,1.0,16.538082777920078,972.2526107811874
5,sw_ucb,3,50,128,25,1.0,7.79702856942446,1271.4224842833858
6,sw_ucb,3,50,128,25,1.0,10.199888756658131,1034.2307360295679
7,sw_ucb,3,50,128,25,1.0,13.430866053521532,1130.4731779708595
8,sw_ucb,3,50,128,25,1.0,15.215049800042127,838.7671792930316
9,sw_ucb,3,50,128,25,1.0,2.8791884251984,934.6350419884451
10,sw_ucb,3,50,128,25,1.0,8.265170936789454,589.4680858408747
11,sw_ucb,3,50,128,25,1.0,9.917652577096813,866.5856894355938
12,sw_ucb,3,50,128,25,1.0,2.1481374836508413,1131.5541684617592
13,sw_ucb,3,50,128,25,1.0,14.458669648165385,1136.929225344767
14,sw_ucb,3,50,128,25,1.0,4.2412734913879016,1079.4917307419196
15,sw_ucb,3,50,128,25,1.0,7.115947202293285,749.402282505484
16,sw_ucb,3,50,128,25,1.0,-0.2704557177311351,951.9553805279843
17,sw_ucb,3,50,128,25,1.0,4.422542768349685,1323.3171838726364
18,sw_ucb,3,50,128,25,1.0,20.942082234212425,874.6262496910952
19,sw_ucb,3,50,128,25,1.0,5.92484128820976,1102.4021733990173
20,sw_ucb,3,50,128,25,1.0,5.112891034488793,714.346944889071
21,sw_ucb,3,50,128,25,1.0,20.421350323615073,1405.101358998564
22,sw_ucb,3,50,128,25,1.0,16.491356446794647,913.4720976864542
23,sw_ucb,3,50,128,25,1.0,8.913840773406466,1193.3513407271753
24,sw_ucb,3,50,128,25,1.0,9.482533051900152,772.1725327095241
25,sw_ucb,3,50,128,25,1.0,4.702550124958162,1000.3900105106586
26,sw_ucb,3,50,128,25,1.0,2.7048523423032,1101.2084324991117
27,sw_ucb,3,50,128,25,1.0,5.458009740446,1185.4204999689414
28,sw_ucb,3,50,128,25,1.0,1.622652098047583,717.1742473559893
29,sw_ucb,3,50,128,25,1.0,8.462471683439674,1078.7869559435744
30,sw_ucb,3,50,128,25,1.0,3.357893971495665,950.477746283121
31,sw_ucb,3,50,128,25,1.0,7.645311564331997,1219.168067896892
32,sw_ucb,3,50,128,25,1.0,13.86345449835834,803.610484367402
33,sw_ucb,3,50,128,25,1.0,12.651159348652865,1132.2229313739956
34,sw_ucb,3,50,128,25,1.0,8.90794250187763,732.3993877745245
35,sw_ucb,3,50,128,25,1.0,5.314715316572978,875.4758498514725
36,sw_ucb,3,50,128,25,1.0,6.912758410650623,774.7714441774542
37,sw_ucb,3,50,128,25,1.0,10.751247830009943,1098.5914039918837
38,sw_ucb,3,50,128,25,1.0,7.989159099188673,798.9671073095988
39,sw_ucb,3,50,128,25,1.0,8.416510474916933,1100.7141963346837
40,sw_ucb,3,50,128,25,1.0,18.44827583485567,1280.4920360132112
41,sw_ucb,3,50,128,25,1.0,12.049412548358127,1095.262109819677
42,sw_ucb,3,50,128,25,1.0,10.551914281725846,733.3882687286225
43,sw_ucb,3,50,128,25,1.0,11.537277577400648,1234.2148902794474
44,sw_ucb,3,50,128,25,1.0,16.43962661482213,1099.6356838357021
45,sw_ucb,3,50,128,25,1.0,15.708819577134257,1007.1379622567505
46,sw_ucb,3,50,128,25,1.0,6.997021939195674,937.7040309505975
47,sw_ucb,3,50,128,25,1.0,4.149685622951534,945.0859392557422
48,sw_ucb,3,50,128,25,1.0,11.403969569433453,1300.1315546380988
49,sw_ucb,3,50,128,25,1.0,6.448089829416379,937.6123602369325
50,sw_ucb,3,50,128,25,1.0,8.750482629972886,769.3935603770065
51,sw_ucb,3,50,128,25,1.0,8.49892835745375,1078.7363088107866
52,sw_ucb,3,50,128,25,1.0,17.250719578518574,922.7888897565145
53,sw_ucb,3,50,128,25,1.0,8.70323278880993,990.7453186099928
54,sw_ucb,3,50,128,25,1.0,17.33972928541544,1236.5346087053595
55,sw_ucb,3,50,128,25,1.0,7.921646908256639,866.1593745955056
56,sw_ucb,3,50,128,25,1.0,6.572079855338968,1234.1615534421078
57,sw_ucb,3,50,128,25,1.0,4.726623085110873,842.3041961986993
58,sw_ucb,3,50,128,25,1.0,11.155252109655535,1566.114420781429
59,sw_ucb,3,50,128,25,1.0,10.974286150000456,656.4347248735626
60,sw_ucb,3,50,128,25,1.0,7.693908081767221,729.0064961608371
61,sw_ucb,3,50,128,25,1.0,11.314659368573547,929.4885942279938
62,sw_ucb,3,50,128,25,1.0,0.6700459100039406,971.4658464867041
63,sw_ucb,3,50,128,25,1.0,16.089017584360032,793.0748908403901
64,sw_ucb,3,50,128,25,1.0,6.003467568918822,1161.5414490551366
65,sw_ucb,3,50,128,25,1.0,16.10650828605747,1221.5851927665224
66,sw_ucb,3,50,128,25,1.0,8.982436458327843,910.3888564028814
67,sw_ucb,3,50,128,25,1.0,9.905946685633717,838.113518172648
68,sw_ucb,3,50,128,25,1.0,12.430321904769055,774.0561281640777
69,sw_ucb,3,50,128,25,1.0,9.99751657907157,874.0516463811571
70,sw_ucb,3,50,128,25,1.0,7.5738460155521565,1128.114221269606
71,sw_ucb,3,50,128,25,1.0,6.5411207717113875,1319.8537100235976
72,sw_ucb,3,50,128,25,1.0,6.072048437349269,868.3189456077298
73,sw_ucb,3,50,128,25,1.0,12.993301197093551,1239.499324374357
74,sw_ucb,3,50,128,25,1.0,7.836568376903574,1177.055627062177
75,sw_ucb,3,50,128,25,1.0,10.57421424259458,974.894613740339
76,sw_ucb,3,50,128,25,1.0,16.637580372483093,1299.1176057573075
77,sw_ucb,3,50,128,25,1.0,19.571966444434043,1208.1977059186406
78,sw_ucb,3,50,128,25,1.0,8.347691144539931,846.5440291455931
79,sw_ucb,3,50,128,25,1.0,16.76875598723974,1012.6145141914641
