t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,arm_id,lcb_min,reward_shaped,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.012,0.5,11999.362410433807,1200.0,0.08,0.0,7.287341603393702e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.05553848065669132,0.2,1,0,0,0,0,11999.362410433807,0.0,0.0,0.0,0.6,5.0,11999.362410433807,15.288933679614154,3.513725050670747e-08,4.5,7.287341603393702e-06,7.287341603393702e-06,0.6,1,0,0,239.98723977618408,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.47059998905751854
2,0.012,0.5,11999.88593634116,1200.0,0.08,0.0,3.708573030606528e-09,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.03384318934491244,0.2,1,0,0,0,0,11999.88593634116,0.0,0.0,0.0,0.6,5.0,11999.88593634116,17.44016078993613,2.6585725297941583e-09,4.5,3.708573030606528e-09,3.708573030606528e-09,0.6,1,0,0,239.99771808877185,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.34220000088680536
3,0.012,0.5,11999.955803256962,1200.0,0.08,0.0,8.394887833232463e-12,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.025760681934694482,0.2,1,0,0,0,0,11999.955803256962,0.0,0.0,0.0,0.6,5.0,11999.955803256962,18.625300072746988,6.412231199765608e-10,4.5,8.394887833232463e-12,8.394887833232463e-12,0.6,1,0,0,239.99911591124626,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2830000012181699
4,0.012,0.5,11999.980162009077,1200.0,0.08,0.0,1.1270131438909978e-14,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02045622860285177,0.2,1,0,0,0,0,11999.980162009077,0.0,0.0,0.0,0.6,5.0,11999.980162009077,19.62661794341433,1.9282750505766e-10,4.5,1.1270131438909978e-14,1.1270131438909978e-14,0.6,1,0,0,239.999603193903,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.26960000104736537
5,0.012,0.5,11999.55731212327,1200.0,0.08,0.0,1.9667091750456535e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.05000209931427741,0.2,1,0,0,0,0,11999.55731212327,0.0,0.0,0.0,0.6,5.0,11999.55731212327,15.744991243577811,2.032786843268127e-08,4.5,1.9667091750456535e-06,1.9667091750456535e-06,0.6,1,0,0,239.99114136395696,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2606000052765012
6,0.012,0.5,11999.933867917494,1200.0,0.08,0.0,1.3710438092881711e-10,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02892896829759031,0.2,1,0,0,0,0,11999.933867917494,0.0,0.0,0.0,0.6,5.0,11999.933867917494,18.121544171723976,1.1736625912916061e-09,4.5,1.3710438092881711e-10,1.3710438092881711e-10,0.6,1,0,0,239.99867707667244,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.25340000865980983
7,0.012,0.5,11999.799327791203,1200.0,0.08,0.0,6.829553984403247e-08,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.039818664953728905,0.2,1,0,0,0,0,11999.799327791203,0.0,0.0,0.0,0.6,5.0,11999.799327791203,16.734006678792746,6.203876047348166e-09,4.5,6.829553984403247e-08,6.829553984403247e-08,0.6,1,0,0,239.9959850669187,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2514999941922724
8,0.012,0.5,11999.059707414197,1200.0,0.08,0.0,2.5474143751451918e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.062109665281472486,0.2,1,0,0,0,0,11999.059707414197,0.0,0.0,0.0,0.6,5.0,11999.059707414197,14.803281739509643,6.293133026080305e-08,4.5,2.5474143751451918e-05,2.5474143751451918e-05,0.6,1,0,0,239.98117904594815,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.30089999199844897
9,0.012,0.5,11999.975608770223,1200.0,0.08,0.0,7.198754965837162e-14,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.021709694682694607,0.2,1,0,0,0,0,11999.975608770223,0.0,0.0,0.0,0.6,5.0,11999.975608770223,19.368336469865184,2.628895024921381e-10,4.5,7.198754965837162e-14,7.198754965837162e-14,0.6,1,0,0,239.9995121123111,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2871999895432964
10,0.012,0.5,11999.978824902219,1200.0,0.08,0.0,2.0480739442232332e-14,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.020843899018215532,0.2,1,0,0,0,0,11999.978824902219,0.0,0.0,0.0,0.6,5.0,11999.978824902219,19.545084022361905,2.126476856644347e-10,4.5,2.0480739442232332e-14,2.0480739442232332e-14,0.6,1,0,0,239.99957644700902,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2486000012140721
11,0.012,0.5,11999.757499847605,1200.0,0.08,0.0,1.638434310111777e-07,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.042048772866399846,0.2,1,0,0,0,0,11999.757499847605,0.0,0.0,0.0,0.6,5.0,11999.757499847605,16.49734036670722,8.241429716106011e-09,4.5,1.638434310111777e-07,1.638434310111777e-07,0.6,1,0,0,239.99514801904894,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.23829999554436654
12,0.012,0.5,11999.496157373562,1200.0,0.08,0.0,3.179529201087862e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.051899569132844305,0.2,1,0,0,0,0,11999.496157373562,0.0,0.0,0.0,0.6,5.0,11999.496157373562,15.583236103468403,2.4682609764518496e-08,4.5,3.179529201087862e-06,3.179529201087862e-06,0.6,1,0,0,239.9899172238936,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2401999954599887
13,0.012,0.5,11999.87946261942,1200.0,0.08,0.0,5.036216783468152e-09,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.03438521568738765,0.2,1,0,0,0,0,11999.87946261942,0.0,0.0,0.0,0.6,5.0,11999.87946261942,17.371156098470934,2.8880887909404587e-09,4.5,5.036216783468152e-09,5.036216783468152e-09,0.6,1,0,0,239.99758855925404,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.23700000019744039
14,0.012,0.5,11999.107468837581,1200.0,0.08,0.0,2.17094548820058e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.06118465052789793,0.2,1,0,0,0,0,11999.107468837581,0.0,0.0,0.0,0.6,5.0,11999.107468837581,14.868448789295764,5.8197574641591114e-08,4.5,2.17094548820058e-05,2.17094548820058e-05,0.6,1,0,0,239.9821354103726,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.23400000645779073
