q_bps,S_eff_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER_clip,sWER,P_tx_W,E_slot_J,violate_lat,violate_eng,violate_sem,arrivals_bps,delta_queue_used,Q_t_used,energy_budget_per_slot_j,semantic_budget,latency_budget_q_bps,action_in_guard_set,fallback_used,feasible_set_nonempty,t,algorithm,seed,V
2425935.15555841,2425935.15555841,0.0,0.0,0.0,1.4923076923076923,2.0,2425935.15555841,4.209914712520778,0.8765040265977213,3.862365980714836,0.28440850482129104,0.28440850482129104,0.28440850482129104,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,0.0,0.5,0.3,400.0,1,0,1,1,lagrangian_ppo,2029,800.0
2804955.1410255115,2804955.1410255115,2425535.15555841,0.0,0.0,1.6,3.0,2804955.1410255115,4.370545728122918,0.9128469177638344,3.890455362742543,0.2773861593143642,0.2773861593143642,0.2773861593143642,1.6,0.032,0,0,0,400.0,0.08,2425535.15555841,0.5,0.3,400.0,1,0,1,2,lagrangian_ppo,2029,800.0
3515189.298024489,3515189.298024489,5230090.296583922,0.0,0.0,1.4923076923076923,3.0,3515189.298024489,5.7500869780472375,0.8822483877946099,4.153699680369714,0.21157507990757143,0.21157507990757143,0.21157507990757143,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,5230090.296583922,0.5,0.3,400.0,1,0,1,3,lagrangian_ppo,2029,800.0
2704419.649571626,2704419.649571626,8744879.594608411,0.0,0.0,0.7384615384615385,3.0,2704419.649571626,4.156272206409044,0.9168629707031474,3.853122622003415,0.28671934449914627,0.28671934449914627,0.28671934449914627,0.7384615384615385,0.01476923076923077,0,0,0,400.0,0.08,8744879.594608411,0.5,0.3,400.0,1,0,1,4,lagrangian_ppo,2029,800.0
2431826.959208733,2431826.959208733,11448899.244180037,0.0,0.0,1.3846153846153846,2.0,2431826.959208733,4.22549840076262,0.8760888069833187,3.865064228134503,0.2837339429663742,0.2837339429663742,0.2837339429663742,1.3846153846153846,0.027692307692307693,0,0,0,400.0,0.08,11448899.244180037,0.5,0.3,400.0,1,0,1,5,lagrangian_ppo,2029,800.0
4270103.521203114,4270103.521203114,13880326.20338877,0.0,0.0,1.4923076923076923,3.0,4270103.521203114,7.0297537544335515,0.8451755728645555,4.415945048099189,0.14601373797520256,0.14601373797520256,0.14601373797520256,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,13880326.20338877,0.5,0.3,400.0,1,0,1,6,lagrangian_ppo,2029,800.0
3198495.7107722606,3198495.7107722606,18150029.72459188,0.0,0.0,1.6,3.0,3198495.7107722606,5.160831420346126,0.8963843134209007,4.036986351054855,0.24075341223628624,0.24075341223628624,0.24075341223628624,1.6,0.032,0,0,0,400.0,0.08,18150029.72459188,0.5,0.3,400.0,1,0,1,7,lagrangian_ppo,2029,800.0
2374029.3207960282,2374029.3207960282,21348125.435364142,0.0,0.0,1.4923076923076923,2.0,2374029.3207960282,4.071566774053204,0.8801339920071708,3.83866843708682,0.29033289072829505,0.29033289072829505,0.29033289072829505,1.4923076923076923,0.02984615384615385,0,0,0,400.0,0.08,21348125.435364142,0.5,0.3,400.0,1,0,1,8,lagrangian_ppo,2029,800.0
3007168.899655073,3007168.899655073,23721754.75616017,0.0,0.0,1.1692307692307693,3.0,3007168.899655073,4.785587677343308,0.9045374707146319,3.9657713399641037,0.2585571650089741,0.2585571650089741,0.2585571650089741,1.1692307692307693,0.023384615384615386,0,0,0,400.0,0.08,23721754.75616017,0.5,0.3,400.0,1,0,1,9,lagrangian_ppo,2029,800.0
3183148.5372554003,3183148.5372554003,26728523.655815244,0.0,0.0,1.6,3.0,3183148.5372554003,5.131305158884257,0.897048921717828,4.031284839254039,0.24217879018649022,0.24217879018649022,0.24217879018649022,1.6,0.032,0,0,0,400.0,0.08,26728523.655815244,0.5,0.3,400.0,1,0,1,10,lagrangian_ppo,2029,800.0
