t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,lyapunov_greedy_oracle,3,50,256,10,1.0,8.05887155421511,1097.0500124801429
2,lyapunov_greedy_oracle,3,50,256,10,1.0,12.074081150269302,828.8738710861701
3,lyapunov_greedy_oracle,3,50,256,10,1.0,14.569633241849743,790.8804689802212
4,lyapunov_greedy_oracle,3,50,256,10,1.0,15.369593747570558,1185.185740100371
5,lyapunov_greedy_oracle,3,50,256,10,1.0,7.5603304199860055,1058.7610648799844
6,lyapunov_greedy_oracle,3,50,256,10,1.0,15.889494987211524,934.5295642841204
7,lyapunov_greedy_oracle,3,50,256,10,1.0,16.544705241022946,1179.4211542486482
8,lyapunov_greedy_oracle,3,50,256,10,1.0,9.204141596984861,946.9827679452889
9,lyapunov_greedy_oracle,3,50,256,10,1.0,9.742135701995633,1014.0645240894921
10,lyapunov_greedy_oracle,3,50,256,10,1.0,7.1377068278822655,1161.165201113533
11,lyapunov_greedy_oracle,3,50,256,10,1.0,2.352809010831752,859.0688091799761
12,lyapunov_greedy_oracle,3,50,256,10,1.0,15.594602270976377,1155.1384421604905
13,lyapunov_greedy_oracle,3,50,256,10,1.0,18.923637495591812,1076.5523130382937
14,lyapunov_greedy_oracle,3,50,256,10,1.0,13.278452313531712,1059.8674326187852
15,lyapunov_greedy_oracle,3,50,256,10,1.0,-3.3448832341296093,1014.4862545942681
16,lyapunov_greedy_oracle,3,50,256,10,1.0,16.271382400058556,688.7639167562638
17,lyapunov_greedy_oracle,3,50,256,10,1.0,19.997646886809427,1016.4110225316716
18,lyapunov_greedy_oracle,3,50,256,10,1.0,7.7473252294471475,764.875824357099
19,lyapunov_greedy_oracle,3,50,256,10,1.0,3.288834611692777,1119.2146594710184
20,lyapunov_greedy_oracle,3,50,256,10,1.0,4.684081416446136,799.7279190091873
21,lyapunov_greedy_oracle,3,50,256,10,1.0,13.452876418387635,1090.2259235487306
22,lyapunov_greedy_oracle,3,50,256,10,1.0,3.0106771847541314,773.12212027978
23,lyapunov_greedy_oracle,3,50,256,10,1.0,7.659130867124514,969.7304159005818
24,lyapunov_greedy_oracle,3,50,256,10,1.0,10.364401574928127,1050.1613198551943
25,lyapunov_greedy_oracle,3,50,256,10,1.0,12.93152005115497,1159.8804840894013
26,lyapunov_greedy_oracle,3,50,256,10,1.0,11.290082639116836,610.75509076001
