t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,sw_ucb,2,100,256,25,1.0,10.520330558985746,1208.6200762626024
2,sw_ucb,2,100,256,25,1.0,9.871594149219733,991.2095147875103
3,sw_ucb,2,100,256,25,1.0,9.84932217030679,1100.7911980298613
4,sw_ucb,2,100,256,25,1.0,13.437792212727832,1089.0300911289366
5,sw_ucb,2,100,256,25,1.0,5.55353486980556,925.1033081918554
6,sw_ucb,2,100,256,25,1.0,7.097057119077729,1207.356894163918
7,sw_ucb,2,100,256,25,1.0,3.234786289830966,1340.6238217038276
8,sw_ucb,2,100,256,25,1.0,2.3841649627030908,1183.1440666365115
9,sw_ucb,2,100,256,25,1.0,14.939885332464637,1020.8836315562618
10,sw_ucb,2,100,256,25,1.0,6.298367102287828,1110.221854540648
11,sw_ucb,2,100,256,25,1.0,0.8874911131078989,1138.7691906053537
12,sw_ucb,2,100,256,25,1.0,5.85133446376566,639.0252983481698
13,sw_ucb,2,100,256,25,1.0,15.726684019758919,975.8519839137259
14,sw_ucb,2,100,256,25,1.0,5.557783201538769,1328.549286737288
15,sw_ucb,2,100,256,25,1.0,7.891409444516714,676.4573008828706
16,sw_ucb,2,100,256,25,1.0,7.591236074547409,541.1133049737509
17,sw_ucb,2,100,256,25,1.0,5.6686654054573635,1101.9273530106216
18,sw_ucb,2,100,256,25,1.0,7.259610201346775,1249.427429001691
19,sw_ucb,2,100,256,25,1.0,9.988088707775033,931.9910484695746
20,sw_ucb,2,100,256,25,1.0,6.655047365475513,1185.083761055527
21,sw_ucb,2,100,256,25,1.0,5.702341695158203,880.0414513824153
22,sw_ucb,2,100,256,25,1.0,10.747059216359018,829.6262515426714
23,sw_ucb,2,100,256,25,1.0,10.292568100379182,1053.9469199994844
24,sw_ucb,2,100,256,25,1.0,4.354871908972397,1191.3255231903804
25,sw_ucb,2,100,256,25,1.0,11.088603687423786,1130.4276727582183
26,sw_ucb,2,100,256,25,1.0,8.299316691849935,1036.2551225602674
27,sw_ucb,2,100,256,25,1.0,13.024216808060594,1192.3197095560845
28,sw_ucb,2,100,256,25,1.0,8.569959324387021,1270.4614618090907
29,sw_ucb,2,100,256,25,1.0,1.8511873841574698,1208.662193522099
30,sw_ucb,2,100,256,25,1.0,11.058691130776962,652.1236511071066
31,sw_ucb,2,100,256,25,1.0,23.853687139531676,1069.3088098446663
32,sw_ucb,2,100,256,25,1.0,4.545189383202365,1229.008171497349
33,sw_ucb,2,100,256,25,1.0,16.561586482976992,1211.9697810965106
34,sw_ucb,2,100,256,25,1.0,16.166839385117836,751.1645550925765
35,sw_ucb,2,100,256,25,1.0,7.819960746806702,1019.70682486849
36,sw_ucb,2,100,256,25,1.0,6.879747702122786,1015.928669114038
37,sw_ucb,2,100,256,25,1.0,7.766053140899509,889.3865020221746
38,sw_ucb,2,100,256,25,1.0,9.4563337666291,1419.784176749342
39,sw_ucb,2,100,256,25,1.0,24.35590436664341,597.5700093964545
40,sw_ucb,2,100,256,25,1.0,2.5074957776006768,1263.6488613429804
41,sw_ucb,2,100,256,25,1.0,8.743901692530638,704.2566896794656
42,sw_ucb,2,100,256,25,1.0,17.936903500851223,1072.944926830461
43,sw_ucb,2,100,256,25,1.0,14.159363077514659,773.1015654783117
44,sw_ucb,2,100,256,25,1.0,5.63949114674278,1164.8381238123623
45,sw_ucb,2,100,256,25,1.0,3.926560085722567,912.9615250124244
46,sw_ucb,2,100,256,25,1.0,9.441608329702422,1272.7061789265401
47,sw_ucb,2,100,256,25,1.0,3.586116488402425,955.8601547530789
48,sw_ucb,2,100,256,25,1.0,7.4918574304554895,977.5176380158218
49,sw_ucb,2,100,256,25,1.0,10.211465882404493,1322.0217991407105
50,sw_ucb,2,100,256,25,1.0,16.936358115676704,1471.657706811785
51,sw_ucb,2,100,256,25,1.0,13.796171880837575,1031.0501696615052
52,sw_ucb,2,100,256,25,1.0,3.6552643593946454,923.8916663566778
53,sw_ucb,2,100,256,25,1.0,13.948073450524124,1068.4749372424012
54,sw_ucb,2,100,256,25,1.0,15.036830439014714,726.2978039610948
55,sw_ucb,2,100,256,25,1.0,3.2668709621152985,864.3920725610924
56,sw_ucb,2,100,256,25,1.0,5.067869227570937,996.5031789045373
57,sw_ucb,2,100,256,25,1.0,16.146092191428444,774.8166531158008
58,sw_ucb,2,100,256,25,1.0,9.524098321736638,1056.9096536358768
59,sw_ucb,2,100,256,25,1.0,11.402200892701776,1157.3183010231062
60,sw_ucb,2,100,256,25,1.0,17.169351668124776,1191.090895780546
61,sw_ucb,2,100,256,25,1.0,11.466049995858802,898.2927814280986
62,sw_ucb,2,100,256,25,1.0,10.10754173012133,977.5551413559089
63,sw_ucb,2,100,256,25,1.0,17.358920421912874,1068.3576237663667
64,sw_ucb,2,100,256,25,1.0,6.81447243008044,982.8112494266569
65,sw_ucb,2,100,256,25,1.0,7.1649172651542585,1043.0236759815066
66,sw_ucb,2,100,256,25,1.0,-0.30518547728388157,876.3138300605547
67,sw_ucb,2,100,256,25,1.0,8.642401737047107,1051.5156473998265
