t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.017446113682731922,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.17542451075009602,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.872305684136596,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.85802909121054,0.25,0.25,0.872305684136596,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.773300010128878
2,0.019682439592468903,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1979112597033415,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.9841219796234452,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1544721718997613,0.25,0.25,0.9841219796234452,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.212499996763654
3,0.025466033131644635,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2560665649729357,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.2733016565822317,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1543635268283836,0.25,0.25,1.2733016565822317,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.212399996002205
4,0.01851243870844265,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.18614664344610377,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.9256219354221326,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1542077153585866,0.25,0.25,0.9256219354221326,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.311000004643574
5,0.014727240152387569,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1480856393242991,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.7363620076193784,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1540447741387103,0.25,0.25,0.7363620076193784,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.08500000089407
6,0.024781625255768748,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.24918469322989664,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.2390812627884373,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153963591784229,0.25,0.25,1.2390812627884373,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.38500000059139
7,0.016584548545796617,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1667612837773283,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.8292274272898308,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1538289172759675,0.25,0.25,0.8292274272898308,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1367999878712
8,0.019623679994509296,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1973204190203452,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.9811839997254648,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153723002828356,0.25,0.25,0.9811839997254648,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.215500005055219
9,0.0205305328806105,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.20643902427304836,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.026526644030525,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1536318669709997,0.25,0.25,1.026526644030525,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.731899993610568
10,0.027472083149575104,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2762378391796373,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,1.3736041574787552,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1536118002109967,0.25000000000000006,0.25000000000000006,1.3736041574787552,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.099899997934699
