t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.02457713463895824,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.24712849509549634,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.228856731947912,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153005539323866,0.25,0.25,1.228856731947912,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.636999998590909
2,0.024876290838787025,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2501365764909974,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,1.2438145419393511,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1530084098580327,0.25000000000000006,0.25000000000000006,1.2438145419393511,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.254899999476038
3,0.029866846315001784,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.3003177095907271,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.4933423157500891,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153066966257856,0.25,0.25,1.4933423157500891,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.428099994082004
4,0.015542787970030818,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15628615202902732,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.7771393985015409,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1529989197540957,0.25,0.25,0.7771393985015409,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.076699995901436
5,0.02504715628210565,0.5,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.25185466610931373,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,1.2523578141052825,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1530039832540173,0.25000000000000006,0.25000000000000006,1.2523578141052825,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.043000001227483
6,0.015231720872641302,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1531583039384798,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.7615860436320651,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1529395523626222,0.25,0.25,0.7615860436320651,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.08049999573268
7,0.027266384710279742,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.27416949612446373,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,1.3633192355139871,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.15297256799034,0.25,0.25,1.3633192355139871,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.0492999909911305
8,0.01968490425543606,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19793604243163507,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.9842452127718031,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1529355732345783,0.25,0.25,0.9842452127718031,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.252300008782186
9,0.011999792819289194,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.12066055642580721,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.5999896409644597,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1528644126118666,0.25,0.25,0.5999896409644597,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.330800009891391
10,0.019864752121030838,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.19974445228182652,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.9932376060515419,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152837291427601,0.25,0.25,0.9932376060515419,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.0249999951338395
11,0.018258637467823555,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.18359461614231287,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,1.1102230246251565e-16,0.9129318733911778,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8563948711771383,0.25,0.25,0.9129318733911778,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.133300011744723
12,0.01414481709285205,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.14222924734344658,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.7072408546426024,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152939163226002,0.25,0.25,0.7072408546426024,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.028599993442185
13,0.017850203202812935,0.5,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.17948771976320801,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,1.1102230246251565e-16,0.8925101601406467,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8564748810575917,0.25,0.25,0.8925101601406467,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.032500000903383
14,0.014954184461268383,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15036761427166753,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.7477092230634191,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.15301616087225,0.25,0.25,0.7477092230634191,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.0935999936191365
15,0.016790101468129467,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.16882816362743405,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.8395050734064734,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1529583498010694,0.25,0.25,0.8395050734064734,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.174399997689761
16,0.025857850396637665,0.5,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.26000637376157587,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,1.2928925198318832,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152974789241335,0.25,0.25,1.2928925198318832,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.145199993625283
