t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,arm_id,lcb_min,reward_shaped,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.012,0.5,11999.219480262622,1200.0,0.08,0.0,1.4227451442827803e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.058867913327014805,0.2,1,0,0,0,0,11999.219480262622,0.0,0.0,0.0,0.6,5.0,11999.219480262622,15.036087209423007,4.759261430297905e-08,4.5,1.4227451442827803e-05,1.4227451442827803e-05,0.6,1,0,0,239.98437818376794,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.45590000809170306
2,0.012,0.5,11999.759209277086,1200.0,0.08,0.0,1.5870790160888233e-07,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.041963242544827674,0.2,1,0,0,0,0,11999.759209277086,0.0,0.0,0.0,0.6,5.0,11999.759209277086,16.506183235038797,8.154438630123015e-09,4.5,1.5870790160888233e-07,1.5870790160888233e-07,0.6,1,0,0,239.99518222851574,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.33379999513272196
3,0.012,0.5,11999.972359725114,1200.0,0.08,0.0,2.0983851534163649e-13,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02250531202330028,0.2,1,0,0,0,0,11999.972359725114,0.0,0.0,0.0,0.6,5.0,11999.972359725114,19.212023241619015,3.171293310689341e-10,4.5,2.0983851534163649e-13,2.0983851534163649e-13,0.6,1,0,0,239.99944711839143,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.28839999868068844
4,0.012,0.5,11999.933260658998,1200.0,0.08,0.0,1.4553437599272343e-10,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02900517751454872,0.2,1,0,0,0,0,11999.933260658998,0.0,0.0,0.0,0.6,5.0,11999.933260658998,18.110118349863058,1.1898654879176238e-09,4.5,1.4553437599272343e-10,1.4553437599272343e-10,0.6,1,0,0,239.99866492761385,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.26899999647866935
5,0.012,0.5,11999.621201275739,1200.0,0.08,0.0,1.0762656243843467e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.047808495580549545,0.2,1,0,0,0,0,11999.621201275739,0.0,0.0,0.0,0.6,5.0,11999.621201275739,15.93982285024959,1.6089949944134588e-08,4.5,1.0762656243843467e-06,1.0762656243843467e-06,0.6,1,0,0,239.99242016404867,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2626999921631068
6,0.012,0.5,11999.952230477676,1200.0,0.08,0.0,1.475988002383125e-11,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.0263435611946106,0.2,1,0,0,0,0,11999.952230477676,0.0,0.0,0.0,0.6,5.0,11999.952230477676,18.528128790136122,7.20527092069715e-10,4.5,1.475988002383125e-11,1.475988002383125e-11,0.6,1,0,0,239.9990444366277,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.25830000231508166
7,0.012,0.5,11998.411862880901,1200.0,0.08,0.0,0.00011204615670170573,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.07222402287736794,0.2,1,0,0,0,0,11998.411862880901,0.0,0.0,0.0,0.6,5.0,11998.411862880901,14.148056877602178,1.3814638656245512e-07,4.5,0.00011204615670170573,0.00011204615670170573,0.6,1,0,0,239.96820410687317,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.25329999334644526
8,0.012,0.5,11999.444099841376,1200.0,0.08,0.0,4.5265970632590346e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.05338938114246137,0.2,1,0,0,0,0,11999.444099841376,0.0,0.0,0.0,0.6,5.0,11999.444099841376,15.460324759160256,2.860531520247821e-08,4.5,4.5265970632590346e-06,4.5265970632590346e-06,0.6,1,0,0,239.98887513186992,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.27319999935571104
9,0.012,0.5,11998.755555392881,1200.0,0.08,0.0,5.782611378174817e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.0673277416923681,0.2,1,0,0,0,0,11998.755555392881,0.0,0.0,0.0,0.6,5.0,11998.755555392881,14.452933151197637,9.581913548571232e-08,4.5,5.782611378174817e-05,5.782611378174817e-05,0.6,1,0,0,239.97508811364995,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.25579999783076346
10,0.012,0.5,11999.67530898203,1200.0,0.08,0.0,5.770220110620208e-07,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.045733889899180924,0.2,1,0,0,0,0,11999.67530898203,0.0,0.0,0.0,0.6,5.0,11999.67530898203,16.132492208241352,1.2768633091834282e-08,4.5,5.770220110620208e-07,5.770220110620208e-07,0.6,1,0,0,239.9935031152516,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2531999925849959
