t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.004,0.8,17975.503036786155,400.0,0.08,0.0,0.07347576815934101,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004337940300970391,0.2,1,0,0,0,0,17975.503036786155,0.0,0.0,0.0,0.2,5.0,17975.503036786155,8.598216008141351,0.00010967721742169142,4.5,0.07347576815934101,0.07347576815934101,0.2,1,0,0,359.4706306726265,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.694800002151169
2,0.004,0.8,17974.942066465937,400.0,0.08,0.0,0.07437924765848772,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004360645924848008,0.2,1,0,0,0,0,17974.942066465937,0.0,0.0,0.0,0.2,5.0,17974.942066465937,8.57554347424196,0.00011270183247682007,4.5,0.07437924765848772,0.07437924765848772,0.2,1,0,0,359.45832515112767,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.244100004551001
3,0.004,0.8,17768.475754916148,400.0,0.08,0.0,0.18138152772108412,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.007295507654670067,0.2,1,0,0,0,0,17768.475754916148,0.0,0.0,0.0,0.2,5.0,17768.475754916148,6.340496542730351,0.00164462673078436,4.5,0.18138152772108412,0.18138152772108412,0.2,1,0,0,354.78506489448637,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.3264999917009845
4,0.004,0.8,17636.998844521324,400.0,0.08,0.0,0.20481834875386426,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.008105323541392801,0.2,1,0,0,0,0,17636.998844521324,0.0,0.0,0.0,0.2,5.0,17636.998844521324,5.883348164159257,0.002843086750702509,4.5,0.20481834875386426,0.20481834875386426,0.2,1,0,0,351.73710653568617,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.185699996422045
5,0.004,0.8,17957.08513107515,400.0,0.08,0.0,0.0973519489270705,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.0049368849304308,0.2,1,0,0,0,0,17957.08513107515,0.0,0.0,0.0,0.2,5.0,17957.08513107515,8.036521669991497,0.0002151788089487476,4.5,0.0973519489270705,0.0973519489270705,0.2,1,0,0,359.0644229376891,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.16569998965133
6,0.004,0.8,17931.692116261795,400.0,0.08,0.0,0.1191700331264225,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.005496360336965196,0.2,1,0,0,0,0,17931.692116261795,0.0,0.0,0.0,0.2,5.0,17931.692116261795,7.570299747612811,0.00037644589963842733,4.5,0.1191700331264225,0.1191700331264225,0.2,1,0,0,358.498836085821,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.701800011796877
7,0.004,0.8,16963.72927703712,400.0,0.08,0.0,0.2580983297266835,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.010412625886860994,0.2,1,0,0,0,0,16963.72927703712,0.0,0.0,0.0,0.2,5.0,16963.72927703712,4.795449067508439,0.010409844985247356,4.5,0.2580983297266835,0.2580983297266835,0.2,1,0,0,335.7427896978292,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.196899994392879
8,0.004,0.8,17974.614099808427,400.0,0.08,0.0,0.07490060340215139,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004373740289826795,0.2,1,0,0,0,0,17974.614099808427,0.0,0.0,0.0,0.2,5.0,17974.614099808427,8.562521804315852,0.00011447653983067499,4.5,0.07490060340215139,0.07490060340215139,0.2,1,0,0,359.45112856362977,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.281800000579096
9,0.004,0.8,17704.081386112728,400.0,0.08,0.0,0.1941867120968102,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.0077260687827024,0.2,1,0,0,0,0,17704.081386112728,0.0,0.0,0.0,0.2,5.0,17704.081386112728,6.091466015332912,0.002216163256776374,4.5,0.1941867120968102,0.1941867120968102,0.2,1,0,0,353.29692502899695,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.149599998025224
10,0.004,0.8,17917.25190778084,400.0,0.08,0.0,0.12858252058327338,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.0057455728492675955,0.2,1,0,0,0,0,17917.25190778084,0.0,0.0,0.0,0.2,5.0,17917.25190778084,7.377718362170597,0.0004742687490354742,4.5,0.12858252058327338,0.12858252058327338,0.2,1,0,0,358.1750863026477,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1526000063167885
11,0.004,0.8,17952.344516609446,400.0,0.08,0.0,0.10212975705242874,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.00505774980274899,0.2,1,0,0,0,0,17952.344516609446,0.0,0.0,0.0,0.2,5.0,17952.344516609446,7.931478299244457,0.0002440791334045167,4.5,0.10212975705242874,0.10212975705242874,0.2,1,0,0,358.95925447834503,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.272699989494868
12,0.004,0.8,17983.455062934016,400.0,0.08,0.0,0.05871919985630596,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.003962711364508121,0.2,1,0,0,0,0,17983.455062934016,0.0,0.0,0.0,0.2,5.0,17983.455062934016,8.991127313460787,6.844902655945503e-05,4.5,0.05871919985630596,0.05871919985630596,0.2,1,0,0,359.64448225881563,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1910999938845634
13,0.004,0.8,17832.555792368315,400.0,0.08,0.0,0.16450218463033656,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.006765378332427506,0.2,1,0,0,0,0,17832.555792368315,0.0,0.0,0.0,0.2,5.0,17832.555792368315,6.668130835824844,0.0011105851889387046,4.5,0.16450218463033656,0.16450218463033656,0.2,1,0,0,356.25502440048774,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.278700006077997
14,0.004,0.8,16029.549680663262,400.0,0.08,0.0,0.28928773174731376,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.01223173306582529,0.2,1,0,0,0,0,16029.549680663262,0.0,0.0,0.0,0.2,5.0,16029.549680663262,4.096171768818021,0.023766932735937392,4.499659252921849,0.28928773174731376,0.28928773174731376,0.2,1,0,0,312.9715290323114,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.2467999960063025
15,0.004,0.8,17988.583251212163,400.0,0.08,0.0,0.046437296106091375,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.0036380114489658194,0.2,1,0,0,0,0,17988.583251212163,0.0,0.0,0.0,0.2,5.0,17988.583251212163,9.362411102717079,4.384117273262668e-05,4.5,0.046437296106091375,0.046437296106091375,0.2,1,0,0,359.7558922125326,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.13980001071468
16,0.004,0.8,17476.003524412994,400.0,0.08,0.0,0.22376160503064474,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.008838839918507495,0.2,1,0,0,0,0,17476.003524412994,0.0,0.0,0.0,0.2,5.0,17476.003524412994,5.507099033423483,0.00445830285642171,4.5,0.22376160503064474,0.22376160503064474,0.2,1,0,0,347.9618041596254,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.22049999947194
17,0.004,0.8,17987.630323027915,400.0,0.08,0.0,0.04894881765401842,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.003705834493220768,0.2,1,0,0,0,0,17987.630323027915,0.0,0.0,0.0,0.2,5.0,17987.630323027915,9.282191524122616,4.827107194899102e-05,4.5,0.04894881765401842,0.04894881765401842,0.2,1,0,0,359.735240816608,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.197700000484474
18,0.004,0.8,17970.547241105625,400.0,0.08,0.0,0.08098340484998191,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004526212994656383,0.2,1,0,0,0,0,17970.547241105625,0.0,0.0,0.0,0.2,5.0,17970.547241105625,8.413701846018846,0.00013685630093641802,4.5,0.08098340484998191,0.08098340484998191,0.2,1,0,0,359.3617571696881,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.234399988898076
19,0.004,0.8,16796.82661681828,400.0,0.08,0.0,0.26544320443480657,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.010801459194196552,0.2,1,0,0,0,0,16796.82661681828,0.0,0.0,0.0,0.2,5.0,16796.82661681828,4.636227424432819,0.012573968438565408,4.5,0.26544320443480657,0.26544320443480657,0.2,1,0,0,331.7124769814071,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1597000021720305
20,0.004,0.8,17790.57958754542,400.0,0.08,0.0,0.17614588854358443,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.0071268417128982605,0.2,1,0,0,0,0,17790.57958754542,0.0,0.0,0.0,0.2,5.0,17790.57958754542,6.44208058516387,0.0014561578505054192,4.5,0.17614588854358443,0.17614588854358443,0.2,1,0,0,355.2934739082795,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.165399987366982
21,0.004,0.8,17067.729025490797,400.0,0.08,0.0,0.25285779402201847,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.010147826811576282,0.2,1,0,0,0,0,17067.729025490797,0.0,0.0,0.0,0.2,5.0,17067.729025490797,4.907321250400589,0.009114020762799203,4.5,0.25285779402201847,0.25285779402201847,0.2,1,0,0,338.24346777557287,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.180399999720976
22,0.004,0.8,16974.69173185576,400.0,0.08,0.0,0.257572810960511,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.010385613399328362,0.2,1,0,0,0,0,16974.69173185576,0.0,0.0,0.0,0.2,5.0,16974.69173185576,4.8067301963701965,0.01027131048416135,4.5,0.257572810960511,0.257572810960511,0.2,1,0,0,336.0067880540989,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.165200000395998
23,0.004,0.8,17960.794207900566,400.0,0.08,0.0,0.09330380534373955,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.004834960884314947,0.2,1,0,0,0,0,17960.794207900566,0.0,0.0,0.0,0.2,5.0,17960.794207900566,8.127122068288337,0.00019301560523635568,4.5,0.09330380534373955,0.09330380534373955,0.2,1,0,0,359.1465498867201,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.200900010298938
