t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.017839847695023153,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.17938359285445188,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,5.551115123125783e-17,0.8919923847511576,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.041302212075504,0.15000000000000005,0.15000000000000005,0.8919923847511576,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.5618999865837395
2,0.022867633359192317,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.22993908368369134,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,8.326672684688674e-17,1.1433816679596158,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.0413674397242545,0.15000000000000002,0.15000000000000002,1.1433816679596158,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.233500003465451
3,0.019211532659967848,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.1931761869103336,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,1.3877787807814457e-16,0.9605766329983924,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3019859585519606,0.15000000000000005,0.15000000000000005,0.9605766329983924,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.532800005516037
4,0.018146349494441185,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.1824655358696548,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,1.6653345369377348e-16,0.9073174747220591,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.041306828439714,0.15000000000000002,0.15000000000000002,0.9073174747220591,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.320299995015375
5,0.021997375936607024,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.22118845386664662,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,2.220446049250313e-16,1.099868796830351,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.041358630510441,0.15000000000000005,0.15000000000000005,1.099868796830351,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.110399997443892
6,0.029752459482894237,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.2991675248318956,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,2.498001805406602e-16,1.4876229741447118,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.302008973912883,0.15000000000000002,0.15000000000000002,1.4876229741447118,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.23079999058973
7,0.01950754909584499,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.19615269728863832,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,3.0531133177191805e-16,0.9753774547922496,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3019490505518814,0.15000000000000005,0.15000000000000005,0.9753774547922496,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,5.99980000697542
8,0.0298610361654196,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.30025928725860346,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,3.608224830031759e-16,1.4930518082709798,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.041467948534247,0.15000000000000005,0.15000000000000005,1.4930518082709798,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.119500008528121
9,0.016846457965605775,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.16939484060645404,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,4.163336342344337e-16,0.8423228982802887,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.302074159537433,0.15000000000000005,0.15000000000000005,0.8423228982802887,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.203600001754239
10,0.01710798162060704,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.1720245184855787,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,4.718447854656915e-16,0.8553990810303519,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.041377184820003,0.15000000000000005,0.15000000000000005,0.8553990810303519,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.038600003696047
