t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,2,100,256,10,1.0,10.021934130024736,1016.3742715163256
2,raucb_plus,2,100,256,10,1.0,21.308181495827526,846.1185540782622
3,raucb_plus,2,100,256,10,1.0,16.651240981601887,478.69019600448416
4,raucb_plus,2,100,256,10,1.0,13.665331410370236,854.2840203670676
5,raucb_plus,2,100,256,10,1.0,0.3537807235955821,1075.873204844042
6,raucb_plus,2,100,256,10,1.0,9.745721532089428,1122.619257301858
7,raucb_plus,2,100,256,10,1.0,6.665609849622031,919.0671421555792
8,raucb_plus,2,100,256,10,1.0,5.58626642095098,474.8577316478902
9,raucb_plus,2,100,256,10,1.0,16.14644012740019,990.426809304048
10,raucb_plus,2,100,256,10,1.0,6.286202159266932,1246.9599204705971
11,raucb_plus,2,100,256,10,1.0,13.28669336437883,904.2698407171329
12,raucb_plus,2,100,256,10,1.0,9.971725533912887,1052.0226991611426
13,raucb_plus,2,100,256,10,1.0,10.44646253925828,1427.2607128836225
14,raucb_plus,2,100,256,10,1.0,0.2985687721835699,1138.2119719212471
15,raucb_plus,2,100,256,10,1.0,12.76797150792492,811.4161873928416
16,raucb_plus,2,100,256,10,1.0,7.923698134159608,1024.8548712294478
17,raucb_plus,2,100,256,10,1.0,8.491480471348321,890.1097764199752
18,raucb_plus,2,100,256,10,1.0,12.305186669753887,1245.6020668247609
19,raucb_plus,2,100,256,10,1.0,9.396219760615296,852.4499950299149
20,raucb_plus,2,100,256,10,1.0,15.677516413058902,1417.140457260558
21,raucb_plus,2,100,256,10,1.0,6.096145172228938,1080.3767371607855
22,raucb_plus,2,100,256,10,1.0,10.836755253388167,982.6875299229121
23,raucb_plus,2,100,256,10,1.0,13.288038073318697,1039.01918146766
24,raucb_plus,2,100,256,10,1.0,9.522246477131661,836.7295049956302
25,raucb_plus,2,100,256,10,1.0,5.901231947505229,662.3529975911844
26,raucb_plus,2,100,256,10,1.0,1.5560110426508764,1099.0748839004425
27,raucb_plus,2,100,256,10,1.0,1.9998902277059223,968.3175739769358
28,raucb_plus,2,100,256,10,1.0,12.426469565844693,984.0331303457705
29,raucb_plus,2,100,256,10,1.0,11.959573201558308,958.4380028653433
30,raucb_plus,2,100,256,10,1.0,19.559115434721047,819.3417727206902
31,raucb_plus,2,100,256,10,1.0,9.685993531443389,1234.201593762397
32,raucb_plus,2,100,256,10,1.0,9.23573256053342,1077.3915933982753
33,raucb_plus,2,100,256,10,1.0,8.192442786069716,1028.986482686572
34,raucb_plus,2,100,256,10,1.0,6.878734283252008,1390.1639718445174
35,raucb_plus,2,100,256,10,1.0,7.503012704675438,897.4370281612058
36,raucb_plus,2,100,256,10,1.0,7.655455410314046,1186.324561947527
37,raucb_plus,2,100,256,10,1.0,5.160931627483801,1094.4488461607436
38,raucb_plus,2,100,256,10,1.0,10.517369506655758,933.8965225714876
39,raucb_plus,2,100,256,10,1.0,7.026288116539154,1030.236035303451
40,raucb_plus,2,100,256,10,1.0,15.914200911158341,1074.9764870109823
41,raucb_plus,2,100,256,10,1.0,14.287538799298776,1062.1406965057888
42,raucb_plus,2,100,256,10,1.0,14.604999206939114,1001.1023348360784
43,raucb_plus,2,100,256,10,1.0,16.63183593302815,770.7764555992021
44,raucb_plus,2,100,256,10,1.0,6.332448976557112,842.591535086073
45,raucb_plus,2,100,256,10,1.0,17.869699412169616,842.5231805434764
46,raucb_plus,2,100,256,10,1.0,8.370793223226219,1072.120791371541
47,raucb_plus,2,100,256,10,1.0,4.538043055799108,1239.8322847798852
48,raucb_plus,2,100,256,10,1.0,7.657775007980645,879.9915142729841
49,raucb_plus,2,100,256,10,1.0,11.671011634677233,733.1391887891151
50,raucb_plus,2,100,256,10,1.0,12.996123291406924,1159.0095105963007
