t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,2,400,64,10,1.0,13.194457240926592,932.633536170354
2,safe_linucb,2,400,64,10,1.0,8.167541848972126,1220.4856290934727
3,safe_linucb,2,400,64,10,1.0,11.661583130176721,995.6261609213233
4,safe_linucb,2,400,64,10,1.0,2.8665165663181034,863.6413118141668
5,safe_linucb,2,400,64,10,1.0,5.199052904766408,1361.6947925007075
6,safe_linucb,2,400,64,10,1.0,5.86739800638309,1239.4929019644733
7,safe_linucb,2,400,64,10,1.0,6.079402753074948,623.8609702309806
8,safe_linucb,2,400,64,10,1.0,5.96194506381312,1092.0554212159798
9,safe_linucb,2,400,64,10,1.0,9.443201954051034,895.7124724391865
10,safe_linucb,2,400,64,10,1.0,12.064839484357453,759.0298508745652
11,safe_linucb,2,400,64,10,1.0,6.399981869397362,945.1250822262092
12,safe_linucb,2,400,64,10,1.0,11.13357713817813,1402.077288881398
13,safe_linucb,2,400,64,10,1.0,4.530426803572919,1219.9013357960428
14,safe_linucb,2,400,64,10,1.0,6.362671599168951,729.7838129535526
15,safe_linucb,2,400,64,10,1.0,15.742665807727755,1102.6018652671546
16,safe_linucb,2,400,64,10,1.0,13.632330589465365,1138.280740024789
17,safe_linucb,2,400,64,10,1.0,9.006476383945675,1032.0423267608453
18,safe_linucb,2,400,64,10,1.0,15.602982578068644,1125.2031135953057
19,safe_linucb,2,400,64,10,1.0,10.45290734673314,910.7804960775338
20,safe_linucb,2,400,64,10,1.0,9.408806150358444,1020.7138737709881
21,safe_linucb,2,400,64,10,1.0,13.388894764718097,671.5038825493863
22,safe_linucb,2,400,64,10,1.0,12.170525230688702,1096.9511537791036
23,safe_linucb,2,400,64,10,1.0,10.293001039891257,888.2232203283994
24,safe_linucb,2,400,64,10,1.0,10.268527996024897,546.0056657678797
25,safe_linucb,2,400,64,10,1.0,0.27765775150928995,855.9015127846958
26,safe_linucb,2,400,64,10,1.0,15.546555259271042,932.7226811474684
27,safe_linucb,2,400,64,10,1.0,15.533646606663046,1292.7298415063071
28,safe_linucb,2,400,64,10,1.0,2.76296205726282,1108.1336610697895
29,safe_linucb,2,400,64,10,1.0,4.90333564627797,977.4763932674074
30,safe_linucb,2,400,64,10,1.0,7.294263376663011,950.4138067426326
31,safe_linucb,2,400,64,10,1.0,7.9525406472290125,984.151984279632
32,safe_linucb,2,400,64,10,1.0,7.686460809374407,1164.246643013491
33,safe_linucb,2,400,64,10,1.0,11.07085918886537,893.7507422994224
34,safe_linucb,2,400,64,10,1.0,7.7021056955594975,1042.660097206412
35,safe_linucb,2,400,64,10,1.0,9.161029667983158,1200.9786835973707
36,safe_linucb,2,400,64,10,1.0,13.494723123907022,1117.8990357625885
37,safe_linucb,2,400,64,10,1.0,14.47013755479799,894.7465841922786
38,safe_linucb,2,400,64,10,1.0,13.956965953697466,785.4990596094444
39,safe_linucb,2,400,64,10,1.0,8.161745107129143,828.574384974427
40,safe_linucb,2,400,64,10,1.0,13.854487399779206,933.1151119459778
41,safe_linucb,2,400,64,10,1.0,10.569552890661594,782.2931769060885
42,safe_linucb,2,400,64,10,1.0,10.333937873021272,1035.5247012132004
43,safe_linucb,2,400,64,10,1.0,9.626562755708099,1063.1819596830176
44,safe_linucb,2,400,64,10,1.0,11.501001862333327,926.3404298230809
45,safe_linucb,2,400,64,10,1.0,7.036987245265154,635.6492910268721
46,safe_linucb,2,400,64,10,1.0,5.95287655231171,1057.963532589308
47,safe_linucb,2,400,64,10,1.0,13.050510228740674,1231.937136314395
48,safe_linucb,2,400,64,10,1.0,15.407631658125725,1011.263875887918
49,safe_linucb,2,400,64,10,1.0,14.175883579786424,1010.9241986314298
50,safe_linucb,2,400,64,10,1.0,18.610659618213663,787.195717603485
51,safe_linucb,2,400,64,10,1.0,8.62157729773203,1340.3033334419408
52,safe_linucb,2,400,64,10,1.0,4.3609205271364235,842.2111089213083
53,safe_linucb,2,400,64,10,1.0,14.48827885499152,1311.12165430028
54,safe_linucb,2,400,64,10,1.0,8.04176624521322,993.5937001727394
55,safe_linucb,2,400,64,10,1.0,9.874641419157248,857.7190481311798
56,safe_linucb,2,400,64,10,1.0,9.77742229342428,857.8253253098703
57,safe_linucb,2,400,64,10,1.0,12.087395537685392,1145.1010816516437
58,safe_linucb,2,400,64,10,1.0,13.104308985594542,1049.3898807790456
59,safe_linucb,2,400,64,10,1.0,7.104979569562042,911.8384898358488
60,safe_linucb,2,400,64,10,1.0,-1.9032712937060854,1153.981241351783
61,safe_linucb,2,400,64,10,1.0,12.333919356200326,1067.5395031780022
62,safe_linucb,2,400,64,10,1.0,4.030825041565431,964.3595184926397
63,safe_linucb,2,400,64,10,1.0,12.778454041726798,788.8221079645249
64,safe_linucb,2,400,64,10,1.0,8.048999233402508,816.4011180866527
65,safe_linucb,2,400,64,10,1.0,7.331390070602854,838.8143841378804
66,safe_linucb,2,400,64,10,1.0,10.898907851443091,1000.6462686402231
67,safe_linucb,2,400,64,10,1.0,9.125250978433423,718.8697898899965
68,safe_linucb,2,400,64,10,1.0,4.978083871415233,1106.3281383917397
69,safe_linucb,2,400,64,10,1.0,9.781569436388233,935.5981819630083
70,safe_linucb,2,400,64,10,1.0,13.961012733416597,1117.8623089770579
71,safe_linucb,2,400,64,10,1.0,11.93934689140767,1271.032639841077
72,safe_linucb,2,400,64,10,1.0,7.882968961160788,589.8272168039489
73,safe_linucb,2,400,64,10,1.0,3.4123542687844877,1342.9028123576277
74,safe_linucb,2,400,64,10,1.0,9.446463389681263,1467.893549204485
75,safe_linucb,2,400,64,10,1.0,8.027347753606765,1018.3337173542126
76,safe_linucb,2,400,64,10,1.0,10.03218948526787,903.7217055728843
77,safe_linucb,2,400,64,10,1.0,3.941090067972671,855.1871402523947
78,safe_linucb,2,400,64,10,1.0,11.425992874017508,1074.051144430624
79,safe_linucb,2,400,64,10,1.0,10.069512374816178,1035.0026287743506
80,safe_linucb,2,400,64,10,1.0,14.307315865243542,946.5379735354865
81,safe_linucb,2,400,64,10,1.0,7.7615466663834844,991.9251572151928
82,safe_linucb,2,400,64,10,1.0,10.407842984050847,1080.913952882311
83,safe_linucb,2,400,64,10,1.0,22.971128987814573,1155.2043576382734
84,safe_linucb,2,400,64,10,1.0,12.599624239143258,1088.1770533150138
85,safe_linucb,2,400,64,10,1.0,9.18328240779671,847.4588177832024
86,safe_linucb,2,400,64,10,1.0,6.935615036129456,1325.168674868663
87,safe_linucb,2,400,64,10,1.0,12.368862968124448,964.5559235804664
