t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,sw_ucb,1,50,512,10,1.0,2.5694541831443125,930.9960234610409
2,sw_ucb,1,50,512,10,1.0,10.315388296838139,1101.1370938492705
3,sw_ucb,1,50,512,10,1.0,11.877658667864988,802.8311550474651
4,sw_ucb,1,50,512,10,1.0,20.312099741027907,1079.962925359035
5,sw_ucb,1,50,512,10,1.0,1.8604980881816608,885.849652292448
6,sw_ucb,1,50,512,10,1.0,10.166647069490734,1453.1307928515484
7,sw_ucb,1,50,512,10,1.0,13.272866916607576,866.8407258371955
8,sw_ucb,1,50,512,10,1.0,11.013097833574749,982.0606413190161
9,sw_ucb,1,50,512,10,1.0,10.831152147672205,698.4814908520875
10,sw_ucb,1,50,512,10,1.0,15.753566431622323,1098.4651656564702
11,sw_ucb,1,50,512,10,1.0,9.208599080688808,1223.0313565016233
12,sw_ucb,1,50,512,10,1.0,10.420386800612116,972.309602976039
13,sw_ucb,1,50,512,10,1.0,10.783829144299778,774.9501106750489
14,sw_ucb,1,50,512,10,1.0,11.396223045622849,1577.6248929897633
15,sw_ucb,1,50,512,10,1.0,6.573350179759422,986.2001633773745
16,sw_ucb,1,50,512,10,1.0,4.46450720544367,1128.2922378331984
17,sw_ucb,1,50,512,10,1.0,9.884376122603,552.447404113432
18,sw_ucb,1,50,512,10,1.0,13.712515376649632,1045.385536374785
19,sw_ucb,1,50,512,10,1.0,7.396136613937712,1301.1853981736083
20,sw_ucb,1,50,512,10,1.0,10.129791523893621,807.178128129784
21,sw_ucb,1,50,512,10,1.0,3.167842259562722,1035.2403175005743
22,sw_ucb,1,50,512,10,1.0,-5.8165400317436635,1163.101747025519
23,sw_ucb,1,50,512,10,1.0,9.872337995037455,895.3744781169153
24,sw_ucb,1,50,512,10,1.0,6.036142254271025,1055.9159024623893
25,sw_ucb,1,50,512,10,1.0,14.47571964930783,974.7040229317208
26,sw_ucb,1,50,512,10,1.0,10.616348433217864,1344.385567995831
27,sw_ucb,1,50,512,10,1.0,7.610110755331145,738.7321548733446
28,sw_ucb,1,50,512,10,1.0,7.658272107767381,1154.8084065610087
29,sw_ucb,1,50,512,10,1.0,5.287628692737652,616.2056130729075
30,sw_ucb,1,50,512,10,1.0,10.0730634680582,852.9122731711043
31,sw_ucb,1,50,512,10,1.0,6.590593202563763,980.6045014904608
32,sw_ucb,1,50,512,10,1.0,7.473292853096092,1078.2115756633855
33,sw_ucb,1,50,512,10,1.0,5.536916070895689,1023.0767592743305
34,sw_ucb,1,50,512,10,1.0,15.97899713447914,1187.8209750726992
35,sw_ucb,1,50,512,10,1.0,15.90825945555967,1030.15238548712
36,sw_ucb,1,50,512,10,1.0,11.593631898542718,857.7416129571872
37,sw_ucb,1,50,512,10,1.0,8.830775055436394,684.3975130788181
38,sw_ucb,1,50,512,10,1.0,19.901657095697217,1269.816301237161
39,sw_ucb,1,50,512,10,1.0,6.746960561033564,1197.7436104273272
40,sw_ucb,1,50,512,10,1.0,16.099672898470867,664.0170601792279
41,sw_ucb,1,50,512,10,1.0,13.323369938512332,904.3478550759125
42,sw_ucb,1,50,512,10,1.0,12.0375694953435,1204.811242582258
43,sw_ucb,1,50,512,10,1.0,4.179590723691443,1007.8113618500711
44,sw_ucb,1,50,512,10,1.0,8.489869266566528,911.2391444839643
45,sw_ucb,1,50,512,10,1.0,10.626345909607615,987.080322428006
46,sw_ucb,1,50,512,10,1.0,9.786718271440217,966.5746206235476
47,sw_ucb,1,50,512,10,1.0,13.60472104493923,1020.1607806991044
48,sw_ucb,1,50,512,10,1.0,14.786105733435999,1448.3415669988642
49,sw_ucb,1,50,512,10,1.0,4.35566948415244,1024.3240471460726
50,sw_ucb,1,50,512,10,1.0,11.015072912199706,1039.2205032823701
51,sw_ucb,1,50,512,10,1.0,7.190586243340249,739.407157665036
52,sw_ucb,1,50,512,10,1.0,2.9663870683468376,1139.3245286141548
53,sw_ucb,1,50,512,10,1.0,13.73932951160435,1322.7064058885335
54,sw_ucb,1,50,512,10,1.0,16.394140450583404,1184.4701587544118
55,sw_ucb,1,50,512,10,1.0,14.546935966314187,883.9268994597212
56,sw_ucb,1,50,512,10,1.0,5.252090469545427,730.7019169547063
57,sw_ucb,1,50,512,10,1.0,7.667099007460569,901.1933784596571
58,sw_ucb,1,50,512,10,1.0,7.615887227164661,991.8672134391703
59,sw_ucb,1,50,512,10,1.0,10.796738740066415,1121.5842309301695
60,sw_ucb,1,50,512,10,1.0,15.58886308950665,1218.7933714371097
61,sw_ucb,1,50,512,10,1.0,12.648841919467111,883.4205319951832
62,sw_ucb,1,50,512,10,1.0,8.322054237580108,949.3145401756435
63,sw_ucb,1,50,512,10,1.0,7.877448094786455,1044.106269210899
64,sw_ucb,1,50,512,10,1.0,9.769216452537146,633.9452773772462
65,sw_ucb,1,50,512,10,1.0,7.897008935134158,986.1188248650838
66,sw_ucb,1,50,512,10,1.0,15.374585189939047,1000.0166789813975
67,sw_ucb,1,50,512,10,1.0,4.252022155875457,962.6076484325479
68,sw_ucb,1,50,512,10,1.0,7.16575121930225,1249.8278645400326
69,sw_ucb,1,50,512,10,1.0,13.152878988691175,1042.2703495565845
70,sw_ucb,1,50,512,10,1.0,5.076615519717004,782.9260398949409
71,sw_ucb,1,50,512,10,1.0,0.6074400039345491,888.4245145969697
72,sw_ucb,1,50,512,10,1.0,19.18078994503921,915.6180254565851
73,sw_ucb,1,50,512,10,1.0,17.48522926040537,1102.4503836980907
74,sw_ucb,1,50,512,10,1.0,11.727748944267423,839.5939145229829
75,sw_ucb,1,50,512,10,1.0,15.49089837210769,1203.0519845350068
76,sw_ucb,1,50,512,10,1.0,5.129867400490512,1079.2897317739698
77,sw_ucb,1,50,512,10,1.0,13.817659444689202,849.78997977275
78,sw_ucb,1,50,512,10,1.0,16.430495021753362,912.3152257814584
79,sw_ucb,1,50,512,10,1.0,15.386960459426497,917.7334462732948
80,sw_ucb,1,50,512,10,1.0,8.081090485307563,988.4660675150486
81,sw_ucb,1,50,512,10,1.0,18.558708738687017,1281.2176586053197
82,sw_ucb,1,50,512,10,1.0,14.782530011962375,670.0419842231418
83,sw_ucb,1,50,512,10,1.0,12.785283892747959,987.7652374976373
84,sw_ucb,1,50,512,10,1.0,9.922416394248947,1030.8368625475384
85,sw_ucb,1,50,512,10,1.0,8.072645963769052,1235.9001638051789
86,sw_ucb,1,50,512,10,1.0,14.450565001526279,890.1051839757918
87,sw_ucb,1,50,512,10,1.0,6.510859383536283,1121.017107879297
88,sw_ucb,1,50,512,10,1.0,9.304633819472537,1322.741371347368
89,sw_ucb,1,50,512,10,1.0,12.215659599931008,946.5787340041759
90,sw_ucb,1,50,512,10,1.0,13.294507153033294,1183.3830808336418
91,sw_ucb,1,50,512,10,1.0,14.129337453856438,1002.6743447767371
92,sw_ucb,1,50,512,10,1.0,11.549379123133598,1002.3485085343601
93,sw_ucb,1,50,512,10,1.0,17.4724573734039,967.2049261290848
94,sw_ucb,1,50,512,10,1.0,4.71672086821019,1236.8658273603853
95,sw_ucb,1,50,512,10,1.0,16.912295864611952,943.8488494712227
96,sw_ucb,1,50,512,10,1.0,9.371100281984459,1188.9097952258646
97,sw_ucb,1,50,512,10,1.0,-3.5720760285604776,775.4911909945981
98,sw_ucb,1,50,512,10,1.0,16.843014393852453,1287.6746047549868
99,sw_ucb,1,50,512,10,1.0,6.771433027529326,757.8752174572936
100,sw_ucb,1,50,512,10,1.0,8.566951751554784,663.3369380466629
101,sw_ucb,1,50,512,10,1.0,18.679175144506328,970.5823909446774
102,sw_ucb,1,50,512,10,1.0,12.00749877918582,1137.916156076801
103,sw_ucb,1,50,512,10,1.0,17.18599961003322,766.5599109549648
104,sw_ucb,1,50,512,10,1.0,11.371886347383015,1082.3861334509747
105,sw_ucb,1,50,512,10,1.0,13.464845100214793,1022.9122939667557
106,sw_ucb,1,50,512,10,1.0,12.879163535959822,824.5611802254718
107,sw_ucb,1,50,512,10,1.0,1.9076837902384085,1066.63328744707
108,sw_ucb,1,50,512,10,1.0,4.634631837961399,1147.622251815526
109,sw_ucb,1,50,512,10,1.0,-1.8565373059031884,1024.7656274342908
110,sw_ucb,1,50,512,10,1.0,5.297800334843799,692.7578857434239
111,sw_ucb,1,50,512,10,1.0,7.108007651589218,1219.601509599591
112,sw_ucb,1,50,512,10,1.0,14.907680942934766,814.6045827003343
113,sw_ucb,1,50,512,10,1.0,17.76359552477865,756.3180213580067
114,sw_ucb,1,50,512,10,1.0,8.813819644878633,810.0865918206341
115,sw_ucb,1,50,512,10,1.0,12.159674296548257,1073.1825812504212
116,sw_ucb,1,50,512,10,1.0,16.793034449067704,913.6705887538944
117,sw_ucb,1,50,512,10,1.0,16.396380985328427,824.7053355827459
118,sw_ucb,1,50,512,10,1.0,11.775540023709333,958.4096224552608
119,sw_ucb,1,50,512,10,1.0,8.386783585458474,1053.7969531552062
120,sw_ucb,1,50,512,10,1.0,8.13719014738682,1247.076518023633
121,sw_ucb,1,50,512,10,1.0,0.7404945121083433,861.6455796861562
122,sw_ucb,1,50,512,10,1.0,11.123242543324547,752.780489608672
123,sw_ucb,1,50,512,10,1.0,15.860136954546578,1177.959280825446
124,sw_ucb,1,50,512,10,1.0,10.579815668988108,727.923188144893
125,sw_ucb,1,50,512,10,1.0,12.540233139108716,1230.8670194547167
126,sw_ucb,1,50,512,10,1.0,10.30177295254188,815.3632801072094
127,sw_ucb,1,50,512,10,1.0,20.504448424475864,712.0585355434011
128,sw_ucb,1,50,512,10,1.0,8.748234319432319,1339.215618971396
129,sw_ucb,1,50,512,10,1.0,9.958907813212091,1035.8346630991593
130,sw_ucb,1,50,512,10,1.0,15.516440701764175,1128.9419614639874
131,sw_ucb,1,50,512,10,1.0,9.03979102558895,994.5215605100452
132,sw_ucb,1,50,512,10,1.0,11.467475370629431,1001.8937718410311
133,sw_ucb,1,50,512,10,1.0,5.495350116427585,1138.126979994982
134,sw_ucb,1,50,512,10,1.0,17.51520258273856,1283.5399032113512
135,sw_ucb,1,50,512,10,1.0,0.33771154985884166,962.443389056831
136,sw_ucb,1,50,512,10,1.0,8.68384216955124,676.2647845210527
137,sw_ucb,1,50,512,10,1.0,5.850692792491854,1089.8095214005355
138,sw_ucb,1,50,512,10,1.0,9.343673094277296,1223.6127079235764
139,sw_ucb,1,50,512,10,1.0,6.053725996104773,1219.5259449272003
140,sw_ucb,1,50,512,10,1.0,13.273797379138953,820.6631460843671
141,sw_ucb,1,50,512,10,1.0,9.008323649205222,852.3597624579563
142,sw_ucb,1,50,512,10,1.0,13.796816141682292,1116.071517647458
143,sw_ucb,1,50,512,10,1.0,10.037788742234723,822.6174600881685
144,sw_ucb,1,50,512,10,1.0,10.132381083967136,1330.7745758974893
145,sw_ucb,1,50,512,10,1.0,12.175629801288093,894.7602576322529
146,sw_ucb,1,50,512,10,1.0,16.058013901823518,849.6114931220154
147,sw_ucb,1,50,512,10,1.0,18.74845897131494,976.9158539220701
148,sw_ucb,1,50,512,10,1.0,17.652888462803766,1055.1475781554593
149,sw_ucb,1,50,512,10,1.0,15.457680907768516,1183.3096927342617
150,sw_ucb,1,50,512,10,1.0,14.614759941711279,921.3592166874116
151,sw_ucb,1,50,512,10,1.0,3.35719875498918,619.6041967846401
152,sw_ucb,1,50,512,10,1.0,1.0943468519399797,1051.8352734950029
