t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.016275527032327822,0.08,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,4.0,0.16365400448307643,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8137763516163912,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.85758335547068,0.25,0.25,0.8137763516163912,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.612000004271977
2,0.016329976684729762,0.08,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,4.0,0.16420150771541964,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8164988342364882,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8575849353715643,0.25,0.25,0.8164988342364882,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.205400007776916
3,0.024496931008998336,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.24632202995363361,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.2248465504499169,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.154102437032924,0.25,0.25,1.2248465504499169,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.319600011920556
4,0.02173354402183866,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2185355659278095,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.086677201091933,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1539900061116457,0.25,0.25,1.086677201091933,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.2347999919438735
5,0.026080545332162967,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2622456203251081,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.3040272666081483,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.153926215707917,0.25,0.25,1.3040272666081483,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.114999996498227
6,0.01530923929238532,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.1539377687009486,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.765461964619266,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1537883565839864,0.25,0.25,0.765461964619266,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.256099994061515
7,0.029097156428654482,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.29257830847267663,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,1.4548578214327241,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.153774886211721,0.25000000000000006,0.25000000000000006,1.4548578214327241,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.140199999208562
8,0.023511495917101076,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.23641326333570434,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.1755747958550538,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1537035418515766,0.25,0.25,1.1755747958550538,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.282999995164573
9,0.019007721661183835,0.08,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,4.0,0.19112682248468724,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.9503860830591918,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8572181039845646,0.25,0.25,0.9503860830591918,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.34040000254754
10,0.020975024798228076,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.21090848828081846,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,1.0487512399114038,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.15373522806323,0.25000000000000006,0.25000000000000006,1.0487512399114038,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.139300006907433
