t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.017503928009811487,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.17600584652645965,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.8751964004905743,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152341959590664,0.25,0.25,0.8751964004905743,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.562800001120195
2,0.0186893623503813,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1879256495841833,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.9344681175190651,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152348965000286,0.25,0.25,0.9344681175190651,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559276,1,0,1,1,1,1,6.173000001581386
3,0.018073626929130476,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.1817342944784704,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.9036813464565239,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8559393455682947,0.25,0.25,0.9036813464565239,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,17.149731365559276,0.0,1,0,1,1,1,1,4.186699996353127
4,0.010518577063278897,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.10576660617196759,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.5259288531639449,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152508371188339,0.25,0.25,0.5259288531639449,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.229699996765703
5,0.02018082657154141,0.5,1988.1195096929541,2400.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2029226504094877,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,1.0090413285770705,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1525119216140305,0.25000000000000006,0.25000000000000006,1.0090413285770705,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559276,1,0,1,1,1,1,6.030100004863925
6,0.018176835292444345,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.18277207727462252,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.9088417646222173,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525022126959916,0.25,0.25,0.9088417646222173,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,17.149731365559276,25.724597048338914,1,0,1,1,1,1,6.038899999111891
7,0.011998110115768623,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1206436364717589,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.5999055057884312,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152465715732008,0.25,0.25,0.5999055057884312,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,25.724597048338914,34.29946273111856,1,0,1,1,1,1,6.04790000943467
8,0.012966007582543968,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.13037605841128702,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.6483003791271984,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152435314894284,0.25,0.25,0.6483003791271984,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,34.29946273111856,42.87432841389819,1,0,1,1,1,1,6.135399991762824
9,0.01510699974635577,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.15190420557842513,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.7553499873177885,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524158196638474,0.25,0.25,0.7553499873177885,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,42.87432841389819,51.44919409667782,1,0,1,1,1,1,6.525399992824532
10,0.014076704593924655,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.1415443611838355,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.7038352296962327,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152393550309234,0.25,0.25,0.7038352296962327,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,51.44919409667782,60.02405977945745,1,0,1,1,1,1,6.102400002419017
