t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,lyapunov_greedy_oracle,1,800,256,50,1.0,14.827592619773178,790.7578629156322
2,lyapunov_greedy_oracle,1,800,256,50,1.0,5.231789499647221,1054.1828668249213
3,lyapunov_greedy_oracle,1,800,256,50,1.0,2.5464154387703797,1022.3209355620711
4,lyapunov_greedy_oracle,1,800,256,50,1.0,6.9740597257900365,891.529980997338
5,lyapunov_greedy_oracle,1,800,256,50,1.0,15.483414479732408,906.6357677852899
6,lyapunov_greedy_oracle,1,800,256,50,1.0,10.609018192722068,798.1980718587916
7,lyapunov_greedy_oracle,1,800,256,50,1.0,7.112423895590412,928.280242124129
8,lyapunov_greedy_oracle,1,800,256,50,1.0,17.944194209124237,715.6017537322824
9,lyapunov_greedy_oracle,1,800,256,50,1.0,9.799880401923671,1140.2571723343422
10,lyapunov_greedy_oracle,1,800,256,50,1.0,8.494909689053564,961.4042127717804
11,lyapunov_greedy_oracle,1,800,256,50,1.0,2.8318419435618196,1118.7604804166972
12,lyapunov_greedy_oracle,1,800,256,50,1.0,17.138064989728235,1160.0424457723618
13,lyapunov_greedy_oracle,1,800,256,50,1.0,10.725906745175285,1502.0268226258765
14,lyapunov_greedy_oracle,1,800,256,50,1.0,10.47076368552175,1240.5439794534311
15,lyapunov_greedy_oracle,1,800,256,50,1.0,13.141048511819948,973.1798240653688
16,lyapunov_greedy_oracle,1,800,256,50,1.0,9.385396922379407,1166.8120327484773
17,lyapunov_greedy_oracle,1,800,256,50,1.0,12.129439036018578,818.7422913749741
18,lyapunov_greedy_oracle,1,800,256,50,1.0,12.744244874098696,892.402132216191
19,lyapunov_greedy_oracle,1,800,256,50,1.0,11.025896202761823,822.1160912860123
20,lyapunov_greedy_oracle,1,800,256,50,1.0,16.3823812788944,1022.488950337456
21,lyapunov_greedy_oracle,1,800,256,50,1.0,10.849436964069874,688.9411215316851
22,lyapunov_greedy_oracle,1,800,256,50,1.0,20.66101433516818,909.9925350388176
