t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,2,100,64,25,1.0,7.204476929242074,1176.6176650591049
2,safe_linucb,2,100,64,25,1.0,16.076768367127535,1087.2633879636132
3,safe_linucb,2,100,64,25,1.0,5.028010383044407,861.4155125534633
4,safe_linucb,2,100,64,25,1.0,16.69127662711241,987.6149353671991
5,safe_linucb,2,100,64,25,1.0,14.130878193466181,1221.2376669756027
6,safe_linucb,2,100,64,25,1.0,9.721814221137558,1140.851044381525
7,safe_linucb,2,100,64,25,1.0,10.271442028079417,702.8588628439984
8,safe_linucb,2,100,64,25,1.0,4.1055152492453315,858.3822016100074
9,safe_linucb,2,100,64,25,1.0,5.567391700273873,1188.9237207762542
10,safe_linucb,2,100,64,25,1.0,4.286514142525765,969.6531469949059
11,safe_linucb,2,100,64,25,1.0,11.889523376565135,951.7818409926017
12,safe_linucb,2,100,64,25,1.0,2.6870627544723433,1297.85535816977
13,safe_linucb,2,100,64,25,1.0,19.6219677576343,1118.751366283139
14,safe_linucb,2,100,64,25,1.0,5.940526083393363,854.9542676900711
15,safe_linucb,2,100,64,25,1.0,8.79948595067704,1093.4187745765792
16,safe_linucb,2,100,64,25,1.0,-5.410803030662468,932.68362982673
17,safe_linucb,2,100,64,25,1.0,12.409331677967419,1216.6277654695798
18,safe_linucb,2,100,64,25,1.0,-5.368156000056754,849.7364998528019
19,safe_linucb,2,100,64,25,1.0,9.996184677328001,760.4269668885653
20,safe_linucb,2,100,64,25,1.0,20.499670400353352,1243.84730101916
21,safe_linucb,2,100,64,25,1.0,9.951712071255967,1128.334853406384
22,safe_linucb,2,100,64,25,1.0,14.592089937638857,1093.308580290246
23,safe_linucb,2,100,64,25,1.0,8.62635250760597,870.0355970262938
24,safe_linucb,2,100,64,25,1.0,6.598361167265399,1051.1000061634231
25,safe_linucb,2,100,64,25,1.0,22.538346058792037,1063.489630624236
26,safe_linucb,2,100,64,25,1.0,6.202089862458902,890.9877024739359
27,safe_linucb,2,100,64,25,1.0,8.990790036579106,949.5625178759076
28,safe_linucb,2,100,64,25,1.0,19.393662838915297,917.1078452112
29,safe_linucb,2,100,64,25,1.0,12.139806208131798,861.9989516103772
30,safe_linucb,2,100,64,25,1.0,6.765112478010916,954.1266227698959
31,safe_linucb,2,100,64,25,1.0,15.667308854749898,1199.6009608086351
32,safe_linucb,2,100,64,25,1.0,17.709343092184707,1202.6495570667753
33,safe_linucb,2,100,64,25,1.0,1.5593495025100292,1098.7411102711148
34,safe_linucb,2,100,64,25,1.0,15.28625782884166,1147.9141599806471
