t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.02138969589100895,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2150780973350856,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,1.0694847945504475,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152663657418827,0.25000000000000006,0.25000000000000006,1.0694847945504475,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.782199998269789
2,0.02424514180332545,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.24379023410381973,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.2122570901662724,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1526878843682833,0.25,0.25,1.2122570901662724,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.23460000497289
3,0.01046072594796007,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.10518490048176579,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.1102230246251565e-16,0.5230362973980035,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152632269143634,0.25000000000000006,0.25000000000000006,0.5230362973980035,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.303199988906272
4,0.012671598082338453,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.12741570612464267,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.6335799041169227,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525875362391576,0.25,0.25,0.6335799041169227,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,7.202299995697103
5,0.018637294420654885,0.08,1988.1195096929553,1200.0,0.08,0.0,0.2499999999999999,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.1874020950972566,0.2,1,0,0,0,0,1988.1195096929553,0.0,0.0,1.1102230246251565e-16,0.9318647210327442,1.0,1988.1195096929553,4.967764082186452,0.00848178077309866,3.1525745726004852,0.2499999999999999,0.2499999999999999,0.9318647210327442,1,0,0,39.42513431722038,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.316500002867542
6,0.012514312212113174,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.12583416210091647,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.6257156106056587,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1525339320448422,0.25,0.25,0.6257156106056587,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.338099992717616
7,0.012661574713232447,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.12731491894341337,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,1.1102230246251565e-16,0.6330787356616223,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1524970324442636,0.25,0.25,0.6330787356616223,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1953999975230545
8,0.017303047505368423,0.08,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,4.0,0.17398594886604044,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,1.1102230246251565e-16,0.865152375268421,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.856050434041284,0.25,0.25,0.865152375268421,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.189500003121793
9,0.018848036223495363,0.08,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,4.0,0.1895211502822791,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,1.1102230246251565e-16,0.9424018111747682,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8562561328891887,0.25,0.25,0.9424018111747682,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.524200005107559
10,0.02108748495021912,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2120392998472613,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,1.6653345369377348e-16,1.0543742475109559,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152851055218734,0.25000000000000006,0.25000000000000006,1.0543742475109559,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.12800000817515
11,0.02887147844187115,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2903090666725548,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,2.220446049250313e-16,1.4435739220935575,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.152909815765746,0.25000000000000006,0.25000000000000006,1.4435739220935575,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.222199997864664
12,0.014908856629865193,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.1499118329560191,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,2.220446049250313e-16,0.7454428314932596,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1528514891747936,0.25,0.25,0.7454428314932596,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.206200007000007
13,0.018794756021687845,0.08,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,4.0,0.18898540613291007,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,2.220446049250313e-16,0.9397378010843922,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8564265940704794,0.25,0.25,0.9397378010843922,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.147300001932308
14,0.02581923923687796,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.25961813005678763,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,2.7755575615628914e-16,1.2909619618438979,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1530497916964904,0.25000000000000006,0.25000000000000006,1.2909619618438979,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.211300002178177
15,0.013586451960466277,0.08,1988.1195096929541,1200.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.13661476311217402,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,3.3306690738754696e-16,0.6793225980233139,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1529749106196316,0.25000000000000006,0.25000000000000006,0.6793225980233139,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.217200003447942
16,0.01854129911348779,0.08,3976.2390193859087,1200.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,4.0,0.18643684116733636,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,3.3306690738754696e-16,0.9270649556743894,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8565312258894107,0.25,0.25,0.9270649556743894,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.1594000067561865
17,0.020005372218531454,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.20115841829478978,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,3.3306690738754696e-16,1.0002686109265726,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1530963404637236,0.25,0.25,1.0002686109265726,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.214799999725074
18,0.011060905400320604,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.11121983689839703,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,3.3306690738754696e-16,0.5530452700160302,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1530096031258914,0.25,0.25,0.5530452700160302,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1458000127458945
19,0.011588561728077134,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.11652553734402125,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,3.3306690738754696e-16,0.5794280864038567,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.15293128736078,0.25,0.25,0.5794280864038567,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.273400009376928
20,0.02537552048430209,0.08,1988.1195096929544,1200.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,4.0,0.2551564403935872,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,3.3306690738754696e-16,1.2687760242151045,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152945007058663,0.25,0.25,1.2687760242151045,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.132399998023175
