t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.027765258125026226,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.27918577804831435,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,2.7755575615628914e-17,1.3882629062513112,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.3015475296281567,0.15000000000000002,0.15000000000000002,1.3882629062513112,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.804999997257255
2,0.027370369911908207,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.2752150902007524,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,8.326672684688674e-17,1.3685184955954104,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301546132772305,0.15000000000000005,0.15000000000000005,1.3685184955954104,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.222500000149012
3,0.021533957447009693,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.21652867901428938,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,1.3877787807814457e-16,1.0766978723504845,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.04094442856152,0.15000000000000005,0.15000000000000005,1.0766978723504845,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.237199987983331
4,0.019352382357718897,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.19459246160432084,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,1.6653345369377348e-16,0.9676191178859449,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.301597070955903,0.15000000000000002,0.15000000000000002,0.9676191178859449,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.274300001678057
5,0.023510695935532486,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.23640521934505804,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,2.220446049250313e-16,1.1755347967766243,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.0410211296034415,0.15000000000000005,0.15000000000000005,1.1755347967766243,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.131099994992837
6,0.024530327893301104,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.24665784297170365,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,2.7755575615628914e-16,1.2265163946650552,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3016804257395402,0.15000000000000005,0.15000000000000005,1.2265163946650552,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.168699997942895
7,0.016328269170749803,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.16418433828674453,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,3.0531133177191805e-16,0.81641345853749,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.3016411032697315,0.15000000000000002,0.15000000000000002,0.81641345853749,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.172499997774139
8,0.015947604855076847,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.16035667485686303,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,3.608224830031759e-16,0.7973802427538423,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3016043515399014,0.15000000000000005,0.15000000000000005,0.7973802427538423,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.118599994806573
9,0.030146896842325792,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.30313367924646467,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,4.163336342344337e-16,1.5073448421162896,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301608909172296,0.15000000000000005,0.15000000000000005,1.5073448421162896,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.239299997105263
10,0.016046407924153305,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.16135016145041314,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,4.440892098500626e-16,0.8023203962076653,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.3015748801483613,0.15000000000000002,0.15000000000000002,0.8023203962076653,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.124399995314889
