t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,arm_id,lcb_min,reward_shaped,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.012,0.5,11999.896571893596,1200.0,0.08,0.0,2.1296786399839554e-09,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.03290305159027383,0.2,1,0,0,0,0,11999.896571893596,0.0,0.0,0.0,0.6,5.0,11999.896571893596,17.562511843063543,2.2955399138530395e-09,4.5,2.1296786399839554e-09,2.1296786399839554e-09,0.6,1,0,0,239.9979308869471,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.48239999159704894
2,0.012,0.5,11999.751275304337,1200.0,0.08,0.0,1.835475042760496e-07,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.042356632916453044,0.2,1,0,0,0,0,11999.751275304337,0.0,0.0,0.0,0.6,5.0,11999.751275304337,16.465659335710995,8.560778009490589e-09,4.5,1.835475042760496e-07,1.835475042760496e-07,0.6,1,0,0,239.99502345154264,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.34309999318793416
3,0.012,0.5,11999.252564552266,1200.0,0.08,0.0,1.236869075745756e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.058138562125648656,0.2,1,0,0,0,0,11999.252564552266,0.0,0.0,0.0,0.6,5.0,11999.252564552266,15.09023076063044,4.459872758083697e-08,4.5,1.236869075745756e-05,1.236869075745756e-05,0.6,1,0,0,239.98504058801737,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.28700000257231295
4,0.012,0.5,11999.281340285333,1200.0,0.08,0.0,1.0878026458566061e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.05748525869692248,0.2,1,0,0,0,0,11999.281340285333,0.0,0.0,0.0,0.6,5.0,11999.281340285333,15.13930872596527,4.204799791139958e-08,4.5,1.0878026458566061e-05,1.0878026458566061e-05,0.6,1,0,0,239.98561671479155,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.26709999656304717
5,0.012,0.5,11999.945254603444,1200.0,0.08,0.0,3.8527819865071924e-11,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02739761372979869,0.2,1,0,0,0,0,11999.945254603444,0.0,0.0,0.0,0.6,5.0,11999.945254603444,18.35774624322866,8.839867489240844e-10,4.5,3.8527819865071924e-11,3.8527819865071924e-11,0.6,1,0,0,239.99890487991303,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.27549998776521534
6,0.012,0.5,11999.92160202772,1200.0,0.08,0.0,4.0590141411365334e-10,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.030380931268525226,0.2,1,0,0,0,0,11999.92160202772,0.0,0.0,0.0,0.6,5.0,11999.92160202772,17.90886280537294,1.5148961949578695e-09,4.5,4.0590141411365334e-10,4.0590141411365334e-10,0.6,1,0,0,239.99843167698168,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2548999909777194
7,0.012,0.5,11999.965819890856,1200.0,0.08,0.0,1.1847520474556198e-12,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.02392386524605121,0.2,1,0,0,0,0,11999.965819890856,0.0,0.0,0.0,0.6,5.0,11999.965819890856,18.946560151902787,4.36097299594576e-10,4.5,1.1847520474556198e-12,1.1847520474556198e-12,0.6,1,0,0,239.9993162931541,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2502999996067956
8,0.012,0.5,11999.594767937902,1200.0,0.08,0.0,1.401768267987999e-06,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.04874580152314979,0.2,1,0,0,0,0,11999.594767937902,0.0,0.0,0.0,0.6,5.0,11999.594767937902,15.855501468701224,1.7803240764579294e-08,4.5,1.401768267987999e-06,1.401768267987999e-06,0.6,1,0,0,239.99189108612455,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.3378000110387802
9,0.012,0.5,11999.043259306845,1200.0,0.08,0.0,2.685176454582968e-05,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.062420468457684605,0.2,1,0,0,0,0,11999.043259306845,0.0,0.0,0.0,0.6,5.0,11999.043259306845,14.781603390566929,6.458990654363723e-08,4.5,2.685176454582968e-05,2.685176454582968e-05,0.6,1,0,0,239.98084968579525,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2582999877631664
10,0.012,0.5,11999.650151984533,1200.0,0.08,0.0,7.830128323890335e-07,0.25,25000.0,5.0,1200.0,1,1,1,25.0,0.04672684993299505,0.2,1,0,0,0,0,11999.650151984533,0.0,0.0,0.0,0.6,5.0,11999.650151984533,16.03920858455308,1.4281028393243018e-08,4.5,7.830128323890335e-07,7.830128323890335e-07,0.6,1,0,0,239.99299961234377,3.1388922533374566,1,0,0.0,0,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,0.2499999973224476
