t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,raucb_plus,2,800,64,25,1.0,13.598744919306606,764.5946102784359
2,raucb_plus,2,800,64,25,1.0,13.01140846525491,1011.3869611789693
3,raucb_plus,2,800,64,25,1.0,16.108723187697866,916.8361634617002
4,raucb_plus,2,800,64,25,1.0,6.270113954539778,970.8673746818221
5,raucb_plus,2,800,64,25,1.0,16.252941095664283,1243.5647107545262
6,raucb_plus,2,800,64,25,1.0,9.253276414076625,781.6459243067634
7,raucb_plus,2,800,64,25,1.0,17.833826003568554,938.1057128935834
8,raucb_plus,2,800,64,25,1.0,4.996727224475755,1104.2753670295997
9,raucb_plus,2,800,64,25,1.0,4.463622126316901,1172.6906877663112
10,raucb_plus,2,800,64,25,1.0,10.078493039520895,756.9541347220677
11,raucb_plus,2,800,64,25,1.0,10.786503542231499,986.7879877054246
12,raucb_plus,2,800,64,25,1.0,2.581494757816465,1007.7530180554078
13,raucb_plus,2,800,64,25,1.0,6.61932696581265,1216.558190245722
14,raucb_plus,2,800,64,25,1.0,14.186743902975751,1072.303153659701
15,raucb_plus,2,800,64,25,1.0,3.723051056954291,948.315788695669
16,raucb_plus,2,800,64,25,1.0,17.244281422811447,1029.522495640491
17,raucb_plus,2,800,64,25,1.0,-0.7059792424827993,1170.4095629436194
18,raucb_plus,2,800,64,25,1.0,4.978340207870429,749.8083104574623
19,raucb_plus,2,800,64,25,1.0,9.16227739094156,1206.3262338249751
20,raucb_plus,2,800,64,25,1.0,11.505685972847497,1100.4038824465717
21,raucb_plus,2,800,64,25,1.0,10.206785622515644,1076.073791143593
22,raucb_plus,2,800,64,25,1.0,9.587799547383717,924.5927555729794
23,raucb_plus,2,800,64,25,1.0,6.348409031077835,971.9577477284599
24,raucb_plus,2,800,64,25,1.0,14.793403849833894,1159.2117322231284
25,raucb_plus,2,800,64,25,1.0,15.002633036110335,874.4585612141276
26,raucb_plus,2,800,64,25,1.0,8.466501227601025,1154.2093392391985
27,raucb_plus,2,800,64,25,1.0,12.054753194536124,711.1276666883841
28,raucb_plus,2,800,64,25,1.0,9.299367251214857,1245.8484905216976
29,raucb_plus,2,800,64,25,1.0,5.949943108390164,813.9687064676823
30,raucb_plus,2,800,64,25,1.0,9.90630739368212,769.9719437132057
31,raucb_plus,2,800,64,25,1.0,17.89521372798623,1089.7216906679264
32,raucb_plus,2,800,64,25,1.0,20.16841407452106,884.5414738045786
