t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,1,400,128,10,1.0,12.326411038735415,1166.9522364102168
2,safe_linucb,1,400,128,10,1.0,10.406156337873648,839.660727591399
3,safe_linucb,1,400,128,10,1.0,10.360484889104258,1230.6197446340823
4,safe_linucb,1,400,128,10,1.0,11.72476487171637,1147.467633064973
5,safe_linucb,1,400,128,10,1.0,5.076163936883505,888.9828115713133
6,safe_linucb,1,400,128,10,1.0,14.248459659522156,668.7124701662456
7,safe_linucb,1,400,128,10,1.0,3.3303148568412366,1226.4435864714599
8,safe_linucb,1,400,128,10,1.0,-5.043758767801872,1233.7989449751124
9,safe_linucb,1,400,128,10,1.0,13.51509010063293,948.3409895886659
10,safe_linucb,1,400,128,10,1.0,9.071613635800203,1084.603713618773
11,safe_linucb,1,400,128,10,1.0,-0.35384286584773506,1324.5412299897234
12,safe_linucb,1,400,128,10,1.0,12.216196627772728,658.8308755504861
13,safe_linucb,1,400,128,10,1.0,14.863873278441607,1542.0075230929315
14,safe_linucb,1,400,128,10,1.0,6.935008614479447,1231.8411649085922
15,safe_linucb,1,400,128,10,1.0,12.51342484098358,1186.5887076632284
16,safe_linucb,1,400,128,10,1.0,14.80049639670452,877.8420931492464
17,safe_linucb,1,400,128,10,1.0,8.134937819107545,973.1015087094396
18,safe_linucb,1,400,128,10,1.0,12.166442936023778,1429.657404967546
19,safe_linucb,1,400,128,10,1.0,8.099872042698536,1040.44884558337
20,safe_linucb,1,400,128,10,1.0,3.4442954762271825,1170.5558579566664
21,safe_linucb,1,400,128,10,1.0,15.951197667396855,718.7512849079749
22,safe_linucb,1,400,128,10,1.0,10.22735896182908,970.619016258021
23,safe_linucb,1,400,128,10,1.0,1.3214687224151334,858.0018680849277
24,safe_linucb,1,400,128,10,1.0,10.207813561950356,1273.79971980279
25,safe_linucb,1,400,128,10,1.0,1.563670547503781,1108.5327624255258
26,safe_linucb,1,400,128,10,1.0,9.226923087363504,833.4939789990062
27,safe_linucb,1,400,128,10,1.0,11.395345526627736,1086.1714745573238
