t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,sw_ucb,1,100,256,10,1.0,10.55324387399447,1149.4953484405669
2,sw_ucb,1,100,256,10,1.0,8.67183269689376,1191.825375026697
3,sw_ucb,1,100,256,10,1.0,16.038187123746507,977.3119147408755
4,sw_ucb,1,100,256,10,1.0,12.397648467859852,1133.26917430006
5,sw_ucb,1,100,256,10,1.0,11.506356542341772,957.2875342456723
6,sw_ucb,1,100,256,10,1.0,13.777875992056844,845.806147527215
7,sw_ucb,1,100,256,10,1.0,9.099840572434669,944.869512167237
8,sw_ucb,1,100,256,10,1.0,8.819726265192594,1048.9375845899756
9,sw_ucb,1,100,256,10,1.0,15.424095116848244,813.2812232426347
10,sw_ucb,1,100,256,10,1.0,13.966516812440627,895.9161264112067
11,sw_ucb,1,100,256,10,1.0,11.707256365717209,1056.9308989786095
12,sw_ucb,1,100,256,10,1.0,14.402780484052963,904.1308228380994
13,sw_ucb,1,100,256,10,1.0,6.6665462311233235,890.4675049351956
14,sw_ucb,1,100,256,10,1.0,8.348284842219105,907.6891976087414
15,sw_ucb,1,100,256,10,1.0,-0.10383361296143256,715.7098029299401
16,sw_ucb,1,100,256,10,1.0,12.198342559525777,975.985419028966
17,sw_ucb,1,100,256,10,1.0,14.457646054565195,908.6661676193607
18,sw_ucb,1,100,256,10,1.0,6.686471925757598,920.6150822532201
19,sw_ucb,1,100,256,10,1.0,7.0389474160032055,898.3678885555719
20,sw_ucb,1,100,256,10,1.0,4.337663604904063,595.8488123301497
21,sw_ucb,1,100,256,10,1.0,9.653792886473433,1057.6481788871795
22,sw_ucb,1,100,256,10,1.0,14.065977945094467,1554.4262754095175
23,sw_ucb,1,100,256,10,1.0,10.054598657293528,1063.8123136977626
24,sw_ucb,1,100,256,10,1.0,11.362720115549099,1179.4607722178314
25,sw_ucb,1,100,256,10,1.0,16.32525296491059,869.2611794800171
26,sw_ucb,1,100,256,10,1.0,10.096915704536103,1074.9290424415942
27,sw_ucb,1,100,256,10,1.0,10.146765821986111,662.4522067312597
28,sw_ucb,1,100,256,10,1.0,13.641276321605854,797.7174657156821
29,sw_ucb,1,100,256,10,1.0,9.426712627922335,1122.0805722481718
30,sw_ucb,1,100,256,10,1.0,8.135887958816104,1038.7495288084815
31,sw_ucb,1,100,256,10,1.0,4.061614445577424,1170.2895220116434
32,sw_ucb,1,100,256,10,1.0,16.016498622518753,939.6586165393284
33,sw_ucb,1,100,256,10,1.0,6.529497525130111,1036.1904163004306
34,sw_ucb,1,100,256,10,1.0,12.149380591710491,625.4676408419831
35,sw_ucb,1,100,256,10,1.0,7.216238135364207,1008.5552373641059
36,sw_ucb,1,100,256,10,1.0,21.16249262287455,1081.5625442947746
37,sw_ucb,1,100,256,10,1.0,10.861814571760856,1070.4438686816839
38,sw_ucb,1,100,256,10,1.0,9.281719792079338,1496.4563626538002
39,sw_ucb,1,100,256,10,1.0,11.673164724426451,856.1923261717174
40,sw_ucb,1,100,256,10,1.0,3.3367122078461255,1290.0155376191683
41,sw_ucb,1,100,256,10,1.0,12.752058066835694,601.8639338015084
