P,B,snr_db,per
20.0,5.0,0.0,0.1353352832366127
20.0,5.0,0.2,0.12316170698775779
20.0,5.0,0.4,0.11158636741385636
20.0,5.0,0.6000000000000001,0.10062975970018703
20.0,5.0,0.8,0.09030803248122733
20.0,5.0,1.0,0.08063271459146418
20.0,5.0,1.2000000000000002,0.07161050648861361
20.0,5.0,1.4000000000000001,0.06324314547361873
20.0,5.0,1.6,0.05552735251692115
20.0,5.0,1.8,0.04845486674521224
20.0,5.0,2.0,0.04201257146368818
20.0,5.0,2.2,0.036182713027896135
20.0,5.0,2.4000000000000004,0.030943211006522486
20.0,5.0,2.6,0.026268054990367266
20.0,5.0,2.8000000000000003,0.0221277802287437
20.0,5.0,3.0,0.01849001116140579
20.0,5.0,3.2,0.015320059027485618
20.0,5.0,3.4000000000000004,0.012581557246394922
20.0,5.0,3.6,0.010237116349376376
20.0,5.0,3.8000000000000003,0.008248979048099177
20.0,5.0,4.0,0.006579655681726494
20.0,5.0,4.2,0.0051925208657046095
20.0,5.0,4.4,0.004052353697981472
20.0,5.0,4.6000000000000005,0.0031258063213210068
20.0,5.0,4.800000000000001,0.0023817888861335174
20.0,5.0,5.0,0.0017917628339095208
20.0,5.0,5.2,0.0013299386978513543
20.0,5.0,5.4,0.0009733790249299982
20.0,5.0,5.6000000000000005,0.0007020112731830919
20.0,5.0,5.800000000000001,0.0004985593460446209
20.0,5.0,6.0,0.00034840554027157843
20.0,5.0,6.2,0.0002393969106667596
20.0,5.0,6.4,0.00016161127475245013
20.0,5.0,6.6000000000000005,0.00010709826373169379
20.0,5.0,6.800000000000001,6.961003315740401e-05
20.0,5.0,7.0,4.4334621052057864e-05
20.0,5.0,7.2,2.76426909974646e-05
20.0,5.0,7.4,1.6855770832605432e-05
20.0,5.0,7.6000000000000005,1.004135244853713e-05
20.0,5.0,7.800000000000001,5.837594646969041e-06
20.0,5.0,8.0,3.3080658007405878e-06
20.0,5.0,8.200000000000001,1.8251124431334812e-06
20.0,5.0,8.4,9.791123721890826e-07
20.0,5.0,8.6,5.100693186718349e-07
20.0,5.0,8.8,2.5767892582187494e-07
20.0,5.0,9.0,1.2605283474849951e-07
20.0,5.0,9.200000000000001,5.961995985447279e-08
20.0,5.0,9.4,2.7221144369227037e-08
20.0,5.0,9.600000000000001,1.1977729491734144e-08
20.0,5.0,9.8,5.070371639117204e-09
20.0,5.0,10.0,2.061153622438558e-09
20.0,5.0,10.200000000000001,8.030766427512977e-10
20.0,5.0,10.4,2.993032259344969e-10
