t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.022125786039150747,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.22247964569445175,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,2.7755575615628914e-17,1.1062893019575373,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.3013341756752808,0.15000000000000002,0.15000000000000002,1.1062893019575373,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.662200001301244
2,0.02029396111545624,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.20406024313507212,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,8.326672684688674e-17,1.014698055772812,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301329895977658,0.15000000000000005,0.15000000000000005,1.014698055772812,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.215600005816668
3,0.021229320706055054,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.21346548957219794,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,1.1102230246251565e-16,1.0614660353027527,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.040741238410421,0.15000000000000002,0.15000000000000002,1.0614660353027527,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.161999997450039
4,0.025217728640505012,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.25356980869429613,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,1.3877787807814457e-16,1.2608864320252506,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.04089043317129,0.15000000000000002,0.15000000000000002,1.2608864320252506,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.324400011682883
5,0.02755205775187614,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.2770420013980102,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,1.942890293094024e-16,1.377602887593807,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3015699601632162,0.15000000000000005,0.15000000000000005,1.377602887593807,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.105399996158667
6,0.021980671893739274,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.22102049104117658,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,2.498001805406602e-16,1.0990335946869636,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301550736800965,0.15000000000000005,0.15000000000000005,1.0990335946869636,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.22339999245014
7,0.021879845260406438,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.2200066570638995,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,2.7755575615628914e-16,1.0939922630203218,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.040953603514223,0.15000000000000002,0.15000000000000002,1.0939922630203218,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.207399993902072
8,0.02167535183314189,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.2179504306697656,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,3.3306690738754696e-16,1.0837675916570946,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3016106595936074,0.15000000000000005,0.15000000000000005,1.0837675916570946,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.218599999556318
9,0.028464717477327102,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.2862189956977219,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,3.885780586188048e-16,1.423235873866355,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.041125976733216,0.15000000000000005,0.15000000000000005,1.423235873866355,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.341499996371567
10,0.031197846673468966,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.31370121097897125,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,4.440892098500626e-16,1.5598923336734483,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301800917419063,0.15000000000000005,0.15000000000000005,1.5598923336734483,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.866700001410209
