t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,lyapunov_greedy_oracle,3,800,64,50,1.0,6.73876915522499,819.7566657022203
2,lyapunov_greedy_oracle,3,800,64,50,1.0,6.614610444511712,998.7663462739222
3,lyapunov_greedy_oracle,3,800,64,50,1.0,10.69532115836405,1305.628204945605
4,lyapunov_greedy_oracle,3,800,64,50,1.0,6.237335710307243,882.193938467751
5,lyapunov_greedy_oracle,3,800,64,50,1.0,10.443045225549918,1063.8245861522364
6,lyapunov_greedy_oracle,3,800,64,50,1.0,10.982370100095357,744.5127838150844
7,lyapunov_greedy_oracle,3,800,64,50,1.0,11.724439026182546,1452.6031776785321
8,lyapunov_greedy_oracle,3,800,64,50,1.0,11.40512489424069,1207.215507424249
9,lyapunov_greedy_oracle,3,800,64,50,1.0,16.218519290720078,894.9494959910827
10,lyapunov_greedy_oracle,3,800,64,50,1.0,11.068597616600591,1164.745961853024
11,lyapunov_greedy_oracle,3,800,64,50,1.0,9.026579533805222,1067.4660578467142
12,lyapunov_greedy_oracle,3,800,64,50,1.0,11.596204472321084,1454.5121145283415
13,lyapunov_greedy_oracle,3,800,64,50,1.0,2.0371720573574876,741.5646911340797
14,lyapunov_greedy_oracle,3,800,64,50,1.0,12.508278963397883,1221.25882438785
15,lyapunov_greedy_oracle,3,800,64,50,1.0,6.93515312405367,1131.9226752331165
16,lyapunov_greedy_oracle,3,800,64,50,1.0,15.502439834314275,985.698147190692
17,lyapunov_greedy_oracle,3,800,64,50,1.0,19.358114033498552,1023.7383785713954
18,lyapunov_greedy_oracle,3,800,64,50,1.0,7.752639209292658,1095.7637789712978
19,lyapunov_greedy_oracle,3,800,64,50,1.0,13.951287658012932,1175.6626133581813
20,lyapunov_greedy_oracle,3,800,64,50,1.0,10.546671248750688,1107.0017933797872
21,lyapunov_greedy_oracle,3,800,64,50,1.0,10.622672820753374,1214.6794304124146
22,lyapunov_greedy_oracle,3,800,64,50,1.0,7.6751768450167805,1119.6838802908653
23,lyapunov_greedy_oracle,3,800,64,50,1.0,14.791438182931032,985.8106419559434
24,lyapunov_greedy_oracle,3,800,64,50,1.0,17.87080170839721,1020.2332291605019
25,lyapunov_greedy_oracle,3,800,64,50,1.0,8.133788009152351,998.4971420236313
26,lyapunov_greedy_oracle,3,800,64,50,1.0,9.74255069201707,1025.2751856559437
