t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,2,200,128,10,1.0,12.002014477149038,1062.65567094937
2,safe_linucb,2,200,128,10,1.0,12.483588320695521,1226.5499319856926
3,safe_linucb,2,200,128,10,1.0,10.477508805253013,1287.792863046684
4,safe_linucb,2,200,128,10,1.0,19.928219943995636,1289.2666341950014
5,safe_linucb,2,200,128,10,1.0,6.617271117615313,1024.30434611542
6,safe_linucb,2,200,128,10,1.0,8.887352606832728,901.8176131582637
7,safe_linucb,2,200,128,10,1.0,13.031481615556944,723.8860686092247
8,safe_linucb,2,200,128,10,1.0,11.949105276251188,682.5829701435496
9,safe_linucb,2,200,128,10,1.0,12.707801848921118,1158.6398631148606
10,safe_linucb,2,200,128,10,1.0,3.072531987885312,1190.012033005796
11,safe_linucb,2,200,128,10,1.0,10.445055619256824,1101.1104988775853
12,safe_linucb,2,200,128,10,1.0,16.90970028429966,738.8829209924592
13,safe_linucb,2,200,128,10,1.0,16.285381667364437,1030.1886345569349
14,safe_linucb,2,200,128,10,1.0,2.5904102270921783,724.1689090151503
15,safe_linucb,2,200,128,10,1.0,7.5337513965198575,1162.0755765930194
16,safe_linucb,2,200,128,10,1.0,17.388358303982702,1093.1132948344273
17,safe_linucb,2,200,128,10,1.0,8.749050939224754,911.6191635173715
18,safe_linucb,2,200,128,10,1.0,12.00542102227408,1033.2905288296117
19,safe_linucb,2,200,128,10,1.0,17.019679910315467,993.9026495366837
20,safe_linucb,2,200,128,10,1.0,16.27540245612362,577.1157308926886
21,safe_linucb,2,200,128,10,1.0,6.535421364513291,1106.1620206900388
22,safe_linucb,2,200,128,10,1.0,14.775104103233218,1157.0119783401801
23,safe_linucb,2,200,128,10,1.0,0.8735889221203958,945.2425546605461
24,safe_linucb,2,200,128,10,1.0,6.455306377971091,759.7597882706131
25,safe_linucb,2,200,128,10,1.0,8.029008883283096,1261.377652743019
26,safe_linucb,2,200,128,10,1.0,16.999234845810708,1137.7392483151184
27,safe_linucb,2,200,128,10,1.0,7.921036878069158,1197.491405196572
28,safe_linucb,2,200,128,10,1.0,6.136007960421043,1330.081863581639
29,safe_linucb,2,200,128,10,1.0,8.999993735580459,1278.0140663694428
30,safe_linucb,2,200,128,10,1.0,10.004504483324254,1159.4316838325017
31,safe_linucb,2,200,128,10,1.0,7.2976111013156935,900.3537728228021
32,safe_linucb,2,200,128,10,1.0,11.880440076331508,771.3334472329863
33,safe_linucb,2,200,128,10,1.0,12.994943952247139,986.3849664031288
34,safe_linucb,2,200,128,10,1.0,21.602462549934966,733.1874256451458
35,safe_linucb,2,200,128,10,1.0,11.875682927231733,1065.5942080615696
36,safe_linucb,2,200,128,10,1.0,14.422649513704393,913.9792059934962
37,safe_linucb,2,200,128,10,1.0,6.322546598448117,997.6990150947239
38,safe_linucb,2,200,128,10,1.0,5.343056562467364,941.3689912667207
39,safe_linucb,2,200,128,10,1.0,14.01962027299787,1067.0200388107432
40,safe_linucb,2,200,128,10,1.0,11.723358488724783,883.2479801582573
41,safe_linucb,2,200,128,10,1.0,9.71129797070119,741.8896536970921
42,safe_linucb,2,200,128,10,1.0,20.01959149311981,969.2979664932069
43,safe_linucb,2,200,128,10,1.0,0.46648338214200713,1086.9019464936255
44,safe_linucb,2,200,128,10,1.0,9.807006948564126,863.966661250332
45,safe_linucb,2,200,128,10,1.0,12.858506705998565,1196.007634524372
46,safe_linucb,2,200,128,10,1.0,14.878788292108636,916.5009578417238
47,safe_linucb,2,200,128,10,1.0,11.90022685881104,913.0394492604913
48,safe_linucb,2,200,128,10,1.0,1.3854646840308131,886.1272482861448
49,safe_linucb,2,200,128,10,1.0,20.42196682833577,1154.8025352742443
50,safe_linucb,2,200,128,10,1.0,14.873573797827646,970.7525346962864
51,safe_linucb,2,200,128,10,1.0,3.3848626069273724,815.0997365911937
52,safe_linucb,2,200,128,10,1.0,2.184249183324666,874.8560886395319
53,safe_linucb,2,200,128,10,1.0,9.252904611242773,1318.1393058359731
54,safe_linucb,2,200,128,10,1.0,12.804840235179052,797.8388233020183
55,safe_linucb,2,200,128,10,1.0,21.1262110991276,1273.0219281175505
56,safe_linucb,2,200,128,10,1.0,16.965307539357376,1068.828926583282
57,safe_linucb,2,200,128,10,1.0,8.417633990128923,891.9892027979674
58,safe_linucb,2,200,128,10,1.0,8.018386458221606,953.1737935262261
59,safe_linucb,2,200,128,10,1.0,12.788371893007902,1129.1343540083094
60,safe_linucb,2,200,128,10,1.0,18.108062509757413,1230.7813637004492
