t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,sw_ucb,1,800,512,50,1.0,5.645203073764567,798.5813030731723
2,sw_ucb,1,800,512,50,1.0,8.454308714882185,1044.8334356327166
3,sw_ucb,1,800,512,50,1.0,1.3513966890877143,1238.8664170035313
4,sw_ucb,1,800,512,50,1.0,13.921733721236176,839.7274137799964
5,sw_ucb,1,800,512,50,1.0,5.964791074152062,721.5569553107969
6,sw_ucb,1,800,512,50,1.0,12.950785201666584,1062.7454800421624
7,sw_ucb,1,800,512,50,1.0,10.848630782321695,1208.9159990497458
8,sw_ucb,1,800,512,50,1.0,1.3080203714619927,1229.904164144321
9,sw_ucb,1,800,512,50,1.0,9.084226629783494,1003.7553622533518
10,sw_ucb,1,800,512,50,1.0,8.539163861015123,903.8901672835775
11,sw_ucb,1,800,512,50,1.0,9.063548986519368,1101.3523211613535
12,sw_ucb,1,800,512,50,1.0,2.2435137872640034,1016.8570591552568
13,sw_ucb,1,800,512,50,1.0,17.750555829370562,657.2095401134014
14,sw_ucb,1,800,512,50,1.0,7.050389162761874,1234.914720540836
15,sw_ucb,1,800,512,50,1.0,5.495016454671015,986.146852469762
16,sw_ucb,1,800,512,50,1.0,17.505607568979215,1349.029946499913
17,sw_ucb,1,800,512,50,1.0,17.028964716579736,442.4527886642484
18,sw_ucb,1,800,512,50,1.0,0.5491841695209221,577.4089627524029
19,sw_ucb,1,800,512,50,1.0,11.474732762780235,914.4234049100339
20,sw_ucb,1,800,512,50,1.0,6.900623494378149,922.9908850917169
21,sw_ucb,1,800,512,50,1.0,18.85971977968958,894.9164979433845
22,sw_ucb,1,800,512,50,1.0,11.370378907835565,909.5583798043599
23,sw_ucb,1,800,512,50,1.0,16.312588068595936,1384.7583062415827
24,sw_ucb,1,800,512,50,1.0,2.060626769079926,928.8046311922881
25,sw_ucb,1,800,512,50,1.0,7.998957475739909,1346.448425675254
26,sw_ucb,1,800,512,50,1.0,11.313758183155898,953.0137592766094
27,sw_ucb,1,800,512,50,1.0,17.38530807490775,1019.2036973615545
28,sw_ucb,1,800,512,50,1.0,19.98590596836761,1098.622896060914
29,sw_ucb,1,800,512,50,1.0,4.60873790561892,839.990960972734
30,sw_ucb,1,800,512,50,1.0,8.771338982226066,853.1923636930144
31,sw_ucb,1,800,512,50,1.0,13.820603947552407,1106.5733362509468
32,sw_ucb,1,800,512,50,1.0,12.687301708822535,874.8807066883356
33,sw_ucb,1,800,512,50,1.0,14.981848108109658,810.5291575072549
34,sw_ucb,1,800,512,50,1.0,11.499936031886582,1268.044477158085
