t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.011643197548171384,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11707491253346247,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.5821598774085692,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152032654115076,0.25,0.25,0.5821598774085692,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.672699993941933
2,0.024904299793920188,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2504182126960693,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.2452149896960094,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152113626945808,0.25,0.25,1.2452149896960094,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559276,1,0,1,1,1,1,6.430100009310991
3,0.02273861805360714,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2286418064061762,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.1369309026803571,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1521684917496544,0.25,0.25,1.1369309026803571,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,17.149731365559276,25.724597048338914,1,0,1,1,1,1,6.3113999931374565
4,0.027909978444186904,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2806409726920068,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,1.3954989222093452,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1522704842465545,0.25,0.25,1.3954989222093452,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,25.724597048338914,34.29946273111856,1,0,1,1,1,1,6.30500000261236
5,0.017064538143212075,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.17158768476398958,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8532269071606038,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8558345441462336,0.25,0.25,0.8532269071606038,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,34.29946273111856,3.4491940966778287,1,0,1,1,1,1,4.205000004731119
6,0.01913153032701053,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.19237174585411176,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.9565765163505265,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8560677253021614,0.25,0.25,0.9565765163505265,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,3.4491940966778287,0.0,1,0,1,1,1,1,4.205999997793697
7,0.011559716051447535,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.11623548772024679,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,0.0,0.5779858025723768,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1526292897712156,0.25,0.25,0.5779858025723768,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.324500005575828
8,0.026598011112780318,0.5,1988.1195096929553,2400.0,0.08,0.0,0.2499999999999999,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2674488525776048,0.2,1,0,0,0,0,1988.1195096929553,0.0,0.0,0.0,1.3299005556390158,1.0,1988.1195096929553,4.967764082186452,0.00848178077309866,3.1526798234328166,0.2499999999999999,0.2499999999999999,1.3299005556390158,1,0,0,39.42513431722038,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559255,1,0,1,1,1,1,6.625899986829609
9,0.01603143149005819,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.16119957011117883,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,0.0,0.8015715745029095,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8561805034493304,0.25,0.25,0.8015715745029095,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,17.149731365559255,0.0,1,0,1,1,1,1,4.2347999988123775
10,0.030017333630240308,0.5,1988.1195096929541,2400.0,0.08,0.0,0.25000000000000006,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.30183089264856444,0.2,1,0,0,0,0,1988.1195096929541,0.0,0.0,5.551115123125783e-17,1.5008666815120153,1.0,1988.1195096929541,4.967764082186449,0.008481780773098696,3.1528718330442063,0.25000000000000006,0.25000000000000006,1.5008666815120153,1,0,1,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,0.0,8.574865682779638,1,0,1,1,1,1,6.435900009819306
11,0.031127316294771737,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.31299201250640674,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.5563658147385868,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1529578985648996,0.25,0.25,1.5563658147385868,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,8.574865682779638,17.149731365559276,1,0,1,1,1,1,6.154100003186613
12,0.020092072283523686,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2020302065199415,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.0046036141761843,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1529248668736334,0.25,0.25,1.0046036141761843,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,17.149731365559276,25.724597048338914,1,0,1,1,1,1,6.189899999299087
13,0.023941165139166682,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2407336818791097,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.1970582569583341,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152925393974387,0.25,0.25,1.1970582569583341,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,25.724597048338914,34.29946273111856,1,0,1,1,1,1,6.330100004561245
14,0.028743157099868803,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.2890187673515181,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.43715785499344,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.152976656188876,0.25,0.25,1.43715785499344,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,34.29946273111856,42.87432841389819,1,0,1,1,1,1,6.18130000657402
15,0.017735035115774782,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.17832967931419447,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.8867517557887391,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1529271898156668,0.25,0.25,0.8867517557887391,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,42.87432841389819,51.44919409667782,1,0,1,1,1,1,6.39390001015272
16,0.012267490336120646,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.12335231384371596,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,0.6133745168060323,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1528575394549554,0.25,0.25,0.6133745168060323,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,51.44919409667782,60.02405977945745,1,0,1,1,1,1,6.155600000056438
17,0.029847972025695464,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.3001279244599221,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.4923986012847732,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.1529279248418636,0.25,0.25,1.4923986012847732,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,60.02405977945745,68.59892546223708,1,0,1,1,1,1,6.37529999949038
18,0.02115012115551635,0.5,1988.1195096929544,2400.0,0.08,0.0,0.25,0.25,5000.0,5.0,1200.0,1,1,1,25.0,0.21266912066978552,0.2,1,0,0,0,0,1988.1195096929544,0.0,0.0,5.551115123125783e-17,1.0575060577758175,1.0,1988.1195096929544,4.96776408218645,0.008481780773098673,3.15290496109533,0.25,0.25,1.0575060577758175,1,0,0,39.42513431722036,3.1388922533374566,1,0.02,48.0,0.0,68.59892546223708,77.17379114501671,1,0,1,1,1,1,8.125699998345226
19,0.01624459657297149,0.5,3976.2390193859087,2400.0,0.08,0.0,0.25,0.25,10000.0,5.0,1200.0,1,1,1,25.0,0.1633429919103892,0.2,1,0,0,0,0,3976.2390193859087,0.0,0.0,5.551115123125783e-17,0.8122298286485745,2.0,3976.2390193859087,4.96776408218645,0.008481780773098673,3.8563937246653768,0.25,0.25,0.8122298286485745,1,0,0,78.85026863444072,3.1388922533374566,1,0.02,48.0,0.0,77.17379114501671,46.323522510575984,1,0,1,1,1,1,5.616299997200258
