t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.020487212377497555,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.20600342708491595,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,5.551115123125783e-17,1.0243606188748777,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.301285978850773,0.15000000000000005,0.15000000000000005,1.0243606188748777,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.598200008738786
2,0.025467047734450864,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.2560767670273373,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,8.326672684688674e-17,1.2733523867225431,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.040768356158889,0.15000000000000002,0.15000000000000002,1.2733523867225431,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.2028000025311485
3,0.024089243901495864,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.24222264640762753,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,1.3877787807814457e-16,1.2044621950747931,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3014465949554435,0.15000000000000005,0.15000000000000005,1.2044621950747931,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.1624999943887815
4,0.026215918661550503,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000016,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.2636068289305482,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,3.0531133177191805e-16,1.3107959330775252,1.0,2302.420845060399,6.951315619430959,0.0007908755526006998,3.3014493683106947,0.15000000000000016,0.15000000000000016,1.3107959330775252,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.215700006578118
5,0.019526314371649773,0.5,2302.420845060399,1200.0,0.08,0.0,0.15000000000000005,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.19634138626470538,0.2,1,0,0,0,0,2302.420845060399,0.0,0.0,3.608224830031759e-16,0.9763157185824887,1.0,2302.420845060399,6.951315619430961,0.0007908755526006984,3.3014342517919877,0.15000000000000005,0.15000000000000005,0.9763157185824887,1,0,1,46.011998334044854,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.144200000562705
6,0.020092164921618222,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.20203113801635994,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,4.163336342344337e-16,1.0046082460809111,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.0408221745224395,0.15000000000000005,0.15000000000000005,1.0046082460809111,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.116800002520904
7,0.02926485899372827,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.2942645946544939,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,4.440892098500626e-16,1.4632429496864134,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.041045602354249,0.15000000000000002,0.15000000000000002,1.4632429496864134,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.214000000501983
8,0.01849034097524219,0.5,4604.841690120799,1200.0,0.08,0.0,0.15000000000000002,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.1859244458778732,0.2,1,0,0,0,0,4604.841690120799,0.0,0.0,4.718447854656915e-16,0.9245170487621095,2.0,4604.841690120799,6.951315619430963,0.0007908755526006962,4.041073210445259,0.15000000000000002,0.15000000000000002,0.9245170487621095,1,0,1,92.02399666808974,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.120500001590699
9,0.02547836270393034,0.5,2302.4208450603996,1200.0,0.08,0.0,0.15000000000000002,0.15,5000.0,5.0,1200.0,1,1,1,25.0,0.2561905415344388,0.2,1,0,0,0,0,2302.4208450603996,0.0,0.0,4.996003610813204e-16,1.273918135196517,1.0,2302.4208450603996,6.951315619430963,0.0007908755526006962,3.301731215021822,0.15000000000000002,0.15000000000000002,1.273918135196517,1,0,1,46.01199833404487,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,6.043499990482815
10,0.018315562052450964,0.5,4604.841690120798,1200.0,0.08,0.0,0.15000000000000005,0.15,10000.0,5.0,1200.0,1,1,1,25.0,0.18416700536260092,0.2,1,0,0,0,0,4604.841690120798,0.0,0.0,5.551115123125783e-16,0.9157781026225481,2.0,4604.841690120798,6.951315619430961,0.0007908755526006984,4.041074316174303,0.15000000000000005,0.15000000000000005,0.9157781026225481,1,0,1,92.02399666808971,4.9560030153945895,1,0.02,24.0,0.0,0.0,0.0,1,0,1,1,1,1,4.07219999760855
