t,E_slot_J,energy_budget_per_slot_j,S_eff_bps,arrivals_bps,delta_queue_used,Q_t_used,sWER_clip,semantic_budget,B_eff_Hz,B_min_kHz,latency_budget_q_bps,feasible_energy_guard,feasible_queue_guard,feasible_sem_guard,P_max_energy,P_min_sem,P_min_queue,action_in_guard_set,fallback_used,bad_energy,bad_queue,bad_sem,q_bps,z_lat,z_eng,z_sem,P,B,rate,sinr_db,per,mos,sWER_raw,sWER,P_tx_W,violate_lat,violate_eng,violate_sem,S_bits,sinr_req_lin,feasible_set_nonempty,slot_sec,A_bits,epsilon_energy,Q_bits,Q_next_bits,queue_violation,pd_active,guard_sem_active,guard_queue_active,guard_energy_active,guard_active,decision_latency_ms
1,0.004,0.8,16165.68904444607,400.0,0.08,0.0,0.28586195475179893,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.0120083395372874,0.2,1,0,0,0,0,16165.68904444607,0.0,0.0,0.0,0.2,5.0,16165.68904444607,4.176222126041463,0.021637199059100002,4.5,0.28586195475179893,0.28586195475179893,0.2,1,0,0,316.31817625327756,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.765199999790639
2,0.004,0.8,17935.036417011877,400.0,0.08,0.0,0.11674157173398232,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.005432962592641946,0.2,1,0,0,0,0,17935.036417011877,0.0,0.0,0.0,0.2,5.0,17935.036417011877,7.6206845692947525,0.0003543675475643071,4.5,0.11674157173398232,0.11674157173398232,0.2,1,0,0,358.5736164428261,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.207499987795018
3,0.004,0.8,17836.912466024656,400.0,0.08,0.0,0.1631341685854157,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.0067240563902276574,0.2,1,0,0,0,0,17836.912466024656,0.0,0.0,0.0,0.2,5.0,17836.912466024656,6.694738248190356,0.0010757230918701823,4.5,0.1631341685854157,0.1631341685854157,0.2,1,0,0,356.35449774794574,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.14339999447111
4,0.004,0.8,17927.73920704027,400.0,0.08,0.0,0.12190968083448155,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.005568303453480884,0.2,1,0,0,0,0,17927.73920704027,0.0,0.0,0.0,0.2,5.0,17927.73920704027,7.513822769328879,0.0004028322899341274,4.5,0.12190968083448155,0.12190968083448155,0.2,1,0,0,358.4103466960431,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.234000000404194
5,0.004,0.8,17563.305046445646,400.0,0.08,0.0,0.21438770389087716,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.008465877028184287,0.2,1,0,0,0,0,17563.305046445646,0.0,0.0,0.0,0.2,5.0,17563.305046445646,5.694332159407937,0.0035643651343405035,4.5,0.21438770389087716,0.21438770389087716,0.2,1,0,0,350.01406028588616,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.066600006306544
6,0.004,0.8,15713.269423096815,400.0,0.08,0.0,0.29638288333971724,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.012716480445151458,0.2,1,0,0,0,0,15713.269423096815,0.0,0.0,0.0,0.2,5.0,15713.269423096815,3.9273824398079107,0.028948561506232408,4.482812789579205,0.29638288333971724,0.29638288333971724,0.2,1,0,0,305.1678575347659,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.244699994567782
7,0.004,0.8,17964.07141896362,400.0,0.08,0.0,0.08946280330345152,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.00473855124377554,0.2,1,0,0,0,0,17964.07141896362,0.0,0.0,0.0,0.2,5.0,17964.07141896362,8.21459590197268,0.00017378548173358011,4.5,0.08946280330345152,0.08946280330345152,0.2,1,0,0,359.21899048316357,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.126899999799207
8,0.004,0.8,17241.93457376939,400.0,0.08,0.0,0.24251493307849617,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.009653219158287464,0.2,1,0,0,0,0,17241.93457376939,0.0,0.0,0.0,0.2,5.0,17241.93457376939,5.124330055971994,0.007039204140781611,4.5,0.24251493307849617,0.24251493307849617,0.2,1,0,0,342.41130153045253,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.115900003351271
9,0.004,0.8,17935.419404770022,400.0,0.08,0.0,0.11645655817616442,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.005425544033216759,0.2,1,0,0,0,0,17935.419404770022,0.0,0.0,0.0,0.2,5.0,17935.419404770022,7.626618792175162,0.0003518539207235795,4.5,0.11645655817616442,0.11645655817616442,0.2,1,0,0,358.58217514265266,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.928399991011247
10,0.004,0.8,16226.141124789789,400.0,0.08,0.0,0.2842548989667253,0.45,5000.0,5.0,800.0,1,1,1,40.0,0.011905798978472463,0.2,1,0,0,0,0,16226.141124789789,0.0,0.0,0.0,0.2,5.0,16226.141124789789,4.213466262401688,0.020711047118806357,4.5,0.2842548989667253,0.2842548989667253,0.2,1,0,0,317.8016150279573,0.573344844177575,1,0.02,8.0,0.0,0.0,0.0,1,0,1,1,1,1,6.074399992940016
