t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,safe_linucb,1,800,128,25,1.0,2.3436469123370998,1110.2803096297384
2,safe_linucb,1,800,128,25,1.0,7.729479116325365,1296.2075028377162
3,safe_linucb,1,800,128,25,1.0,15.368253625789478,974.428840062136
4,safe_linucb,1,800,128,25,1.0,16.972845622040268,1443.1823228224453
5,safe_linucb,1,800,128,25,1.0,9.180469572327494,1038.5008206562945
6,safe_linucb,1,800,128,25,1.0,6.509609819219339,774.0315402853848
7,safe_linucb,1,800,128,25,1.0,12.589447809576606,518.8381866972986
8,safe_linucb,1,800,128,25,1.0,20.79882620213406,1080.6232341400212
9,safe_linucb,1,800,128,25,1.0,5.928326094628685,637.6269952622358
10,safe_linucb,1,800,128,25,1.0,-0.18908742079258012,1354.4126255948688
11,safe_linucb,1,800,128,25,1.0,20.48383717348944,987.9917093993192
12,safe_linucb,1,800,128,25,1.0,3.0544038179678425,1048.796472669432
13,safe_linucb,1,800,128,25,1.0,14.620958339280294,628.5822575435353
14,safe_linucb,1,800,128,25,1.0,18.678047724521925,959.0121546754501
15,safe_linucb,1,800,128,25,1.0,4.738719107182533,1043.1142624828933
16,safe_linucb,1,800,128,25,1.0,13.570012875813935,1177.4466838356
17,safe_linucb,1,800,128,25,1.0,6.975506347193395,1123.8120013878386
18,safe_linucb,1,800,128,25,1.0,13.991502896716863,616.5236563699493
19,safe_linucb,1,800,128,25,1.0,17.736096127385263,891.6439561247333
20,safe_linucb,1,800,128,25,1.0,15.21922966568847,807.9862517647487
21,safe_linucb,1,800,128,25,1.0,0.061323644564764024,625.520524487066
22,safe_linucb,1,800,128,25,1.0,3.822354686332683,823.8729864051334
23,safe_linucb,1,800,128,25,1.0,10.721522965899322,723.3808035284285
24,safe_linucb,1,800,128,25,1.0,12.5018381165645,862.1020779223004
25,safe_linucb,1,800,128,25,1.0,18.040118585728603,1080.6426726030074
26,safe_linucb,1,800,128,25,1.0,11.062149286970332,1262.9953727354605
27,safe_linucb,1,800,128,25,1.0,3.773558367363905,1140.42606107245
28,safe_linucb,1,800,128,25,1.0,8.307196510127964,671.4643648097501
29,safe_linucb,1,800,128,25,1.0,1.1348405812765812,1056.0456498347885
30,safe_linucb,1,800,128,25,1.0,10.888014367534687,765.7299718006935
31,safe_linucb,1,800,128,25,1.0,24.60519252651264,940.8868468705612
32,safe_linucb,1,800,128,25,1.0,8.836393333675135,1065.1277740847415
33,safe_linucb,1,800,128,25,1.0,15.839894568287862,735.9904393697568
34,safe_linucb,1,800,128,25,1.0,11.041647775619698,1044.1099347711981
35,safe_linucb,1,800,128,25,1.0,11.877748024670126,1020.1822467996008
36,safe_linucb,1,800,128,25,1.0,14.838231339638542,750.5959749984211
37,safe_linucb,1,800,128,25,1.0,9.896874474261786,1186.6617732129894
38,safe_linucb,1,800,128,25,1.0,11.863785347191957,1575.8129905355768
39,safe_linucb,1,800,128,25,1.0,5.406723581961282,784.4849240661737
40,safe_linucb,1,800,128,25,1.0,8.151698180201247,1187.8271534688638
41,safe_linucb,1,800,128,25,1.0,5.571600119783813,945.7044377400248
42,safe_linucb,1,800,128,25,1.0,10.285791869238224,918.2194290411603
43,safe_linucb,1,800,128,25,1.0,7.751095262398792,853.2429947319281
44,safe_linucb,1,800,128,25,1.0,9.595248992020062,991.7624275084024
45,safe_linucb,1,800,128,25,1.0,2.4936244597616097,942.4188802710463
46,safe_linucb,1,800,128,25,1.0,5.95876674212377,1361.8270112887494
47,safe_linucb,1,800,128,25,1.0,10.761044482139512,832.5088115431306
48,safe_linucb,1,800,128,25,1.0,8.901416109700875,954.7389936031093
49,safe_linucb,1,800,128,25,1.0,9.075491599722584,1007.7337539499545
50,safe_linucb,1,800,128,25,1.0,7.980535425126746,841.0176013752698
51,safe_linucb,1,800,128,25,1.0,13.950512609574929,1029.8726339906393
52,safe_linucb,1,800,128,25,1.0,11.28821323855951,1105.9481191985199
53,safe_linucb,1,800,128,25,1.0,6.317735786915945,1183.844931260993
54,safe_linucb,1,800,128,25,1.0,13.107672354013534,1115.0891600042407
55,safe_linucb,1,800,128,25,1.0,13.824664778337205,1164.897325388176
56,safe_linucb,1,800,128,25,1.0,13.519617167237534,899.8443460357314
57,safe_linucb,1,800,128,25,1.0,17.107732645486543,1103.246182442331
58,safe_linucb,1,800,128,25,1.0,11.964646910551895,516.4329405197715
59,safe_linucb,1,800,128,25,1.0,13.364118020865947,831.4320976225156
60,safe_linucb,1,800,128,25,1.0,7.146408364251318,619.3566954822398
61,safe_linucb,1,800,128,25,1.0,13.337527304153108,979.481949401465
62,safe_linucb,1,800,128,25,1.0,9.95853863826035,1004.5514632659172
63,safe_linucb,1,800,128,25,1.0,-1.9357449727706815,1233.9002339643557
64,safe_linucb,1,800,128,25,1.0,13.074451569687778,1031.9374465597361
65,safe_linucb,1,800,128,25,1.0,20.695446402780135,1029.5298487040882
66,safe_linucb,1,800,128,25,1.0,16.739298403982144,735.3308431882663
67,safe_linucb,1,800,128,25,1.0,12.660630203699558,548.1010904539844
68,safe_linucb,1,800,128,25,1.0,15.462275818920379,1149.4564464394268
69,safe_linucb,1,800,128,25,1.0,1.8689643287338455,1122.3434570661698
70,safe_linucb,1,800,128,25,1.0,13.53936022583672,1097.092964788742
71,safe_linucb,1,800,128,25,1.0,8.23611653144904,896.7974548497077
72,safe_linucb,1,800,128,25,1.0,14.282847215995853,740.520890001211
73,safe_linucb,1,800,128,25,1.0,6.963265519923338,1106.6395165487686
74,safe_linucb,1,800,128,25,1.0,7.091798124768092,1296.3265123721785
75,safe_linucb,1,800,128,25,1.0,10.957577270973005,1061.1129138927074
76,safe_linucb,1,800,128,25,1.0,12.331100667669517,1231.173039672415
77,safe_linucb,1,800,128,25,1.0,12.712950724117615,1036.8184485045324
78,safe_linucb,1,800,128,25,1.0,5.656647780738836,949.815388131344
79,safe_linucb,1,800,128,25,1.0,7.398585694201435,1244.3331847049722
80,safe_linucb,1,800,128,25,1.0,6.575944930837361,944.6250571609537
81,safe_linucb,1,800,128,25,1.0,7.634673176902593,769.5346364586762
82,safe_linucb,1,800,128,25,1.0,7.353294574013235,1102.3931116543463
83,safe_linucb,1,800,128,25,1.0,13.931370844558849,873.6765353631962
84,safe_linucb,1,800,128,25,1.0,8.187116404318857,1061.6526930213072
85,safe_linucb,1,800,128,25,1.0,4.143263123752376,807.9544241694897
86,safe_linucb,1,800,128,25,1.0,8.228091178198781,1260.3775611118494
87,safe_linucb,1,800,128,25,1.0,9.213444886094349,1006.2472393365657
88,safe_linucb,1,800,128,25,1.0,7.094794282733058,1130.4056681521165
89,safe_linucb,1,800,128,25,1.0,12.774649553775994,982.240424213401
90,safe_linucb,1,800,128,25,1.0,-1.4460814724515725,787.6495684155203
91,safe_linucb,1,800,128,25,1.0,6.961748105764116,872.6538166717393
92,safe_linucb,1,800,128,25,1.0,8.987237845441578,779.4362788872243
93,safe_linucb,1,800,128,25,1.0,4.744740919546584,958.463146420732
94,safe_linucb,1,800,128,25,1.0,19.70454069989117,1001.8470482868481
95,safe_linucb,1,800,128,25,1.0,12.961823275434785,1076.479044221486
96,safe_linucb,1,800,128,25,1.0,23.042197416127117,1295.8866312807736
97,safe_linucb,1,800,128,25,1.0,4.87254250481251,1083.3674810639002
98,safe_linucb,1,800,128,25,1.0,16.69291023264145,1271.2028720347446
99,safe_linucb,1,800,128,25,1.0,10.846705649017947,1028.3877630089576
100,safe_linucb,1,800,128,25,1.0,18.43367870675928,939.5269236619987
101,safe_linucb,1,800,128,25,1.0,23.075833651936133,931.2936580470227
102,safe_linucb,1,800,128,25,1.0,11.797099264651878,991.0156242559491
103,safe_linucb,1,800,128,25,1.0,3.1782238496081705,674.6102612861332
104,safe_linucb,1,800,128,25,1.0,6.708171407638467,963.0208050857764
105,safe_linucb,1,800,128,25,1.0,0.6372696586935387,1044.7089018174263
106,safe_linucb,1,800,128,25,1.0,7.672397608754753,1000.62607466504
107,safe_linucb,1,800,128,25,1.0,22.855185600502306,1092.0336450373386
108,safe_linucb,1,800,128,25,1.0,8.860172920703324,896.5397127817937
109,safe_linucb,1,800,128,25,1.0,14.424464026550007,1176.9059996776334
110,safe_linucb,1,800,128,25,1.0,8.216154795518152,847.1806457093519
111,safe_linucb,1,800,128,25,1.0,11.479809311967786,1073.9960127741294
112,safe_linucb,1,800,128,25,1.0,5.218337508673308,844.6850693997371
113,safe_linucb,1,800,128,25,1.0,19.538728179602337,757.4164588628344
114,safe_linucb,1,800,128,25,1.0,8.824433228365116,925.4430230537113
115,safe_linucb,1,800,128,25,1.0,11.168470436466245,901.9266291162972
116,safe_linucb,1,800,128,25,1.0,13.073196873267428,1240.1978939945186
117,safe_linucb,1,800,128,25,1.0,18.3396994518509,1398.5501568636978
118,safe_linucb,1,800,128,25,1.0,7.978743614925335,993.7432248959768
119,safe_linucb,1,800,128,25,1.0,10.671036732819132,1341.2240170136142
120,safe_linucb,1,800,128,25,1.0,16.0474018903353,925.9548797218966
121,safe_linucb,1,800,128,25,1.0,6.52967372885677,1018.6285032885054
122,safe_linucb,1,800,128,25,1.0,2.5650984790050826,650.599121384509
123,safe_linucb,1,800,128,25,1.0,6.238460875162441,923.2123926520745
124,safe_linucb,1,800,128,25,1.0,10.225447438995863,896.235215186724
125,safe_linucb,1,800,128,25,1.0,17.648119422793116,1459.048447842351
126,safe_linucb,1,800,128,25,1.0,20.137247842320868,1176.7284843140646
127,safe_linucb,1,800,128,25,1.0,11.896811949678371,1146.3325296237797
128,safe_linucb,1,800,128,25,1.0,4.8216735243598,1171.3837284897816
129,safe_linucb,1,800,128,25,1.0,19.107994715899363,1090.5740746569486
130,safe_linucb,1,800,128,25,1.0,6.176314234795118,901.3535549817205
131,safe_linucb,1,800,128,25,1.0,4.218168946146878,1189.6735281288197
132,safe_linucb,1,800,128,25,1.0,2.455904521869808,1448.9145778507693
133,safe_linucb,1,800,128,25,1.0,12.64713261412706,1306.2409344966104
134,safe_linucb,1,800,128,25,1.0,0.3135924131185739,626.7071439179545
135,safe_linucb,1,800,128,25,1.0,0.5632178479143395,943.5800620598268
136,safe_linucb,1,800,128,25,1.0,10.405144307745228,693.9352901410397
137,safe_linucb,1,800,128,25,1.0,16.405164519996408,1058.201973919392
138,safe_linucb,1,800,128,25,1.0,2.952610818164998,1117.5912301701792
139,safe_linucb,1,800,128,25,1.0,14.584544733004346,1198.1306443155331
140,safe_linucb,1,800,128,25,1.0,5.195064377668021,657.995495630229
141,safe_linucb,1,800,128,25,1.0,14.409176169065741,795.455746884031
142,safe_linucb,1,800,128,25,1.0,4.244550297109982,1205.2865278635059
143,safe_linucb,1,800,128,25,1.0,17.921217201019015,1123.2676479459303
144,safe_linucb,1,800,128,25,1.0,5.862509079534579,1118.4093067213603
145,safe_linucb,1,800,128,25,1.0,11.997470241152518,808.227476187889
146,safe_linucb,1,800,128,25,1.0,11.17867919598431,1033.433765015864
147,safe_linucb,1,800,128,25,1.0,14.496069176100853,1081.651372852227
148,safe_linucb,1,800,128,25,1.0,5.408056556561364,1207.0794454871784
149,safe_linucb,1,800,128,25,1.0,15.347160021073025,540.1566709505496
150,safe_linucb,1,800,128,25,1.0,16.119177883514094,966.6926069930672
151,safe_linucb,1,800,128,25,1.0,7.68687410641993,781.8210458288694
152,safe_linucb,1,800,128,25,1.0,14.337944175976993,539.953921704624
153,safe_linucb,1,800,128,25,1.0,8.837092524776802,1128.4495257810383
154,safe_linucb,1,800,128,25,1.0,1.823705091173215,1048.635953384808
155,safe_linucb,1,800,128,25,1.0,6.512563957095092,981.2652478166405
156,safe_linucb,1,800,128,25,1.0,9.18533475761453,1136.5893476827184
157,safe_linucb,1,800,128,25,1.0,6.094390916585379,750.3339257629935
158,safe_linucb,1,800,128,25,1.0,11.571374710735267,915.9665228833828
159,safe_linucb,1,800,128,25,1.0,15.984361601873793,439.8906775004316
160,safe_linucb,1,800,128,25,1.0,14.038458512249289,944.7136888141456
161,safe_linucb,1,800,128,25,1.0,6.430304720908232,1078.3207428010858
162,safe_linucb,1,800,128,25,1.0,7.6469589809476055,973.4881331866054
163,safe_linucb,1,800,128,25,1.0,9.098623472253582,979.2841542621356
164,safe_linucb,1,800,128,25,1.0,9.34937753599647,1197.5145740749176
165,safe_linucb,1,800,128,25,1.0,14.352464373228543,687.2388221028389
166,safe_linucb,1,800,128,25,1.0,16.005893575883245,819.8226926305549
167,safe_linucb,1,800,128,25,1.0,3.283763964673099,1290.6964660342633
168,safe_linucb,1,800,128,25,1.0,12.315341878449264,885.1816767355518
169,safe_linucb,1,800,128,25,1.0,14.636868078816414,576.1266092575127
170,safe_linucb,1,800,128,25,1.0,6.682995810760704,1027.5699543341589
171,safe_linucb,1,800,128,25,1.0,6.836392366704107,793.959934948229
172,safe_linucb,1,800,128,25,1.0,8.475082235262565,1615.2352872057122
173,safe_linucb,1,800,128,25,1.0,8.43727052519555,923.785720308113
174,safe_linucb,1,800,128,25,1.0,8.103117266711353,960.2947773074626
175,safe_linucb,1,800,128,25,1.0,5.69528386150991,1081.870469348813
176,safe_linucb,1,800,128,25,1.0,1.4112557454813484,1094.860660549843
177,safe_linucb,1,800,128,25,1.0,6.764069914975983,902.4064897690175
178,safe_linucb,1,800,128,25,1.0,11.4479499664765,1012.1895531670823
179,safe_linucb,1,800,128,25,1.0,11.234024463716484,1210.0981771517268
180,safe_linucb,1,800,128,25,1.0,6.884398873376018,1158.114228852137
181,safe_linucb,1,800,128,25,1.0,8.795291879123829,988.2575773676292
182,safe_linucb,1,800,128,25,1.0,19.125916645600554,1178.8020993933362
183,safe_linucb,1,800,128,25,1.0,14.545077839714445,797.5079932393376
184,safe_linucb,1,800,128,25,1.0,5.705078339394657,978.0816271468095
185,safe_linucb,1,800,128,25,1.0,9.943986655706373,1142.5428723055713
186,safe_linucb,1,800,128,25,1.0,10.849407901955527,889.0214747685976
187,safe_linucb,1,800,128,25,1.0,6.8073624750815185,843.0931808685648
188,safe_linucb,1,800,128,25,1.0,12.721212730398694,1682.9881302681636
189,safe_linucb,1,800,128,25,1.0,11.81963667654004,713.0235953148451
190,safe_linucb,1,800,128,25,1.0,9.6204888354568,633.208821542522
