t,algorithm,seed,V,window,grid_density,mos,snr_db,q_bps
1,sw_ucb,2,800,256,50,1.0,9.857533150292328,1128.6742759262468
2,sw_ucb,2,800,256,50,1.0,7.098828293780972,768.9672942775683
3,sw_ucb,2,800,256,50,1.0,14.867454879312543,743.4421346788118
4,sw_ucb,2,800,256,50,1.0,11.051878361873165,1067.1687644497897
5,sw_ucb,2,800,256,50,1.0,4.5641103042242435,1136.7472393789676
6,sw_ucb,2,800,256,50,1.0,4.708120778920346,1457.6059004597819
7,sw_ucb,2,800,256,50,1.0,15.13041198164445,1227.8972949464942
8,sw_ucb,2,800,256,50,1.0,13.049757724407245,708.7630121410675
9,sw_ucb,2,800,256,50,1.0,10.36659579578636,722.1368747254613
10,sw_ucb,2,800,256,50,1.0,9.623607157355664,660.5465889263895
11,sw_ucb,2,800,256,50,1.0,10.762954940467507,1198.0638172007646
12,sw_ucb,2,800,256,50,1.0,13.137205391503041,1291.7298103589296
13,sw_ucb,2,800,256,50,1.0,9.48305833827558,1075.3763653763017
14,sw_ucb,2,800,256,50,1.0,8.960450361306622,974.7808451166687
15,sw_ucb,2,800,256,50,1.0,12.116161833397904,1335.307293591637
16,sw_ucb,2,800,256,50,1.0,6.857137571430139,1301.514682559557
17,sw_ucb,2,800,256,50,1.0,7.0808799266433295,1071.737572724823
18,sw_ucb,2,800,256,50,1.0,7.942836611073465,1069.2260351873706
19,sw_ucb,2,800,256,50,1.0,7.421661546459479,993.690023925924
20,sw_ucb,2,800,256,50,1.0,3.9995285781821375,1007.2903338646129
21,sw_ucb,2,800,256,50,1.0,9.436644569164484,1089.1584328568326
22,sw_ucb,2,800,256,50,1.0,5.538976220381233,954.6154999392152
23,sw_ucb,2,800,256,50,1.0,5.324028160968718,993.9849104494189
24,sw_ucb,2,800,256,50,1.0,2.9028153790552516,942.4849477175854
25,sw_ucb,2,800,256,50,1.0,11.047978566317749,934.0970888054666
26,sw_ucb,2,800,256,50,1.0,-1.5908542869458024,1106.970302992725
27,sw_ucb,2,800,256,50,1.0,11.53928964622103,818.7768129924041
28,sw_ucb,2,800,256,50,1.0,16.52778704806545,833.1103923620797
29,sw_ucb,2,800,256,50,1.0,7.808427853317543,1149.1145084475156
30,sw_ucb,2,800,256,50,1.0,12.424944587605587,974.5229152352999
31,sw_ucb,2,800,256,50,1.0,6.066743973636003,803.6583351640384
32,sw_ucb,2,800,256,50,1.0,18.66639552478688,1112.609455345691
33,sw_ucb,2,800,256,50,1.0,8.004902148264765,1028.8770298518675
34,sw_ucb,2,800,256,50,1.0,13.896945502835818,970.5777223155268
35,sw_ucb,2,800,256,50,1.0,8.899984324968743,1058.4450838211626
36,sw_ucb,2,800,256,50,1.0,13.559902519497957,1169.79276492521
37,sw_ucb,2,800,256,50,1.0,6.269865068377503,1278.2373053206647
38,sw_ucb,2,800,256,50,1.0,3.9381216506304764,1045.560717909972
39,sw_ucb,2,800,256,50,1.0,17.666563739713798,1144.8151171564825
40,sw_ucb,2,800,256,50,1.0,8.567532466354285,912.3611061937314
41,sw_ucb,2,800,256,50,1.0,7.915053029981388,733.2780960490516
42,sw_ucb,2,800,256,50,1.0,12.93416286636156,809.4622125284901
43,sw_ucb,2,800,256,50,1.0,1.6359789359118544,1088.5197307492879
44,sw_ucb,2,800,256,50,1.0,6.65266207134523,1679.8176741473667
45,sw_ucb,2,800,256,50,1.0,15.996755886966728,653.6827571025908
46,sw_ucb,2,800,256,50,1.0,18.055578050842485,762.711292950029
47,sw_ucb,2,800,256,50,1.0,17.102815473494594,903.5223093055185
48,sw_ucb,2,800,256,50,1.0,4.271394598074339,1257.2569549375926
49,sw_ucb,2,800,256,50,1.0,3.7311897707574184,1079.4613119151907
50,sw_ucb,2,800,256,50,1.0,11.667101267299534,992.6355638476794
51,sw_ucb,2,800,256,50,1.0,-0.45578082179617674,619.1925165075254
52,sw_ucb,2,800,256,50,1.0,26.49483354469503,1127.0372163013521
53,sw_ucb,2,800,256,50,1.0,9.790533667672666,1010.0834917512341
54,sw_ucb,2,800,256,50,1.0,6.067160697418506,779.3913001577139
55,sw_ucb,2,800,256,50,1.0,11.744356848100603,1231.3857420132476
56,sw_ucb,2,800,256,50,1.0,2.285388078383815,808.2904454960978
57,sw_ucb,2,800,256,50,1.0,2.0778897678634936,919.0027455606713
58,sw_ucb,2,800,256,50,1.0,15.318345262998053,1115.1914531646657
59,sw_ucb,2,800,256,50,1.0,5.248770131436244,981.6297545735861
60,sw_ucb,2,800,256,50,1.0,3.745469174119598,1254.0671970626347
61,sw_ucb,2,800,256,50,1.0,16.454050928744604,1056.7603177739584
62,sw_ucb,2,800,256,50,1.0,12.799451830979386,976.7760288152417
63,sw_ucb,2,800,256,50,1.0,13.282126884609875,889.0628236738461
64,sw_ucb,2,800,256,50,1.0,11.910881037569123,946.9454206299977
65,sw_ucb,2,800,256,50,1.0,11.013245730951411,869.4521086328044
66,sw_ucb,2,800,256,50,1.0,5.581526240720907,914.2886161585984
67,sw_ucb,2,800,256,50,1.0,12.556058324346601,1039.9671036812579
68,sw_ucb,2,800,256,50,1.0,4.329989650733297,1105.172105234621
69,sw_ucb,2,800,256,50,1.0,13.693773793746855,840.6808954241121
70,sw_ucb,2,800,256,50,1.0,4.536048462553502,1358.0425141233286
71,sw_ucb,2,800,256,50,1.0,8.638732399847447,1061.3590226583135
72,sw_ucb,2,800,256,50,1.0,14.760042020407692,893.0180819806922
73,sw_ucb,2,800,256,50,1.0,4.689978487407936,1194.3577620945425
74,sw_ucb,2,800,256,50,1.0,2.6969563340138647,1132.090766105028
75,sw_ucb,2,800,256,50,1.0,4.929797967080839,764.9069254897066
76,sw_ucb,2,800,256,50,1.0,-1.8481935787563142,806.2501811485658
77,sw_ucb,2,800,256,50,1.0,0.2694931561151801,1188.1962022747732
78,sw_ucb,2,800,256,50,1.0,0.06061783253340636,1172.908317674724
79,sw_ucb,2,800,256,50,1.0,8.805560799708608,1144.3703022137347
80,sw_ucb,2,800,256,50,1.0,12.66917031270151,1110.2305870666512
81,sw_ucb,2,800,256,50,1.0,17.347922293823146,586.5423893309925
82,sw_ucb,2,800,256,50,1.0,13.985348865954558,967.3353341472357
83,sw_ucb,2,800,256,50,1.0,1.843477431159723,614.5703303430312
84,sw_ucb,2,800,256,50,1.0,0.08335412097724415,796.9038057735634
85,sw_ucb,2,800,256,50,1.0,13.931988646452664,854.5188083623311
86,sw_ucb,2,800,256,50,1.0,2.9667554898390627,936.028267518149
87,sw_ucb,2,800,256,50,1.0,18.548531113506716,1121.3203266016058
88,sw_ucb,2,800,256,50,1.0,13.098112800079287,606.2813849119902
89,sw_ucb,2,800,256,50,1.0,9.052422508728572,1016.2374257035224
90,sw_ucb,2,800,256,50,1.0,16.148831294704728,754.1821045276682
91,sw_ucb,2,800,256,50,1.0,18.28175930180071,1095.9476304049704
92,sw_ucb,2,800,256,50,1.0,10.659118999664612,1157.4816747413468
93,sw_ucb,2,800,256,50,1.0,19.94878057302168,695.5328349079825
94,sw_ucb,2,800,256,50,1.0,11.368130773522083,845.8672976388095
95,sw_ucb,2,800,256,50,1.0,14.432938404589166,1006.213170387269
96,sw_ucb,2,800,256,50,1.0,9.133193485971216,1283.8185402918466
97,sw_ucb,2,800,256,50,1.0,19.964112007813963,1216.2015123870706
98,sw_ucb,2,800,256,50,1.0,21.91233046686619,752.3170389560823
99,sw_ucb,2,800,256,50,1.0,6.306456165231737,1186.661287003968
100,sw_ucb,2,800,256,50,1.0,8.075862668604778,1066.7391982020602
101,sw_ucb,2,800,256,50,1.0,19.62788812395476,952.210793424625
102,sw_ucb,2,800,256,50,1.0,16.747553411633213,829.4368812296307
103,sw_ucb,2,800,256,50,1.0,12.188915681654692,619.2297045308995
104,sw_ucb,2,800,256,50,1.0,2.5733384402014288,786.6538923221976
105,sw_ucb,2,800,256,50,1.0,11.551184438652582,1175.2835920937778
106,sw_ucb,2,800,256,50,1.0,4.654436664949256,774.9791946360513
107,sw_ucb,2,800,256,50,1.0,2.079463007178716,986.3074547283611
108,sw_ucb,2,800,256,50,1.0,12.898956108567905,1424.6511398905113
109,sw_ucb,2,800,256,50,1.0,5.972373921803627,613.762931731962
110,sw_ucb,2,800,256,50,1.0,13.28854040683885,1147.449466138404
111,sw_ucb,2,800,256,50,1.0,6.75651286884547,819.7779274412669
112,sw_ucb,2,800,256,50,1.0,5.017056392168801,904.7868399739377
113,sw_ucb,2,800,256,50,1.0,16.336180642134988,915.7154209303969
